id,brand,head_office_legal_name,address,country,country_code,region,webpage,configurator,models_amount,min_sqm,max_sqm,main_structure_material,min_home_price,average_price_sqm,latitude,longitude
1,SchwörerHaus,SchwörerHaus KG,"Hans-Schwörer-Straße 8, 72531 Hohenstein, Germany",Germany,DEU,Baden-Württemberg,https://www.schwoererhaus.de,https://www.schwoererhaus.de/hauskonfigurator,57.0,50.0,300.0,wood/timber,150000.0,1600.0,48.3264223,9.3315387
2,WeberHaus,WeberHaus GmbH & Co. KG,"Am Erlenpark 1, 77866 Rheinau-Linx, Germany",Germany,DEU,Baden-Württemberg,https://www.weberhaus.de,https://www.weberhaus.de/hauskonfigurator,15.0,80.0,300.0,wood/timber,200000.0,2500.0,48.6196609,7.8903962
3,HUF HAUS,HUF HAUS GmbH & Co. KG,"Franz-Huf-Straße 1, 56244 Hartenfels, Germany",Germany,DEU,Rhineland-Palatinate,https://www.huf-haus.com,,8.0,120.0,300.0,wood/timber,400000.0,3200.0,50.5701857,7.7848495
4,Bien-Zenker,Bien-Zenker GmbH,"Am Distelrasen 2, 36381 Schlüchtern, Germany",Germany,DEU,Hesse,https://www.bien-zenker.de,https://www.bien-zenker.de/hauskonfigurator,50.0,80.0,300.0,wood/timber,180000.0,2500.0,50.3858466,9.5276099
5,Fertighaus Weiss,Fertighaus WEISS GmbH,"Stuttgarter Straße 11, 74575 Schrozberg, Germany",Germany,DEU,Baden-Württemberg,https://www.fertighaus-weiss.de,,33.0,80.0,300.0,wood/timber,150000.0,2000.0,48.791404179666,8.674960410537
6,Luxhaus,Luxhaus GmbH & Co. KG,"Am Dreieck 14, 91741 Lichtenau, Germany",Germany,DEU,Baden-Württemberg,https://www.luxhaus.de,https://www.luxhaus.de/hauskonfigurator,20.0,80.0,300.0,wood/timber,220000.0,2500.0,49.272623993118,10.680765011665
7,Hanlo Haus,HANLO Haus GmbH,"Industriestraße 2, 95349 Thurnau, Deutschland",Germany,DEU,Bavaria,https://www.hanlo.at/,,10.0,80.0,200.0,wood/timber,150000.0,1800.0,50.0207168,11.4010795
8,Kampa,KAMPA GmbH,"Brennofenstraße 15, 89231 Neu-Ulm, Germany",Germany,DEU,Baden-Württemberg,https://www.kampa.de,,25.0,120.0,280.0,wood/timber,250000.0,2000.0,48.3842438,10.0102416
9,FingerHaus,FingerHaus GmbH,"Auestraße 45, 35066 Frankenberg (Eder), Germany",Germany,DEU,Hesse,https://www.fingerhaus.de,https://www.fingerhaus.de/konfigurator,25.0,120.0,350.0,wood/timber,220000.0,2600.0,51.0527987,8.7757499
10,Danwood,Danwood S.A.,"Rudolf-Diesel-Str. 2, 07546 Gera, Germany",Germany,DEU,Thuringia,https://www.danwood.de,,130.0,78.0,217.0,wood/timber,110000.0,1500.0,50.9115699,12.0609415
11,Baufritz,Baufritz GmbH & Co. KG,"Alpenstraße 25, 87746 Erkheim, Germany",Germany,DEU,Bavaria,https://www.baufritz.com,,20.0,120.0,400.0,wood/timber,350000.0,2800.0,48.0706334,10.3139722
12,RENSCH-HAUS,RENSCH-HAUS GMBH,"Argenta Straße 1, 36148 Kalbach-Uttrichshausen, Germany",Germany,DEU,Hesse,https://www.rensch-haus.com,https://www.rensch-haus.com/hauskonfigurator,35.0,80.0,300.0,wood/timber,150000.0,2000.0,50.4216674,9.6409864
13,ELK Fertighaus,ELK Fertighaus GmbH,"Industriestraße 1, 97268 Kirchheim, Germany",Germany,DEU,Baden-Württemberg,https://www.elk-fertighaus.de,,50.0,80.0,300.0,wood/timber,120000.0,1600.0,49.6865897,9.9041806
14,Talbau-Haus,Talbau-Haus GmbH,"Talstraße 6, 71546 Aspach, Germany",Germany,DEU,Baden-Württemberg,https://www.talbau-haus.de,,12.0,80.0,250.0,wood/timber,200000.0,2300.0,48.9714099,9.3991753
15,Lehner-Haus,Lehner-Haus GmbH,"Bachstraße 3, 89584 Ehingen, Deutschland",Germany,DEU,Baden-Württemberg,https://www.lehner-haus.de,,20.0,90.0,350.0,wood/timber,160000.0,2300.0,48.301559,9.8300656
16,STREIF Haus,STREIF GmbH,"Gewerbepark 18, 54595 Weinsheim, Germany",Germany,DEU,Rhineland-Palatinate,https://www.streif.de,,25.0,80.0,300.0,wood/timber,175000.0,2300.0,50.1579007,6.3825014
