id,brand,head_office_legal_name,address,country,country_code,region,webpage,configurator,models_amount,min_sqm,max_sqm,main_structure_material,min_home_price,average_price_sqm,latitude,longitude,type,viz,plans
1,Modular Engenharia,Modular Engenharia Ltda.,"Rua das Flores, 123, Salvador, Bahia, 40000-000, Brasil",Brazil,BRA,Bahia,https://www.modularengenharia.com.br,NaN,5,45.0,200.0,steel,150000.0,3500.0,-12.9700143,-38.5074913,,,
2,Construções Pré-Moldadas Capixaba,Construções Pré-Moldadas Capixaba Ltda.,"Rua Exemplo, 123, Vitória, Espírito Santo, 29000-000, Brasil",Brazil,BRA,Espírito Santo,https://www.premoldadascapixaba.com.br,NaN,5.0,50.0,200.0,concrete,150000.0,3000.0,NaN,NaN,,,
3,Casas Rápidas ES,Casas Rápidas Espírito Santo Ltda.,"Rua Exemplar, 123, Vitória, Espírito Santo, 29000-000, Brasil",Brazil,BRA,Espírito Santo,https://www.casasrapideses.com.br,NaN,5,50.0,200.0,steel,150000.0,3000.0,NaN,NaN,,,
4,Casas Paraná,NaN,"Rua José de Alencar, 123, Belo Horizonte, Minas Gerais, 30140-110, Brasil",Brazil,BRA,Minas Gerais,https://www.casasparana.com.br,NaN,5,60.0,200.0,concrete,150000.0,2500.0,-19.9317795,-43.979072,,,
5,Construtora Modelar,Construtora Modelar LTDA,"Rua Exemplo, 123, Belo Horizonte, Minas Gerais, 30123-456, Brasil",Brazil,BRA,Minas Gerais,https://www.constructoramodelar.com.br,NaN,5.0,45.0,150.0,concrete,150000.0,3000.0,NaN,NaN,,,
6,Casas Pré-Moldadas BH,NaN,"Rua dos Prefabricados, 123, Belo Horizonte, Minas Gerais, 30100-000, Brasil",Brazil,BRA,Minas Gerais,https://www.casaspremoldadasbh.com.br,NaN,5,40.0,120.0,concrete,50000.0,1500.0,NaN,NaN,,,
7,Eco Modular Construções,NaN,"Rua Doutor João Moreira, 123, Fortaleza, Ceará, 60010-300, Brasil",Brazil,BRA,Ceará,https://www.ecomodularconstrucoes.com.br,NaN,5,45.0,120.0,steel,85000.0,2000.0,-3.7255,-38.5249,,,
8,Construtora Modular Ceará,Construtora Modular Ceará LTDA,"Rua Exemplo, 123, Fortaleza, Ceará, 60000-000, Brasil",Brazil,BRA,Ceará,https://www.construtoramodularceara.com.br,NaN,5,40.0,150.0,steel,150000.0,3000.0,NaN,NaN,,,
9,Casa Modular Brasil,Casa Modular Brasil Ltda,"Rua dos Prefabricados, 123, Fortaleza, Ceará, 60000-000, Brasil",Brazil,BRA,Ceará,https://www.casamodularbrasil.com.br,NaN,5,40.0,120.0,steel,150000.0,3000.0,NaN,NaN,,,
10,Casa Modular MS,Casa Modular Mato Grosso do Sul Ltda.,"Rua Exemplo, 123, Campo Grande, Mato Grosso do Sul, 79000-000, Brasil",Brazil,BRA,Mato Grosso do Sul,https://www.casamodularms.com.br,NaN,5,50.0,150.0,steel,150000.0,3000.0,NaN,NaN,,,
11,Casas Paraná,NaN,"Rua da Indústria, 348 - Boqueirão, Curitiba, Paraná, 81750-000, Brasil",Brazil,BRA,Paraná,https://www.casasparana.com.br,NaN,5,45.0,120.0,wood,16155.34,380.12,-25.494963,-49.235489,,,
12,Casas Brasília Pré-Fabricadas,NaN,"Rua Doutor Muricy, 123, Curitiba, Paraná, 80020-040, Brasil",Brazil,BRA,Paraná,https://www.casasbrasilia.com.br,NaN,NaN,NaN,NaN,wood,NaN,NaN,-25.429472,-49.271748,,,
13,Madeira & Madeira Construções,Madeira & Madeira Construções Ltda.,"Rua Exemplo, 123, Curitiba, Paraná, 80000-000, Brasil",Brazil,BRA,Paraná,https://www.madeiraemadeira.com.br,NaN,5,45.0,150.0,wood,120000.0,3000.0,-20.4643234,-54.6194456,,,
14,Casas Brasil Pré-Fabricadas,Casas Brasil Pré-Fabricadas Ltda.,"Rua Exemplo, 123, Curitiba, Paraná, 80000-000, Brasil",Brazil,BRA,Paraná,https://www.casasbrasilprefabricadas.com.br,NaN,NaN,NaN,NaN,wood,NaN,NaN,NaN,NaN,,,
15,Ecologic Houses,Ecologic Houses Indústria de Casas Pré-Fabricadas Ltda.,"Rua João Negrão, 123, Curitiba, Paraná, 80010-200, Brasil",Brazil,BRA,Paraná,https://www.ecologichouses.com.br,NaN,8,45.0,200.0,wood,120000.0,3000.0,-25.432087,-49.267892,,,
