id,brand,head_office_legal_name,address,country,country_code,region,webpage,configurator,models_amount,min_sqm,max_sqm,main_structure_material,min_home_price,average_price_sqm
1,Casa Modular Alagoas,,,Brazil,BRA,Alagoas,,,,,,,,
2,Construções Pré-fabricadas AL,,,Brazil,BRA,Alagoas,,,,,,,,
3,Modular Homes Nordeste,,,Brazil,BRA,Alagoas,,,,,,,,
4,Fábrica de Casas Pré-moldadas Maceió,,,Brazil,BRA,Alagoas,,,,,,,,
5,Kit Homes Alagoas,,,Brazil,BRA,Alagoas,,,,,,,,
6,Painel Construções Alagoanas,,,Brazil,BRA,Alagoas,,,,,,,,
7,Alagoas Pré-fabricados,,,Brazil,BRA,Alagoas,,,,,,,,
8,Casas Industrializadas do Nordeste,,,Brazil,BRA,Alagoas,,,,,,,,
9,Construtores Modulares de AL,,,Brazil,BRA,Alagoas,,,,,,,,
10,Fabricantes de Casas Móveis AL,,,Brazil,BRA,Alagoas,,,,,,,,
11,Residências Pré-fabricadas Nordeste,,,Brazil,BRA,Alagoas,,,,,,,,
12,Construtora Modular Maceió,,,Brazil,BRA,Alagoas,,,,,,,,
13,Alagoas Casas Prontas,,,Brazil,BRA,Alagoas,,,,,,,,
14,Fábrica de Casas Alagoas,,,Brazil,BRA,Alagoas,,,,,,,,
15,Construcasa Modular AL,,,Brazil,BRA,Alagoas,,,,,,,,
16,Casas Bahia Pré-Fabricadas,,,Brazil,BRA,Bahia,,,,,,,,
17,Construmódulo,,,Brazil,BRA,Bahia,,,,,,,,
18,Bahia Modular Homes,,,Brazil,BRA,Bahia,,,,,,,,
19,Pré-Moldados Bahia,,,Brazil,BRA,Bahia,,,,,,,,
20,Modular Engenharia,Modular Engenharia Ltda.,"Rua das Flores, 123, Salvador, Bahia, 40000-000, Brasil",Brazil,BRA,Bahia,https://www.modularengenharia.com.br,,5.0,45.0,200.0,steel,150000.0,3500.0
21,Casa Modular Bahia,,,Brazil,BRA,Bahia,,,,,,,,
22,Bahia Kit Homes,,,Brazil,BRA,Bahia,,,,,,,,
23,Construtora Pré-Fabricada Bahia,,,Brazil,BRA,Bahia,,,,,,,,
24,Painéis e Módulos Bahia,,,Brazil,BRA,Bahia,,,,,,,,
25,Fábrica de Casas Bahia,,,Brazil,BRA,Bahia,,,,,,,,
26,Construtora Modular Bahia,,,Brazil,BRA,Bahia,,,,,,,,
27,Industrializados Bahia,,,Brazil,BRA,Bahia,,,,,,,,
28,Bahia Casas Pré-Moldadas,,,Brazil,BRA,Bahia,,,,,,,,
29,Kit Modular Bahia,,,Brazil,BRA,Bahia,,,,,,,,
30,Construtora de Módulos Bahia,,,Brazil,BRA,Bahia,,,,,,,,
31,Casa Modular Ceará,,,Brazil,BRA,Ceará,,,,,,,,
32,Construtora Pré-Fabricados Fortaleza,,,Brazil,BRA,Ceará,,,,,,,,
33,Modular Homes Northeast,,,Brazil,BRA,Ceará,,,,,,,,
34,Casas Pré-Fabricadas Ceará,,,Brazil,BRA,Ceará,,,,,,,,
35,Habitat Modular,,,Brazil,BRA,Ceará,,,,,,,,
36,Prefabricar Nordeste,,,Brazil,BRA,Ceará,,,,,,,,
37,Construmod Ceará,,,Brazil,BRA,Ceará,,,,,,,,
38,Casas Kit Ceará,,,Brazil,BRA,Ceará,,,,,,,,
39,Econômicas Pré-Moldadas,,,Brazil,BRA,Ceará,,,,,,,,
40,Indústria de Casas Modular,,,Brazil,BRA,Ceará,,,,,,,,
41,Nordeste Modular,,,Brazil,BRA,Ceará,,,,,,,,
42,CasaFácil Pré-Fabricadas,,,Brazil,BRA,Ceará,,,,,,,,
43,Fortaleza Modular Solutions,,,Brazil,BRA,Ceará,,,,,,,,
44,Construtora Modular Ceará,,,Brazil,BRA,Ceará,,,,,,,,
45,Panelizados do Ceará,,,Brazil,BRA,Ceará,,,,,,,,
46,Casas Bahia Pré-Fabricadas,,,Brazil,BRA,Espírito Santo,,,,,,,,
47,Modular Home Solutions ES,,,Brazil,BRA,Espírito Santo,,,,,,,,
48,Construtora Modular Capixaba,,,Brazil,BRA,Espírito Santo,,,,,,,,
49,Espírito Santo Modular Homes,,,Brazil,BRA,Espírito Santo,,,,,,,,
50,Painéis Pré-Moldados Vitória,,,Brazil,BRA,Espírito Santo,,,,,,,,
51,Casas Pré-Fabricadas Serra,,,Brazil,BRA,Espírito Santo,,,,,,,,
52,Vitória Kit Homes,,,Brazil,BRA,Espírito Santo,,,,,,,,
53,Fabricante de Casas Industrializadas ES,,,Brazil,BRA,Espírito Santo,,,,,,,,
54,Construções Pré-Moldadas Capixaba,Construções Pré-Moldadas Capixaba Ltda.,"Rua Exemplo, 123, Vitória, Espírito Santo, 29000-000, Brasil",Brazil,BRA,Espírito Santo,https://www.premoldadascapixaba.com.br,,5.0,50.0,200.0,concrete,150000.0,3000.0
55,Modulares e Pré-Fabricados Vila Velha,,,Brazil,BRA,Espírito Santo,,,,,,,,
56,Casas Rápidas ES,Casas Rápidas Espírito Santo Ltda.,"Rua Exemplar, 123, Vitória, Espírito Santo, 29000-000, Brasil",Brazil,BRA,Espírito Santo,https://www.casasrapideses.com.br,,5.0,50.0,200.0,steel,150000.0,3000.0
57,Soluciones Modulares Espírito Santo,,,Brazil,BRA,Espírito Santo,,,,,,,,
58,Painel Construções ES,,,Brazil,BRA,Espírito Santo,,,,,,,,
59,Construtora de Casas Pré-Fabricadas ES,,,Brazil,BRA,Espírito Santo,,,,,,,,
60,Capixaba Prefab Homes,,,Brazil,BRA,Espírito Santo,,,,,,,,
61,Casa Pré-Fabricada Goiás,,,Brazil,BRA,Goiás,,,,,,,,
62,Modular Home Solutions,,,Brazil,BRA,Goiás,,,,,,,,
63,Construtora Pré-Moldada Goiás,,,Brazil,BRA,Goiás,,,,,,,,
64,Goiás Modular Homes,,,Brazil,BRA,Goiás,,,,,,,,
65,Prefabricados Goiás,,,Brazil,BRA,Goiás,,,,,,,,
66,Panelized Homes Brasil,,,Brazil,BRA,Goiás,,,,,,,,
67,Indústria de Casas Pré-Fabricadas,,,Brazil,BRA,Goiás,,,,,,,,
68,Fábrica de Casas Modulares,,,Brazil,BRA,Goiás,,,,,,,,
69,Construções Pré-Moldadas Goiás,,,Brazil,BRA,Goiás,,,,,,,,
70,Kit Homes Goiás,,,Brazil,BRA,Goiás,,,,,,,,
71,Industrialized Home Builders,,,Brazil,BRA,Goiás,,,,,,,,
72,Residências Pré-Fabricadas,,,Brazil,BRA,Goiás,,,,,,,,
73,Casas Modulares e Pré-Moldadas,,,Brazil,BRA,Goiás,,,,,,,,
74,Construtora de Casas Industrializadas,,,Brazil,BRA,Goiás,,,,,,,,
75,Goiás Factory-Built Homes,,,Brazil,BRA,Goiás,,,,,,,,
76,CasaPronta MS,,,Brazil,BRA,Mato Grosso do Sul,,,,,,,,
77,Modular MS,,,Brazil,BRA,Mato Grosso do Sul,,,,,,,,
78,PreFab Sul,,,Brazil,BRA,Mato Grosso do Sul,,,,,,,,
79,Construmodular MS,,,Brazil,BRA,Mato Grosso do Sul,,,,,,,,
80,MS Pré-fabricados,,,Brazil,BRA,Mato Grosso do Sul,,,,,,,,
81,PainelCasa MS,,,Brazil,BRA,Mato Grosso do Sul,,,,,,,,
82,KitCasa Sul,,,Brazil,BRA,Mato Grosso do Sul,,,,,,,,
83,Construtoras Modulares MS,,,Brazil,BRA,Mato Grosso do Sul,,,,,,,,
84,Industrialized Homes MS,,,Brazil,BRA,Mato Grosso do Sul,,,,,,,,
85,Casas Rápidas MS,,,Brazil,BRA,Mato Grosso do Sul,,,,,,,,
86,MS Modular Builders,,,Brazil,BRA,Mato Grosso do Sul,,,,,,,,
87,Casa Modular Sul,,,Brazil,BRA,Mato Grosso do Sul,,,,,,,,
88,Construtores de Painéis MS,,,Brazil,BRA,Mato Grosso do Sul,,,,,,,,
89,MS Factory Homes,,,Brazil,BRA,Mato Grosso do Sul,,,,,,,,
90,Casas Pré-fabricadas Sul,,,Brazil,BRA,Mato Grosso do Sul,,,,,,,,
91,Casas Paraná,,"Rua José de Alencar, 123, Belo Horizonte, Minas Gerais, 30140-110, Brasil",Brazil,BRA,Minas Gerais,https://www.casasparana.com.br,,5.0,60.0,200.0,concrete,150000.0,2500.0
92,Casas de Madeira MG,,,Brazil,BRA,Minas Gerais,,,,,,wood,,
93,Casa Modular Brasil,,,Brazil,BRA,Minas Gerais,,,,,,,,
94,Modularis Construções,,,Brazil,BRA,Minas Gerais,,,,,,,,
95,Construtora Modelar,Construtora Modelar LTDA,"Rua Exemplo, 123, Belo Horizonte, Minas Gerais, 30123-456, Brasil",Brazil,BRA,Minas Gerais,https://www.constructoramodelar.com.br,,5.0,45.0,150.0,concrete,150000.0,3000.0
96,MG Pré-Fabricados,,,Brazil,BRA,Minas Gerais,,,,,,,,
97,Construtora Modular MG,,,Brazil,BRA,Minas Gerais,,,,,,,,
98,Casas Pré-Fabricadas Minas,,,Brazil,BRA,Minas Gerais,,,,,,,,
99,Construtora Minas Modular,,,Brazil,BRA,Minas Gerais,,,,,,,,
100,Casas Compactas MG,,,Brazil,BRA,Minas Gerais,,,,,,,,
101,Pré-Fabricados BH,,,Brazil,BRA,Minas Gerais,,,,,,,,
102,Modular Minas,,,Brazil,BRA,Minas Gerais,,,,,,,,
103,Casas Rápidas MG,,,Brazil,BRA,Minas Gerais,,,,,,,,
104,Construtora Eficiência Modular,,,Brazil,BRA,Minas Gerais,,,,,,,,
105,Construções Modulares MG,,,Brazil,BRA,Minas Gerais,,,,,,,,
106,Construções Pré-Fabricadas do Sul,,,Brazil,BRA,Minas Gerais,,,,,,,,
107,Modulares MG,,,Brazil,BRA,Minas Gerais,,,,,,,,
108,Casas Estruturais Minas,,,Brazil,BRA,Minas Gerais,,,,,,,,
109,Pré-Fabricados e Modulares BH,,,Brazil,BRA,Minas Gerais,,,,,,,,
110,Construtora Modular Avançada,,,Brazil,BRA,Minas Gerais,,,,,,,,
111,Casas MG Industrializadas,,,Brazil,BRA,Minas Gerais,,,,,,,,
112,Modular Pro Minas,,,Brazil,BRA,Minas Gerais,,,,,,,,
113,Kit Casas Minas,,,Brazil,BRA,Minas Gerais,,,,,,,,
114,Construção Modular e Pré-Fabricada MG,,,Brazil,BRA,Minas Gerais,,,,,,,,
115,Casas Pré-Moldadas BH,,"Rua dos Prefabricados, 123, Belo Horizonte, Minas Gerais, 30100-000, Brasil",Brazil,BRA,Minas Gerais,https://www.casaspremoldadasbh.com.br,,5.0,40.0,120.0,concrete,50000.0,1500.0
116,Casas Paraná,,,Brazil,BRA,Paraná,,,,,,,,
117,Modular Home PR,,,Brazil,BRA,Paraná,,,,,,,,
118,EcoPrefab,,,Brazil,BRA,Paraná,,,,,,,,
119,Construtora Modular Paraná,,,Brazil,BRA,Paraná,,,,,,,,
120,Paraná Prefab,,,Brazil,BRA,Paraná,,,,,,,,
121,Casas Bahia Pré-Fabricadas,,,Brazil,BRA,Ceará,,,,,,,,
122,Construtora Modular Fortaleza,,,Brazil,BRA,Ceará,,,,,,,,
123,Modular Home Builders Ceará,,,Brazil,BRA,Ceará,,,,,,,,
124,Casas Pré-Moldadas Ceará,,,Brazil,BRA,Ceará,,,,,,,,
125,Casa Fácil Pré-Fabricadas,,,Brazil,BRA,Ceará,,,,,,,,
126,Construtora Industrializada Nordeste,,,Brazil,BRA,Ceará,,,,,,,,
127,Eco Modular Construções,,"Rua Doutor João Moreira, 123, Fortaleza, Ceará, 60010-300, Brasil",Brazil,BRA,Ceará,https://www.ecomodularconstrucoes.com.br,,5.0,45.0,120.0,steel,85000.0,2000.0
128,Prefab House Ceará,,,Brazil,BRA,Ceará,,,,,,,,
129,Casas Rápidas Pré-Fabricadas,,,Brazil,BRA,Ceará,,,,,,,,
130,Construtora Modular Ceará,Construtora Modular Ceará LTDA,"Rua Exemplo, 123, Fortaleza, Ceará, 60000-000, Brasil",Brazil,BRA,Ceará,https://www.construtoramodularceara.com.br,,5.0,40.0,150.0,steel,150000.0,3000.0
131,Casas Industrializadas Fortaleza,,,Brazil,BRA,Ceará,,,,,,,,
132,Casa Modular Brasil,Casa Modular Brasil Ltda,"Rua dos Prefabricados, 123, Fortaleza, Ceará, 60000-000, Brasil",Brazil,BRA,Ceará,https://www.casamodularbrasil.com.br,,5.0,40.0,120.0,steel,150000.0,3000.0
133,Construtora Modular do Ceará,,,Brazil,BRA,Ceará,,,,,,,,
