id,brand,head_office_legal_name,address,country,country_code,region,webpage,configurator,models_amount,min_sqm,max_sqm,main_structure_material,min_home_price,average_price_sqm,latitude,longitude
1,Modular Engenharia,Modular Engenharia Ltda.,"Rua das Flores, 123, Salvador, Bahia, 40000-000, Brasil",Brazil,BRA,Bahia,https://www.modularengenharia.com.br,NaN,5.0,45.0,200.0,steel,150000.0,3500.0,NaN,NaN
2,Construções Pré-Moldadas Capixaba,Construções Pré-Moldadas Capixaba Ltda.,"Rua Exemplo, 123, Vitória, Espírito Santo, 29000-000, Brasil",Brazil,BRA,Espírito Santo,https://www.premoldadascapixaba.com.br,NaN,5.0,50.0,200.0,concrete,150000.0,3000.0,NaN,NaN
3,Casas Rápidas ES,Casas Rápidas Espírito Santo Ltda.,"Rua Exemplar, 123, Vitória, Espírito Santo, 29000-000, Brasil",Brazil,BRA,Espírito Santo,https://www.casasrapideses.com.br,NaN,5.0,50.0,200.0,steel,150000.0,3000.0,NaN,NaN
4,Casas Paraná,NaN,"Rua José de Alencar, 123, Belo Horizonte, Minas Gerais, 30140-110, Brasil",Brazil,BRA,Minas Gerais,https://www.casasparana.com.br,NaN,5.0,60.0,200.0,concrete,150000.0,2500.0,NaN,NaN
5,Construtora Modelar,Construtora Modelar LTDA,"Rua Exemplo, 123, Belo Horizonte, Minas Gerais, 30123-456, Brasil",Brazil,BRA,Minas Gerais,https://www.constructoramodelar.com.br,NaN,5.0,45.0,150.0,concrete,150000.0,3000.0,NaN,NaN
6,Casas Pré-Moldadas BH,NaN,"Rua dos Prefabricados, 123, Belo Horizonte, Minas Gerais, 30100-000, Brasil",Brazil,BRA,Minas Gerais,https://www.casaspremoldadasbh.com.br,NaN,5.0,40.0,120.0,concrete,50000.0,1500.0,NaN,NaN
7,Eco Modular Construções,NaN,"Rua Doutor João Moreira, 123, Fortaleza, Ceará, 60010-300, Brasil",Brazil,BRA,Ceará,https://www.ecomodularconstrucoes.com.br,NaN,5.0,45.0,120.0,steel,85000.0,2000.0,NaN,NaN
8,Construtora Modular Ceará,Construtora Modular Ceará LTDA,"Rua Exemplo, 123, Fortaleza, Ceará, 60000-000, Brasil",Brazil,BRA,Ceará,https://www.construtoramodularceara.com.br,NaN,5.0,40.0,150.0,steel,150000.0,3000.0,NaN,NaN
9,Casa Modular Brasil,Casa Modular Brasil Ltda,"Rua dos Prefabricados, 123, Fortaleza, Ceará, 60000-000, Brasil",Brazil,BRA,Ceará,https://www.casamodularbrasil.com.br,NaN,5.0,40.0,120.0,steel,150000.0,3000.0,NaN,NaN
10,Casa Modular MS,Casa Modular Mato Grosso do Sul Ltda.,"Rua Exemplo, 123, Campo Grande, Mato Grosso do Sul, 79000-000, Brasil",Brazil,BRA,Mato Grosso do Sul,https://www.casamodularms.com.br,NaN,5.0,50.0,150.0,steel,150000.0,3000.0,NaN,NaN
11,Casas Paraná,NaN,"Rua da Indústria, 348 - Boqueirão, Curitiba, Paraná, 81750-000, Brasil",Brazil,BRA,Paraná,https://www.casasparana.com.br,NaN,5.0,45.0,120.0,wood,85000.0,2000.0,NaN,NaN
12,Casas Brasília Pré-Fabricadas,NaN,"Rua Doutor Muricy, 123, Curitiba, Paraná, 80020-040, Brasil",Brazil,BRA,Paraná,https://www.casasbrasilia.com.br,NaN,NaN,NaN,NaN,wood,NaN,NaN,NaN,NaN
13,Madeira & Madeira Construções,Madeira & Madeira Construções Ltda.,"Rua Exemplo, 123, Curitiba, Paraná, 80000-000, Brasil",Brazil,BRA,Paraná,https://www.madeiraemadeira.com.br,NaN,5.0,45.0,150.0,wood,120000.0,3000.0,NaN,NaN
14,Casas Brasil Pré-Fabricadas,Casas Brasil Pré-Fabricadas Ltda.,"Rua Exemplo, 123, Curitiba, Paraná, 80000-000, Brasil",Brazil,BRA,Paraná,https://www.casasbrasilprefabricadas.com.br,NaN,NaN,NaN,NaN,wood,NaN,NaN,NaN,NaN
15,Ecologic Houses,Ecologic Houses Indústria de Casas Pré-Fabricadas Ltda.,"Rua João Negrão, 123, Curitiba, Paraná, 80010-200, Brasil",Brazil,BRA,Paraná,https://www.ecologichouses.com.br,NaN,8.0,45.0,200.0,wood,120000.0,3000.0,NaN,NaN
16,Construtora Casas Paraná,Construtora Casas Paraná Ltda.,"Rua Marechal Deodoro, 123, Porto Alegre, RS, 90010-300, Brasil",Brazil,BRA,Rio Grande do Sul,https://www.casaparana.com.br,NaN,15.0,45.0,200.0,wood,50000.0,1200.0,NaN,NaN
17,Modular Design RS,Modular Design RS Ltda,"Rua Exemplo, 123, Porto Alegre, RS, 90000-000, Brasil",Brazil,BRA,Rio Grande do Sul,https://www.modulardesignrs.com.br,NaN,5.0,45.0,150.0,steel,150000.0,3500.0,NaN,NaN
18,Conceito Modular,Conceito Modular Ltda.,"Rua dos Arquitetos, 123, Porto Alegre, RS, 90000-000, Brasil",Brazil,BRA,Rio Grande do Sul,https://www.conceitomodular.com.br,NaN,5.0,40.0,120.0,steel,150000.0,2500.0,NaN,NaN
19,Tecverde Engenharia,Tecverde Engenharia S.A.,"Rua Dr. Pedro Zimmermann, 10.000, Itoupava Central, Blumenau, SC, 89066-000, Brasil",Brazil,BRA,Santa Catarina,https://www.tecverde.com.br,NaN,5.0,65.0,200.0,wood,150000.0,2500.0,NaN,NaN
20,Casas MM,Casas MM Indústria e Comércio de Casas Pré-Fabricadas Ltda.,"Rua dos Imigrantes, 1234, Joinville, Santa Catarina, 89201-000, Brasil",Brazil,BRA,Santa Catarina,https://www.casasmmprefab.com.br,NaN,5.0,45.0,120.0,wood,150000.0,3500.0,NaN,NaN
21,Casas Brasil,Casas Brasil Construções Eireli,"Rua São José, 123, Florianópolis, Santa Catarina, 88000-000, Brasil",Brazil,BRA,Santa Catarina,https://www.casasbrasil.com.br,NaN,5.0,50.0,200.0,wood,120000.0,2500.0,NaN,NaN
22,Casas Jung,Casas Jung Ltda.,"Rua Exemplo, 123, Florianópolis, Santa Catarina, 88000-000, Brasil",Brazil,BRA,Santa Catarina,https://casasjung.com.br,NaN,5.0,50.0,200.0,wood,150000.0,3000.0,NaN,NaN
23,Casas Solaris,Casas Solaris Ltda.,"Rua Exemplo, 123, Florianópolis, Santa Catarina, 88000-000, Brasil",Brazil,BRA,Santa Catarina,https://www.casassolaris.com.br,NaN,5.0,50.0,200.0,wood,150000.0,3000.0,NaN,NaN
24,Casas Kehl,Casas Kehl Indústria e Comércio de Casas Pré-Fabricadas Ltda.,"Rod. SC-418, Km 0,5, 1400, Campo Alegre, Santa Catarina, 89294-000, Brasil",Brazil,BRA,Santa Catarina,https://www.casaskel.com.br,NaN,8.0,50.0,200.0,wood,70000.0,1500.0,NaN,NaN
25,Modularis Offsite Building,Modularis Offsite Building Ltda.,"Rua Desembargador Pedro Silva, 295, Florianópolis, Santa Catarina, 88020-630, Brasil",Brazil,BRA,Santa Catarina,https://www.modularis.com.br,NaN,5.0,40.0,200.0,steel,150000.0,3500.0,NaN,NaN
26,Casas de Madeira Guindani,Casas de Madeira Guindani Ltda.,"Rodovia SC-283, KM 12, S/N, Chapecó, Santa Catarina, 89809-000, Brasil",Brazil,BRA,Santa Catarina,https://www.casasdemadeiraguindani.com.br,NaN,5.0,50.0,150.0,wood,50000.0,1500.0,NaN,NaN
27,Ecoplan Engenharia,NaN,NaN,Brazil,BRA,Santa Catarina,https://www.ecoplanengenharia.com.br,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
