id,brand,head_office_legal_name,address,country,country_code,region,webpage,configurator,models_amount,min_sqm,max_sqm,main_structure_material,min_home_price,average_price_sqm,latitude,longitude,type,viz,plans
4,Casas Paraná,,"Rua José de Alencar, 123, Belo Horizonte, Minas Gerais, 30140-110, Brasil",Brazil,BRA,Minas Gerais,https://www.casasparana.com.br,,5.0,60.0,200.0,concrete,150000.0,2500.0,-19.9317795,-43.979072,,,
11,Casas Paraná,,"Rua da Indústria, 348 - Boqueirão, Curitiba, Paraná, 81750-000, Brasil",Brazil,BRA,Paraná,https://www.casasparana.com.br,,5.0,45.0,120.0,wood,16155.34,380.12,-25.494963,-49.235489,,,
13,Madeira & Madeira Construções,Madeira & Madeira Construções Ltda.,"Rua Exemplo, 123, Curitiba, Paraná, 80000-000, Brasil",Brazil,BRA,Paraná,https://www.madeiraemadeira.com.br,,5.0,45.0,150.0,wood,120000.0,3000.0,-20.4643234,-54.6194456,,,
16,Construtora Casas Paraná,Construtora Casas Paraná Ltda.,"Rua Marechal Deodoro, 123, Porto Alegre, RS, 90010-300, Brasil",Brazil,BRA,Rio Grande do Sul,https://www.casaparana.com.br,,15.0,45.0,200.0,wood,50000.0,1200.0,-30.028704,-51.228735,,,
18,Conceito Modular,Conceito Modular Ltda.,"Rua dos Arquitetos, 123, Porto Alegre, RS, 90000-000, Brasil",Brazil,BRA,Rio Grande do Sul,https://www.conceitomodular.com.br,,4.0,18.0,72.0,steel,150000.0,2500.0,-28.2647925,-52.4034919,,,
19,Tecverde Engenharia,Tecverde Engenharia S.A.,"Rua Dr. Pedro Zimmermann, 10.000, Itoupava Central, Blumenau, SC, 89066-000, Brasil",Brazil,BRA,Santa Catarina,https://www.tecverde.com.br,,5.0,65.0,200.0,wood,150000.0,2500.0,-26.8562,-49.1696,,,
21,Casas Brasil,Casas Brasil Construções Eireli,"Rua São José, 123, Florianópolis, Santa Catarina, 88000-000, Brasil",Brazil,BRA,Santa Catarina,https://www.casasbrasil.com.br,,5.0,50.0,200.0,wood,120000.0,2500.0,-27.5811299,-48.5832599,,,
25,Modularis Offsite Building,Modularis Offsite Building Ltda.,"Rua Desembargador Pedro Silva, 295, Florianópolis, Santa Catarina, 88020-630, Brasil",Brazil,BRA,Santa Catarina,https://www.modularis.com.br,,5.0,40.0,200.0,steel,150000.0,3500.0,-27.596587,-48.543292,,,
27,Ecoplan Engenharia,,,Brazil,BRA,Santa Catarina,https://www.ecoplanengenharia.com.br,,,,,,,,-27.246192196752,-50.482455751754,,,
28,Construtora Baggio,Construtora Baggio Ltda.,"Rua Iguaçu, 2820, Bairro Água Verde, Curitiba, Paraná, 80240-030, Brasil",Brazil,BRA,Santa Catarina,https://www.construtorabaggio.com.br,,,3000.0,80000.0,concrete,,,-25.4552657,-49.2765483,,,
