id,brand,head_office_legal_name,address,country,country_code,region,webpage,configurator,models_amount,min_sqm,max_sqm,main_structure_material,min_home_price,median_home_price,latitude,longitude,type,viz,plans,sqm_ranges,median_u_price,desc,desc_en
11,Casas Paraná,,"Rua da Indústria, 348 - Boqueirão, Curitiba, Paraná, 81750-000, Brasil",Brazil,BRA,Paraná,https://www.casasparana.com.br,,67,45,120,wood,16155.34,31360,-25.494963,-49.235489,homes,,,"[45,120]",380,"Especializado em casas Pré-Fabricadas ► Módulos permitem o desenvolvimento de projetos especiais e personalizados. ► Construção artesanal. Damos garantia na mão de obra e na madeira utilizada na construção. ► O mestre de obras não necessita cortar o material no local da construção, otimizando o […]","Specialized in Prefabricated houses ► Modules allow the development of special and personalized projects. ► Handcrafted construction. We guarantee the workmanship and wood used in construction. ► The construction foreman does not need to cut the material at the construction site, optimizing […]"
16,Construtora Casas Paraná,Construtora Casas Paraná Ltda.,"Rua Marechal Deodoro, 123, Porto Alegre, RS, 90010-300, Brasil",Brazil,BRA,Rio Grande do Sul,https://www.casaparana.com.br,,25,45,200,wood,50000,147000,-30.028704,-51.228735,homes,,,"[45,200]",1200,&copy; 2015 &bull; Todos os direitos reservado a Designwcom,© 2015 • All rights reserved to Designwcom
18,Conceito Modular,Conceito Modular Ltda.,"Rua dos Arquitetos, 123, Porto Alegre, RS, 90000-000, Brasil",Brazil,BRA,Rio Grande do Sul,https://www.conceitomodular.com.br,,4,18,72,steel,112500,150000,-28.2647925,-52.4034919,homes,,,"[18,72]",3333,,
19,Tecverde Engenharia,Tecverde Engenharia S.A.,"Rua Dr. Pedro Zimmermann, 10.000, Itoupava Central, Blumenau, SC, 89066-000, Brasil",Brazil,BRA,Santa Catarina,https://www.tecverde.com.br,https://www.tecverde.com.br/modelo-de-negocio/,56,65,200,wood,150000,331250,-26.8562,-49.1696,homes,"[""https://www.tecverde.com.br/wp-content/uploads/2022/04/Parkside_47-scaled.jpg"",""https://www.tecverde.com.br/wp-content/uploads/2024/05/moradia_lapa_foto_rdziura-2510-scaled.jpeg"",""https://www.tecverde.com.br/wp-content/uploads/2024/05/moradia_lapa_foto_rdziura-0510-scaled.jpeg"",""https://www.tecverde.com.br/wp-content/uploads/2024/05/53512779153_7109d009f3_k-1.jpg"",""https://www.tecverde.com.br/wp-content/uploads/2024/02/IMG-20230812-WA0007-scaled.jpg""]",,"[65,200]",2500,"Mais rápido, mais eficiente, mais sustentável Construa com a Tecverde e descubra a tecnologia que transforma seus projetos. ARRASTE PARA VER MAIS O que fazemos Construção industrializada off-site sob medida. Entregamos projetos completos para construtoras, incorporadoras e empresas de todo o Brasil. Mais rápido, mais eficiente, mais sustentável . Nossa tecnologia de ponta garante construções ágeis, com alta qualidade e menor impacto ambiental.","Faster, more efficient, more sustainable Build with Tecverde and discover the technology that transforms your projects. DRAG TO SEE MORE What we do Custom-made off-site industrialized construction. We deliver complete projects to construction companies, developers and companies throughout Brazil. Faster, more efficient, more sustainable. Our cutting-edge technology guarantees agile constructions, with high quality and lower environmental impact."
21,Casas Brasil,Casas Brasil Construções Eireli,"Rua São José, 123, Florianópolis, Santa Catarina, 88000-000, Brasil",Brazil,BRA,Santa Catarina,https://www.casasbrasil.com.br,,3,50,200,wood,120000,312500,-27.5811299,-48.5832599,homes,"[""https://www.casasbrasil.com.br/thumb/bg.006.jpg""]",,"[50,200]",2500,"J&aacute; s&atilde;o 49 anos que a CASAS BRASIL vem construindo sua hist&oacute;ria no varejo do estado de Goi&aacute;s. Estamos em plena expans&atilde;o, no ramo de M&oacute;veis e Eletrodom&eacute;sticos, atuando em 22 munic&iacute;pios no estado, com lojas amplas, confort&aacute;veis e equipe preparada com o objetivo de oferecer sempre ""O MELHOR PRA VOC&Ecirc;"" !","It's been 49 years that CASAS BRASIL has been building its history in retail in the state of Goiás. We are in full expansion, in the Furniture and Household Appliances sector, operating in 22 municipalities in the state, with large, comfortable stores and a team prepared with the aim of always offering ""THE BEST FOR YOU""!"
25,Modularis Offsite Building,Modularis Offsite Building Ltda.,"Rua Desembargador Pedro Silva, 295, Florianópolis, Santa Catarina, 88020-630, Brasil",Brazil,BRA,Santa Catarina,https://www.modularis.com.br,,62,40,200,steel,150000,420000,-27.596587,-48.543292,homes,"[""https://modularis.com.br/website/wp-content/uploads/2024/10/1729222309-bbb81941-d363-4b3d-905c-fe2f21b6f410-scaled.jpeg"",""https://modularis.com.br/website/wp-content/uploads/2024/09/image-2.png"",""https://modularis.com.br/website/wp-content/uploads/2024/09/image-1.png"",""https://modularis.com.br/website/wp-content/uploads/2024/09/capa-yt.jpg"",""https://modularis.com.br/website/wp-content/uploads/2024/09/B-varejo1-1.png""]",,"[40,200]",3500,"INOVAÇÃO TESTADA E APROVADA EM CONSTRUÇÕES MODULARES Cabe no seu orçamento, cabe no seu tempo, cabe no mundo Faça seu orçamento INOVAÇÃO TESTADA E APROVADA EM CONSTRUÇÕES MODULARES Cabe no seu orçamento, cabe no seu tempo, cabe no mundo Faça seu orçamento PARA MARCAS VERSÁTEIS, ÁGEIS E MODERNAS, CONSTRUÇÕES COM AS MESMAS MARCAS Projetos de [&hellip;]","TESTED AND APPROVED INNOVATION IN MODULAR CONSTRUCTIONS Fits your budget, fits your time, fits the world Get your quote TESTED AND APPROVED INNOVATION IN MODULAR CONSTRUCTIONS Fits your budget, fits your time, fits the world Get your quote FOR VERSATILE, AGILE AND MODERN BRANDS, CONSTRUCTIONS WITH THE SAME BRANDS […]"
27,Ecoplan Engenharia,,,Brazil,BRA,Santa Catarina,https://www.ecoplanengenharia.com.br,,15,,,steel,,,-27.246192196752,-50.482455751754,homes,"[""https://lirp.cdn-website.com/md/pexels/dms3rep/multi/opt/pexels-photo-3184292-2304w.jpeg"",""https://irt-cdn.multiscreensite.com/ce0bb35f932b47bb809d0e37905542ba/dms3rep/multi/site_background_education-2087x1173.jpg""]",,,,"Empresa especializada na prestação de serviço de consultoria e engenharia ambiental para empresas que precisam de regularização ambiental. Atendemos nos Estados do Pará, Maranhão e Tocantins.","Company specialized in providing consultancy and environmental engineering services for companies that need environmental regularization. We serve the states of Pará, Maranhão and Tocantins."
31,Casas Pormade,Pormade Portas e Móveis Ltda.,"Rodovia BR 280, Km 52, União da Vitória, SC, 89230-000, Brasil",Brazil,BRA,Santa Catarina,https://www.pormade.com.br,,115,45,120,wood,150000,288750,-26.3784,-53.529,homes,"[""https://www.pormade.com.br/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Facm.cb81e069.webp&amp;w=3840&amp;q=75""]",,"[45,120]",3500,"Ready-to-install doors, baseboards, frames, and ACM doors with design, quality, and fast delivery. Get to know Pormade!","Ready-to-install doors, baseboards, frames, and ACM doors with design, quality, and fast delivery. Get to know Pormade!"
32,Construtora Leal,Construtora Leal Ltda.,"Rua Dom Pedro II, 1234, Florianópolis, Santa Catarina, 88036-500, Brasil",Brazil,BRA,Santa Catarina,https://www.construtoraleal.com.br,,5,50,200,concrete,150000,375000,-27.5997655,-48.6012578,homes,,,"[50,200]",3000,,
43,Precon Engenharia,Precon Engenharia S.A.,,Brazil,BRA,Mato Grosso,https://www.precon.com.br/,https://www.precon.com.br/produtos/placa-modular/,165,,,concrete,,,-10.3333333,-53.2,homes,"[""https://www.precon.com.br/app/uploads/2021/12/Placa-modular-PreconVC-1024x683.png""]","[""https://www.precon.com.br/app/uploads/2021/12/plan-1-730x1024.png"",""https://www.precon.com.br/app/uploads/2021/05/img_cumeeira_espigao_montada_plan_ceramica.png"",""https://www.precon.com.br/app/uploads/2021/05/img_cumeeira_central_plan_ceramica.png"",""https://www.precon.com.br/app/uploads/2021/05/img_capa-lateral-Plan-Ceramica.png"",""http://precon.com.br/app/uploads/2021/05/Telha-Plan.pdf"",""https://www.precon.com.br/app/uploads/2021/12/Telha-Plan-1.pdf""]",,,"Fornecemos um mix diverso para a sua obra: Argamassa e Rejunte, Telha de Fibrocimento e Telha de PVC","We provide a diverse mix for your work: Mortar and Grout, Fiber-cement Tile and PVC Tile"
44,Pormade Casa Pronta,Pormade Portas de Madeira Ltda.,"Rod. BR-376, Km 18,5, União da Vitória, PR, 84600-000, Brasil",Brazil,BRA,Paraná,https://www.pormade.com.br,,115,45,120,wood,27000,37125,-26.228596,-51.0869796,homes,"[""https://www.pormade.com.br/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Facm.cb81e069.webp&amp;w=3840&amp;q=75""]",,"[45,120]",450,"Ready-to-install doors, baseboards, frames, and ACM doors with design, quality, and fast delivery. Get to know Pormade!","Ready-to-install doors, baseboards, frames, and ACM doors with design, quality, and fast delivery. Get to know Pormade!"
47,Triple M Housing,Triple M Housing Ltd.,"400 - 7 Avenue SW, High River, Alberta, T1V 1P2, Canada",Canada,CAN,Alberta,https://www.triplemhousing.com,https://www.triplemhousing.com/models,12,46.4,46.4,wood,69600,120000,50.5765864,-113.8737817,homes,,,[46.4],2586,"At Triple M Housing, our mission is to deliver the highest quality, best engineered modular and manufactured homes. We believe a good, safe and well-built home will improve your quality of life and contribute to lifelong happiness.","At Triple M Housing, our mission is to deliver the highest quality, best engineered modular and manufactured homes. We believe a good, safe and well-built home will improve your quality of life and contribute to lifelong happiness."
51,SRI Homes,SRI Homes Inc.,"53016 Hwy 60, Acheson, Alberta, T7X 5A7, Canada",Canada,CAN,Alberta,https://www.srihomes.com,,10,60,185,wood,100000,183750,53.5473655,-113.7627271,homes,"[""https://srihomes.com/wp-content/uploads/sites/17/2024/08/2022kitchen.jpg"",""https://srihomes.com/wp-content/uploads/sites/17/2024/08/test1.jpg"",""https://srihomes.com/wp-content/uploads/sites/17/2024/08/LivingRoom.jpg"",""https://srihomes.com/wp-content/uploads/sites/17/2019/02/supportive_housing.jpg"",""https://srihomes.com/wp-content/uploads/sites/17/2024/08/kelownakitchen-scaled.jpg""]",,"[60,185]",1500,,
54,Winalta,Winalta Inc.,"10550 50 St SE, Calgary, Alberta, T2C 3E5, Canada",Canada,CAN,Alberta,https://www.winalta.com,,15,90.3,223,wood,95000,172315,50.970272,-113.957407,homes,,,"[90.3,223]",1100,,
55,Karmod Canada,,,Canada,CAN,Alberta,https://www.karmod.ca,,16,,,steel,,,45.529926,-73.7838158,homes,"[""https://karmod.ca/images/kategori/portable-polythene-toilets.jpg""]",,,,"Karmod makes modular buildings, containers, cabins and prefabricated steel houses that discovers the world.","Karmod makes modular buildings, containers, cabins and prefabricated steel houses that discovers the world."
57,Linwood Custom Homes,Linwood Homes Ltd.,"9393 287th Street, Maple Ridge, BC, V2W 1L1, Canada",Canada,CAN,Alberta,https://www.linwoodhomes.com,https://www.linwoodhomes.com/cabins,75,13.9,300.3,wood,103000,250043,49.182884990788,-123.0799490414,homes,"[""https://cdn.sanity.io/images/urh0mpiw/production/687e91b05c50d0626ea6f747d0673535f46d8cfe-2000x1331.webp""]",,"[13.9,102.4,134.8,161.5,183.7,197.1,202.3,208.2,234.9,259.1,272.6,299.5,300.3]",1236,Linwood Homes has designed and built custom homes in North America for over 55 years. Learn more about our flexible building options and fixed prices.,Linwood Homes has designed and built custom homes in North America for over 55 years. Learn more about our flexible building options and fixed prices.
