id,brand,head_office_legal_name,address,country,country_code,region,webpage,configurator,models_amount,min_sqm,max_sqm,main_structure_material,min_home_price,average_price_sqm
1,Casa Modular Alagoas,,,Brazil,BRA,Alagoas,,,,,,,,
2,Construções Pré-fabricadas AL,,,Brazil,BRA,Alagoas,,,,,,,,
3,Modular Homes Nordeste,,,Brazil,BRA,Alagoas,,,,,,,,
4,Fábrica de Casas Pré-moldadas Maceió,,,Brazil,BRA,Alagoas,,,,,,,,
5,Kit Homes Alagoas,,,Brazil,BRA,Alagoas,,,,,,,,
6,Painel Construções Alagoanas,,,Brazil,BRA,Alagoas,,,,,,,,
7,Alagoas Pré-fabricados,,,Brazil,BRA,Alagoas,,,,,,,,
8,Casas Industrializadas do Nordeste,,,Brazil,BRA,Alagoas,,,,,,,,
9,Construtores Modulares de AL,,,Brazil,BRA,Alagoas,,,,,,,,
10,Fabricantes de Casas Móveis AL,,,Brazil,BRA,Alagoas,,,,,,,,
11,Residências Pré-fabricadas Nordeste,,,Brazil,BRA,Alagoas,,,,,,,,
12,Construtora Modular Maceió,,,Brazil,BRA,Alagoas,,,,,,,,
13,Alagoas Casas Prontas,,,Brazil,BRA,Alagoas,,,,,,,,
14,Fábrica de Casas Alagoas,,,Brazil,BRA,Alagoas,,,,,,,,
15,Construcasa Modular AL,,,Brazil,BRA,Alagoas,,,,,,,,
16,Casas Bahia Pré-Fabricadas,,,Brazil,BRA,Bahia,,,,,,,,
17,Construmódulo,,,Brazil,BRA,Bahia,,,,,,,,
18,Bahia Modular Homes,,,Brazil,BRA,Bahia,,,,,,,,
19,Pré-Moldados Bahia,,,Brazil,BRA,Bahia,,,,,,,,
20,Modular Engenharia,Modular Engenharia Ltda.,"Rua das Flores, 123, Salvador, Bahia, 40000-000, Brasil",Brazil,BRA,Bahia,https://www.modularengenharia.com.br,,5,45.0,200.0,steel,150000.0,3500.0
21,Casa Modular Bahia,,,Brazil,BRA,Bahia,,,,,,,,
22,Bahia Kit Homes,,,Brazil,BRA,Bahia,,,,,,,,
23,Construtora Pré-Fabricada Bahia,,,Brazil,BRA,Bahia,,,,,,,,
24,Painéis e Módulos Bahia,,,Brazil,BRA,Bahia,,,,,,,,
25,Fábrica de Casas Bahia,,,Brazil,BRA,Bahia,,,,,,,,
26,Construtora Modular Bahia,,,Brazil,BRA,Bahia,,,,,,,,
27,Industrializados Bahia,,,Brazil,BRA,Bahia,,,,,,,,
28,Bahia Casas Pré-Moldadas,,,Brazil,BRA,Bahia,,,,,,,,
29,Kit Modular Bahia,,,Brazil,BRA,Bahia,,,,,,,,
30,Construtora de Módulos Bahia,,,Brazil,BRA,Bahia,,,,,,,,
31,Casa Modular Ceará,,,Brazil,BRA,Ceará,,,,,,,,
32,Construtora Pré-Fabricados Fortaleza,,,Brazil,BRA,Ceará,,,,,,,,
33,Modular Homes Northeast,,,Brazil,BRA,Ceará,,,,,,,,
34,Casas Pré-Fabricadas Ceará,,,Brazil,BRA,Ceará,,,,,,,,
35,Habitat Modular,,,Brazil,BRA,Ceará,,,,,,,,
36,Prefabricar Nordeste,,,Brazil,BRA,Ceará,,,,,,,,
37,Construmod Ceará,,,Brazil,BRA,Ceará,,,,,,,,
38,Casas Kit Ceará,,,Brazil,BRA,Ceará,,,,,,,,
39,Econômicas Pré-Moldadas,,,Brazil,BRA,Ceará,,,,,,,,
40,Indústria de Casas Modular,,,Brazil,BRA,Ceará,,,,,,,,
41,Nordeste Modular,,,Brazil,BRA,Ceará,,,,,,,,
42,CasaFácil Pré-Fabricadas,,,Brazil,BRA,Ceará,,,,,,,,
43,Fortaleza Modular Solutions,,,Brazil,BRA,Ceará,,,,,,,,
44,Construtora Modular Ceará,,,Brazil,BRA,Ceará,,,,,,,,
45,Panelizados do Ceará,,,Brazil,BRA,Ceará,,,,,,,,
46,Casas Bahia Pré-Fabricadas,,,Brazil,BRA,Espírito Santo,,,,,,,,
47,Modular Home Solutions ES,,,Brazil,BRA,Espírito Santo,,,,,,,,
48,Construtora Modular Capixaba,,,Brazil,BRA,Espírito Santo,,,,,,,,
49,Espírito Santo Modular Homes,,,Brazil,BRA,Espírito Santo,,,,,,,,
50,Painéis Pré-Moldados Vitória,,,Brazil,BRA,Espírito Santo,,,,,,,,
51,Casas Pré-Fabricadas Serra,,,Brazil,BRA,Espírito Santo,,,,,,,,
52,Vitória Kit Homes,,,Brazil,BRA,Espírito Santo,,,,,,,,
53,Fabricante de Casas Industrializadas ES,,,Brazil,BRA,Espírito Santo,,,,,,,,
54,Construções Pré-Moldadas Capixaba,Construções Pré-Moldadas Capixaba Ltda.,"Rua Exemplo, 123, Vitória, Espírito Santo, 29000-000, Brasil",Brazil,BRA,Espírito Santo,https://www.premoldadascapixaba.com.br,,5,50.0,200.0,concrete,150000.0,3000.0
55,Modulares e Pré-Fabricados Vila Velha,,,Brazil,BRA,Espírito Santo,,,,,,,,
56,Casas Rápidas ES,Casas Rápidas Espírito Santo Ltda.,"Rua Exemplar, 123, Vitória, Espírito Santo, 29000-000, Brasil",Brazil,BRA,Espírito Santo,https://www.casasrapideses.com.br,,5,50.0,200.0,steel,150000.0,3000.0
57,Soluciones Modulares Espírito Santo,,,Brazil,BRA,Espírito Santo,,,,,,,,
58,Painel Construções ES,,,Brazil,BRA,Espírito Santo,,,,,,,,
59,Construtora de Casas Pré-Fabricadas ES,,,Brazil,BRA,Espírito Santo,,,,,,,,
60,Capixaba Prefab Homes,,,Brazil,BRA,Espírito Santo,,,,,,,,
61,Casa Pré-Fabricada Goiás,,,Brazil,BRA,Goiás,,,,,,,,
62,Modular Home Solutions,,,Brazil,BRA,Goiás,,,,,,,,
63,Construtora Pré-Moldada Goiás,,,Brazil,BRA,Goiás,,,,,,,,
64,Goiás Modular Homes,,,Brazil,BRA,Goiás,,,,,,,,
65,Prefabricados Goiás,,,Brazil,BRA,Goiás,,,,,,,,
66,Casa Pré-fabricada Ceará,,,Brazil,BRA,Ceará,,,,,,,,
67,Modular Homes Fortaleza,,,Brazil,BRA,Ceará,,,,,,,,
68,Construtora Modulares Ceará,,,Brazil,BRA,Ceará,,,,,,,,
69,Casas Pré-moldadas Nordeste,,,Brazil,BRA,Ceará,,,,,,,,
70,Fabricação de Casas Ceará,,,Brazil,BRA,Ceará,,,,,,,,
71,Construtora de Casas Pré-fabricadas,,,Brazil,BRA,Ceará,,,,,,,,
72,Empresa de Casas Modular Ceará,,,Brazil,BRA,Ceará,,,,,,,,
73,Kit Homes Ceará,,,Brazil,BRA,Ceará,,,,,,,,
74,Painelizados Ceará,,,Brazil,BRA,Ceará,,,,,,,,
75,Construções Pré-fabricadas Ceará,,,Brazil,BRA,Ceará,,,,,,,,
76,Habitação Modular Fortaleza,,,Brazil,BRA,Ceará,,,,,,,,
77,Construtora Casas Industrializadas,,,Brazil,BRA,Ceará,,,,,,,,
78,Casas de Fábrica Ceará,,,Brazil,BRA,Ceará,,,,,,,,
79,Build Modular Ceará,,,Brazil,BRA,Ceará,,,,,,,,
80,Casas Montadas Ceará,,,Brazil,BRA,Ceará,,,,,,,,
81,Casa Modular Goiás,,,Brazil,BRA,Goiás,,,,,,,,
82,Pré-Fabricados Goiás,,,Brazil,BRA,Goiás,,,,,,,,
83,Construtora Modular Goiás,,,Brazil,BRA,Goiás,,,,,,,,
84,Kit Casas Goiás,,,Brazil,BRA,Goiás,,,,,,,,
85,Casas Industriais Goiás,,,Brazil,BRA,Goiás,,,,,,,,
86,Construções Pré-Moldadas Goiás,,,Brazil,BRA,Goiás,,,,,,,,
87,Modular Homes Goiás,,,Brazil,BRA,Goiás,,,,,,,,
88,Goiás Pré-Fabricados,,,Brazil,BRA,Goiás,,,,,,,,
89,Home Factory Goiás,,,Brazil,BRA,Goiás,,,,,,,,
90,Goiás Casas Modulares,,,Brazil,BRA,Goiás,,,,,,,,
91,Fabricantes de Casas Goiás,,,Brazil,BRA,Goiás,,,,,,,,
92,Casas Panelizadas Goiás,,,Brazil,BRA,Goiás,,,,,,,,
93,Construtora de Casas Pré-Fabricadas Goiás,,,Brazil,BRA,Goiás,,,,,,,,
94,Goiás Modular Builders,,,Brazil,BRA,Goiás,,,,,,,,
95,Casas Pré-Montadas Goiás,,,Brazil,BRA,Goiás,,,,,,,,
96,Casas Paraná,,,Brazil,BRA,Mato Grosso do Sul,,,,,,,,
97,Eco Modular,,,Brazil,BRA,Mato Grosso do Sul,,,,,,,,
98,Casas Brasil,,,Brazil,BRA,Mato Grosso do Sul,,,,,,,,
99,Casas Paraná MS,Casas Paraná Construções Pré-Fabricadas Ltda.,"Rua Marechal Rondon, 1234, Campo Grande, Mato Grosso do Sul, 79002-100, Brasil",Brazil,BRA,Mato Grosso do Sul,https://www.casasparanams.com.br,,12,45.0,150.0,wood,150000.0,3500.0
100,ModularMS,,,Brazil,BRA,Mato Grosso do Sul,,,,,,,,
101,Casa Prática,,,Brazil,BRA,Mato Grosso do Sul,,,,,,,,
102,Construtora MS Pré-Fabricados,,,Brazil,BRA,Mato Grosso do Sul,,,,,,,,
103,MS Modular,,,Brazil,BRA,Mato Grosso do Sul,,,,,,,,
104,Casa Rápida,,,Brazil,BRA,Mato Grosso do Sul,,,,,,,,
105,MSKits,,,Brazil,BRA,Mato Grosso do Sul,,,,,,,,
106,PréFormas,,,Brazil,BRA,Mato Grosso do Sul,,,,,,,,
107,Modular Construtora,,,Brazil,BRA,Mato Grosso do Sul,,,,,,,,
108,Casa Modular Sul,,,Brazil,BRA,Mato Grosso do Sul,,,,,,,,
109,Sul Modular,,,Brazil,BRA,Mato Grosso do Sul,,,,,,,,
110,Construtora Pré-Moldados MS,,,Brazil,BRA,Mato Grosso do Sul,,,,,,,,
111,Casas Pré-Fabricadas MG,,,Brazil,BRA,Minas Gerais,,,,,,,,
112,Modular Homes Brasil,Modular Homes Brasil Ltda,"Rua das Palmeiras, 123, Belo Horizonte, Minas Gerais, 30140-050, Brasil",Brazil,BRA,Minas Gerais,https://www.modularhomesbrasil.com,,5,50.0,200.0,steel,150000.0,3000.0
113,Construtora Modular Minas,Construtora Modular Minas Ltda.,"Rua Exemplo, 123, Belo Horizonte, Minas Gerais, 30123-456, Brasil",Brazil,BRA,Minas Gerais,https://www.construtoramodularminas.com.br,,5,45.0,150.0,steel,150000.0,3000.0
114,Fábrica de Casas MG,,,Brazil,BRA,Minas Gerais,,,,,,,,
115,Casas Industrializadas BH,,,Brazil,BRA,Minas Gerais,,,,,,,,
116,Construmod Minas,,,Brazil,BRA,Minas Gerais,,,,,,,,
117,Casas Pré-Moldadas MG,,"Rua Exemplo, 123, Belo Horizonte, Minas Gerais, 30100-000, Brasil",Brazil,BRA,Minas Gerais,https://www.casaspremoldadasmg.com.br,,,,,concrete,,
118,Painéis Modulares de Minas,,,Brazil,BRA,Minas Gerais,,,,,,,,
119,Kit Homes Brasil,Kit Homes Brasil Ltda,"Rua Exemplo, 123, Belo Horizonte, Minas Gerais, 30100-000, Brasil",Brazil,BRA,Minas Gerais,https://www.kithomesbrasil.com.br,,5,50.0,200.0,wood,150000.0,3000.0
120,Construções Pré-Fabricadas MG,,,Brazil,BRA,Minas Gerais,,,,,,,,
121,Modulares BH,,,Brazil,BRA,Minas Gerais,,,,,,,,
122,Casas de Fábrica Minas,,,Brazil,BRA,Minas Gerais,,,,,,,,
123,Precon Engenharia,Precon Engenharia S.A.,"Rodovia MG-424, Km 13,5, 4500 - Distrito Industrial, Pedro Leopoldo, Minas Gerais, CEP 33600-000, Brasil",Brazil,BRA,Minas Gerais,https://www.precon.com.br,,5,45.0,120.0,concrete,150000.0,3500.0
124,Casas Rápidas MG,,,Brazil,BRA,Minas Gerais,,,,,,,,
125,EcoModular Construções,,,Brazil,BRA,Minas Gerais,,,,,,,,
126,Construtora Modular BH,,,Brazil,BRA,Minas Gerais,,,,,,,,
127,Casas Modulares Verde,,,Brazil,BRA,Minas Gerais,,,,,,,,
128,Eco Casas Pré-Fabricadas,Eco Casas Pré-Fabricadas LTDA,"Rua Exemplo, 123, Belo Horizonte, Minas Gerais, 30123-456, Brasil",Brazil,BRA,Minas Gerais,https://www.ecocasasprefabricadas.com.br,,5,40.0,200.0,wood,150000.0,3000.0
129,Modular Engenharia MG,,,Brazil,BRA,Minas Gerais,,,,,,,,
