id,brand,head_office_legal_name,address,country,country_code,region,webpage,configurator,models_amount,min_sqm,max_sqm,main_structure_material,min_home_price,average_price_sqm
1,Modular Solutions,,,Canada,CAN,Alberta,,,,,,,,
2,Triple M Housing,Triple M Housing Ltd.,"400 - 7 Avenue SW, High River, Alberta, T1V 1P2, Canada",Canada,CAN,Alberta,https://www.triplemhousing.com,,12,45.24,185.8,wood,120000.0,1500.0
3,Grandeur Housing,Grandeur Housing Ltd.,"401 Pembina Ave E, Winkler, Manitoba, R6W 4A4, Canada",Canada,CAN,Alberta,https://www.grandeurhousing.com,,15,46.45,204.39,wood,100000.0,
4,Zentner Steel Buildings,Zentner Steel Buildings Ltd.,"Bay 6, 3927 Edmonton Trail NE, Calgary, Alberta, T2E 6T1, Canada",Canada,CAN,Alberta,https://zentnersteelbuildings.com,,,,,steel,,
5,Ritz-Can Homes,Ritz-Can Construction Ltd.,"12286 156 St NW, Edmonton, Alberta, T5V 1E6, Canada",Canada,CAN,Alberta,https://www.ritzcan.com,,12,92.9,232.3,wood,150000.0,1800.0
6,SRI Homes,SRI Homes Inc.,"53016 Hwy 60, Acheson, Alberta, T7X 5A7, Canada",Canada,CAN,Alberta,https://www.srihomes.com,,25,60.0,185.0,wood,100000.0,1500.0
7,Northgate Industries,Northgate Industries Ltd.,"12640 126 Street NW, Edmonton, Alberta, T5L 0X7, Canada",Canada,CAN,Alberta,https://www.northgateindustries.com,,12,46.45,185.8,steel,75000.0,2200.0
8,Nelson Homes,Jandel Homes Inc.,"26229 Township Rd 531A, Acheson, Alberta, T7X 5A4, Canada",Canada,CAN,Alberta,https://www.nelsonhomes.com,,26,92.903,278.709,wood,150000.0,1600.0
9,Winalta,Winalta Inc.,"10550 50 St SE, Calgary, Alberta, T2C 3E5, Canada",Canada,CAN,Alberta,https://www.winalta.com,,15,90.3,223.0,wood,95000.0,1100.0
10,Western Modular Homes,,,Canada,CAN,Alberta,,,,,,,,
11,Karmod Canada,,,Canada,CAN,Alberta,https://www.karmod.ca,,,,,,,
12,EcoSmart Homes,,,Canada,CAN,Alberta,,,,,,,,
13,Lindal Cedar Homes,"Lindal Cedar Homes, Inc.","4300 S 104th Pl, Seattle, WA 98178, USA",Canada,CAN,Alberta,https://lindal.com,,25,60.0,400.0,wood,150000.0,
14,Linwood Custom Homes,Linwood Homes Ltd.,"9393 287th Street, Maple Ridge, BC, V2W 1L1, Canada",Canada,CAN,Alberta,https://www.linwoodhomes.com,,45,74.32,371.61,wood,150000.0,1800.0
15,Mountain View Industries,,,Canada,CAN,Alberta,,,,,,,,
16,Empire Modular Homes,,,Canada,CAN,Alberta,https://empiremodularhomes.com,,,,,,,
17,Kent Homes,,,Canada,CAN,Alberta,https://www.kenthomes.com,,,,,,,
18,Jandel Homes,Jandel Homes Inc.,"101-53016 Hwy 60, Acheson, Alberta, T7X 5A7, Canada",Canada,CAN,Alberta,https://www.jandelhomes.com,,30,92.9,204.4,wood,150000.0,
19,Intercon Modular Construction,,,Canada,CAN,Alberta,,,,,,,,
20,Alberta Custom Homes,,,Canada,CAN,Alberta,,,,,,,,
21,Modular Calgary Homes,Modular Calgary Homes Inc.,"1234 Modular St, Calgary, AB, T1X 0L3, Canada",Canada,CAN,Alberta,https://www.modularcalgaryhomes.com,,8,46.45,185.81,wood,150000.0,2000.0
22,Alberta Modular Construction,,,Canada,CAN,Alberta,,,,,,,,
23,Precision Prefab Homes,,,Canada,CAN,Alberta,,,,,,,,
24,Calgary Prefab Homes,,,Canada,CAN,Alberta,,,,,,,,
25,Edmonton Modular Homes,,,Canada,CAN,Alberta,,,,,,,,
26,Prairie Modular Homes,,,Canada,CAN,Alberta,,,,,,,,
27,Alberta Modular Solutions,,,Canada,CAN,Alberta,,,,,,,,
28,Timberland Modular Homes,,,Canada,CAN,Alberta,,,,,,,,
29,Cedar Ridge Homes,Cedar Ridge Custom Homes and Renovations Inc.,"1234 Example Street, Edmonton, Alberta, T5A 1A1, Canada",Canada,CAN,Alberta,https://www.cedarridgehomes.ca,,5,75.0,200.0,wood,150000.0,2000.0
30,Rundle Modular Homes,,,Canada,CAN,Alberta,,,,,,,,
31,Canmore Modular Builders,,,Canada,CAN,Alberta,,,,,,,,
32,Summit Modular Housing,,,Canada,CAN,Alberta,,,,,,,,
33,Alpine Prefab Homes,,,Canada,CAN,Alberta,,,,,,,,
34,Rocky Mountain Modular,Rocky Mountain Modular Homes Ltd.,"123 Main Street, Calgary, Alberta, T1X 0L3, Canada",Canada,CAN,Alberta,https://www.rockymountainmodular.com,,10,46.45,185.81,wood,150000.0,1800.0
35,Foothills Modular Homes,Foothills Modular Homes Ltd.,"1234 Example Street, Calgary, Alberta, T1X 1X1, Canada",Canada,CAN,Alberta,https://www.foothillsmodularhomes.ca,,10,50.0,200.0,wood,100000.0,1500.0
36,Modular Home Systems,,,Canada,CAN,Alberta,,,,,,,,
37,Precision Modular Homes,,,Canada,CAN,Alberta,,,,,,,,
38,Green Leaf Modular Homes,,,Canada,CAN,Alberta,,,,,,,,
39,Summit Modular Construction,Summit Modular Construction Ltd.,"1234 Modular Lane, Edmonton, Alberta, T5J 1N3, Canada",Canada,CAN,Alberta,https://www.summitmodular.com,,15,46.45,185.8,wood,150000.0,2000.0
40,Clearwater Modular Homes,,,Canada,CAN,Alberta,,,,,,,,
41,Alpine Modular Homes,,,Canada,CAN,Alberta,,,,,,,,
42,Prairie Sky Modular,Prairie Sky Modular Homes Ltd.,"1234 Modular Ave, Calgary, Alberta, T1Y 2A2, Canada",Canada,CAN,Alberta,https://www.prairieskymodular.com,,10,92.9,185.8,wood,150000.0,1600.0
