id,brand,head_office_legal_name,address,country,country_code,region,webpage,configurator,models_amount,min_sqm,max_sqm,main_structure_material,min_home_price,average_price_sqm
1,Casas Prefabricadas Iquique,,,Chile,CHL,Tarapacá,,,,,,,,
2,Modular Homes Tarapacá,,,Chile,CHL,Tarapacá,,,,,,,,
3,Prefabricados del Norte,,,Chile,CHL,Tarapacá,,,,,,,,
4,Constructora Modular Iquique,,,Chile,CHL,Tarapacá,,,,,,,,
5,Soluciones Habitacionales Prefabricadas,,,Chile,CHL,Tarapacá,,,,,,,,
6,Viviendas Industrializadas Tarapacá,,,Chile,CHL,Tarapacá,,,,,,,,
7,Panel House Iquique,,,Chile,CHL,Tarapacá,,,,,,,,
8,Casas Kit del Norte,,,Chile,CHL,Tarapacá,,,,,,,,
9,Prefabricados y Modulares Tarapacá,,,Chile,CHL,Tarapacá,,,,,,,,
10,Casa Modular Iquique,,,Chile,CHL,Tarapacá,,,,,,,,
11,Casas Prefabricadas Coquimbo,,,Chile,CHL,Coquimbo,,,,,,,,
12,Prefabricados La Serena,Prefabricados La Serena S.A.,"Av. Francisco de Aguirre 1234, La Serena, Coquimbo, 1700000, Chile",Chile,CHL,Coquimbo,https://www.prefabricadoslaserena.cl,,5,45.0,120.0,wood,15000000.0,350000.0
13,Modular Homes Coquimbo,,,Chile,CHL,Coquimbo,,,,,,,,
14,Viviendas Industrializadas Coquimbo,,,Chile,CHL,Coquimbo,,,,,,,,
15,Casas Premoldeadas Serena,,,Chile,CHL,Coquimbo,,,,,,,,
16,Panelized Homes Coquimbo,,,Chile,CHL,Coquimbo,,,,,,,,
17,Kit Homes La Serena,,,Chile,CHL,Coquimbo,,,,,,,,
18,Constructores Modulares Coquimbo,,,Chile,CHL,Coquimbo,,,,,,,,
19,Casas Industrializadas IV Región,,,Chile,CHL,Coquimbo,,,,,,,,
20,Prefabricados del Norte,,,Chile,CHL,Coquimbo,,,,,,,,
21,Casas La Serena Prefabricadas,,,Chile,CHL,Coquimbo,,,,,,,,
22,Constructores de Casas Prefabricadas Coquimbo,,,Chile,CHL,Coquimbo,,,,,,,,
23,Fabricantes de Casas Modular Coquimbo,,,Chile,CHL,Coquimbo,,,,,,,,
24,Casas Kit Coquimbo,,,Chile,CHL,Coquimbo,,,,,,,,
25,Viviendas Prefabricadas IV Región,,,Chile,CHL,Coquimbo,,,,,,,,
26,Casas Valparaíso,,,Chile,CHL,Valparaíso,,,,,,,,
27,Modular Homes Chile,,,Chile,CHL,Valparaíso,,,,,,,,
28,Prefabricados de Chile,,,Chile,CHL,Valparaíso,,,,,,,,
29,Constructora Modular Valparaíso,,,Chile,CHL,Valparaíso,,,,,,,,
30,Casas Premoldeadas Valpo,,,Chile,CHL,Valparaíso,,,,,,,,
31,Industrial Homes Valparaíso,,,Chile,CHL,Valparaíso,,,,,,,,
32,Panelized Homes Chile,,,Chile,CHL,Valparaíso,,,,,,,,
33,Kit Homes Valparaíso,,,Chile,CHL,Valparaíso,,,,,,,,
34,Casas Prefabricadas del Pacífico,,,Chile,CHL,Valparaíso,,,,,,,,
35,Fabricantes de Casas Modulares,,,Chile,CHL,Valparaíso,,,,,,,,
36,Casas y Modulares de Chile,,,Chile,CHL,Valparaíso,,,,,,,,
37,Constructora de Viviendas Prefabricadas,,,Chile,CHL,Valparaíso,,,,,,,,
38,Chile Modular Homes,Chile Modular Homes S.A.,"Av. Pedro Montt 1234, Valparaíso, Valparaíso, 2340000, Chile",Chile,CHL,Valparaíso,https://www.chilemodularhomes.cl,,5,45.0,150.0,wood,15000000.0,250000.0
39,Casas Industriales Valparaíso,,,Chile,CHL,Valparaíso,,,,,,,,
40,Casas en Kit Valpo,,,Chile,CHL,Valparaíso,,,,,,,,
41,Prefabricados Chile,Prefabricados Chile SpA,"Avenida Vicuña Mackenna 1234, Santiago, Región Metropolitana, 8320000, Chile",Chile,CHL,Región Metropolitana de Santiago,https://www.prefabricadoschile.cl,,10,45.0,150.0,wood,12000000.0,300000.0
42,Casas Prefabricadas Santiago,,,Chile,CHL,Región Metropolitana de Santiago,,,,,,,,
43,Modular Homes Chile,,,Chile,CHL,Región Metropolitana de Santiago,,,,,,,,
44,Construcciones Modulares,,,Chile,CHL,Región Metropolitana de Santiago,,,,,,,,
45,Eco Modular,,,Chile,CHL,Región Metropolitana de Santiago,,,,,,,,
46,Santiago Prefab,,,Chile,CHL,Región Metropolitana de Santiago,,,,,,,,
47,Industrial Home Builders,,,Chile,CHL,Región Metropolitana de Santiago,,,,,,,,
48,Casa Modular,,,Chile,CHL,Región Metropolitana de Santiago,,,,,,,,
49,Pre-Cut Homes Chile,,,Chile,CHL,Región Metropolitana de Santiago,,,,,,,,
50,Sustainable Prefab Solutions,,,Chile,CHL,Región Metropolitana de Santiago,,,,,,,,
51,Tiny Homes Santiago,,,Chile,CHL,Región Metropolitana de Santiago,,,,,,,,
52,ADU Prefab Builders,,,Chile,CHL,Región Metropolitana de Santiago,,,,,,,,
53,Panelized Homes Chile,,,Chile,CHL,Región Metropolitana de Santiago,,,,,,,,
54,Factory-Built Homes Ltd.,,,Chile,CHL,Región Metropolitana de Santiago,,,,,,,,
55,System-Built Solutions,,,Chile,CHL,Región Metropolitana de Santiago,,,,,,,,
56,Luxury Prefab Santiago,,,Chile,CHL,Región Metropolitana de Santiago,,,,,,,,
57,Eco-Friendly Homes Chile,,,Chile,CHL,Región Metropolitana de Santiago,,,,,,,,
58,Smart Modular Homes,,,Chile,CHL,Región Metropolitana de Santiago,,,,,,,,
59,Casas Premoldeadas Santiago,,,Chile,CHL,Región Metropolitana de Santiago,,,,,,,,
60,Custom Prefab Creations,,,Chile,CHL,Región Metropolitana de Santiago,,,,,,,,
61,Casas Prefabricadas O'Higgins,Casas Prefabricadas O'Higgins S.A.,,Chile,CHL,Libertador General Bernardo O'Higgins,http://www.casasprefabricadasohiggins.cl,,10,36.0,120.0,wood,3500000.0,120000.0
62,Modular Homes Rancagua,,,Chile,CHL,Libertador General Bernardo O'Higgins,,,,,,,,
63,Prefab Solutions San Fernando,,,Chile,CHL,Libertador General Bernardo O'Higgins,,,,,,,,
64,Kit Casas Rengo,,,Chile,CHL,Libertador General Bernardo O'Higgins,,,,,,,,
65,Panelized Builders Machalí,,,Chile,CHL,Libertador General Bernardo O'Higgins,,,,,,,,
66,Factory-Built Homes Santa Cruz,,,Chile,CHL,Libertador General Bernardo O'Higgins,,,,,,,,
