id,brand,head_office_legal_name,address,webpage,configurator,models_amount,min_sqm,max_sqm,main_structure_material,min_home_price,average_price_sqm
1,"Beijing Yingchuang Building Technique Co., Ltd.",,,,,,,,,,
2,"Beijing Wanhua Zhibo Green Building Technology Co., Ltd.","Beijing Wanhua Zhibo Green Building Technology Co., Ltd.",,,,,,,,,
3,"Beijing Kenuo Modular House Co., Ltd.","Beijing Kenuo Modular House Co., Ltd.",,,,,,,,,
4,"Beijing Huaruijiahe Modular House Co., Ltd.","Beijing Huaruijiahe Modular House Co., Ltd.",,,,,,,,,
5,"Baihe Modular Building Co., Ltd.",,,,,,,,,,
6,Zhongyuan Green Construction,"Beijing Zhongyuan Green Construction Group Co., Ltd.","No. 1 Zhongyuan Road, Beijing, Beijing Province, 100000, China",https://www.zygreen.com,,8,45.0,200.0,steel,120000.0,3500.0
7,"Beijing Baorui Construction Technology Co., Ltd.","Beijing Baorui Construction Technology Co., Ltd.",,,,,,,,,
8,"Beijing E-House Modular Building Co., Ltd.","Beijing E-House Modular Building Co., Ltd.",,,,,,,,,
9,"Beijing Synwin Green Building Technology Co., Ltd.","Beijing Synwin Green Building Technology Co., Ltd.",,http://www.bjsynwin.com,,,,,,,
10,Broad Homes,"Beijing Broad Homes Industrial Co., Ltd.","No. 5, Beiwa Road, Haidian District, Beijing, 100081, China",https://www.bhome.com.cn,,,,,concrete,,
11,Beijing Daxing Construction Technology,"Beijing Daxing Construction Technology Co., Ltd.","No. 8, Xinyuan Road, Daxing District, Beijing, China",http://www.daxingconstruction.com,,5,50.0,200.0,steel,300000.0,8000.0
12,"Beijing Zhongchuang Modular Housing Technology Co., Ltd.","Beijing Zhongchuang Modular Housing Technology Co., Ltd.",,,,,,,,,
13,"Beijing Sanyi Green Construction Technology Co., Ltd.","Beijing Sanyi Green Construction Technology Co., Ltd.",,,,,,,,,
14,Zhongjie Modular,"Beijing Zhongjie Modular Building Co., Ltd.","Building 4, No. 16, Xingshikou Road, Haidian District, Beijing, 100093, China",https://www.zhongjiemodular.com,,12,45.0,180.0,steel,150000.0,7500.0
15,Beijing Green Modular Building,"Beijing Green Modular Building Co., Ltd.",,,,,,,,,
16,WZH Modular House,"Hebei Weizhengheng Modular House Technology Co., Ltd.","No. 11, North Jianshe Street, Qiaoxi District, Shijiazhuang, Hebei, China",https://www.wzhhouse.com,,15,20.0,200.0,steel,50000.0,2500.0
17,"Hebei Baofeng Steel Structure Co., Ltd.","Hebei Baofeng Steel Structure Co., Ltd.",,,,,,,steel,,
18,Sanhe Steel Structure,"Shijiazhuang Sanhe Steel Structure Co., Ltd.","No. 98, Yangzhuang Street, Shijiazhuang, Hebei, China",https://www.sanhehouses.com,,10,50.0,300.0,steel,50000.0,1500.0
19,"Hebei Kayi Building Materials Technology Co., Ltd.","Hebei Kayi Building Materials Technology Co., Ltd.",,,,,,,,,
20,Hebei Hongtai,"Hebei Hongtai Steel Structure Engineering Co., Ltd.","No. 1, Jalan Beihe, Shijiazhuang, Hebei, China",https://www.hongtaisteelstructure.com,,8,50.0,200.0,steel,80000.0,3200.0
21,Zhongjie Color Steel,"Hebei Zhongjie Color Steel Co., Ltd.","No. 1 Zhongjie Industrial Park, Renqiu City, Hebei Province, China",http://www.zhongjielg.cn,,5,42.0,120.0,steel,50000.0,3000.0
22,Handan Yongnian District Hangao Mobile House Factory,Handan Yongnian District Hangao Mobile House Factory,,,,,,,,,
23,"Langfang Tianhai Prefabricated House Manufacturing Co., Ltd.","Langfang Tianhai Prefabricated House Manufacturing Co., Ltd.",,,,,,,,,
24,Cangzhou Kenuo International,"Cangzhou Kenuo International Co., Ltd.","No. 1 Xinxing Road, Cangzhou City, Hebei Province, China",https://www.kenuointernational.com,,8,50.0,200.0,steel,70000.0,3500.0
25,K-Home,"Hebei K-Home Steel Structure Co., Ltd.","No. 36, Weizhuang Industrial Park, Xinxiang City, Hebei Province, China",https://www.khomechina.com,,12,30.0,200.0,steel,50000.0,2500.0
26,Baofeng Steel Building,"Hebei Baofeng Lightweight Steel Building Co., Ltd.","No. 268, Shengli Road, Xingtai, Hebei, 054000, China",http://www.bfsteelstructure.com/,,12,50.0,300.0,steel,120000.0,2500.0
27,Hebei Tianyu Modular Building,"Hebei Tianyu Modular Building Co., Ltd.","No. 88, Yongding Road, Shijiazhuang, Hebei, 050000, China",https://www.tianyumodular.com,,12,50.0,200.0,steel,120000.0,2400.0
28,Lida Container House,Qinghe County Lida Container House Factory,"No. 188, Economic Development Zone, Qinghe County, Xingtai City, Hebei Province, China",http://www.lidacontainerhouse.com,,5,20.0,150.0,steel,20000.0,3000.0
29,Zhongchuang Homes,"Hebei Zhongchuang Construction Technology Co., Ltd.","No. 88, Zhongchuang Avenue, Shijiazhuang, Hebei, China",https://www.zhongchuanghomes.cn,,15,60.0,300.0,steel,120000.0,4000.0
30,"Hebei Feixiang Modular Building Technology Co., Ltd.","Hebei Feixiang Modular Building Technology Co., Ltd.",,,,,,,,,
31,"Liaoning Modern Construction Group Co., Ltd.","Liaoning Modern Construction Group Co., Ltd.",,,,,,,,,
32,"Dalian Zhengxing Prefabricated Building Co., Ltd.","Dalian Zhengxing Prefabricated Building Co., Ltd.",,,,,,,,,
33,"Shenyang Sino-German Modular Construction Co., Ltd.","Shenyang Sino-German Modular Construction Co., Ltd.",,,,,,,,,
34,"Liaoning Zhongda Construction Group Co., Ltd.","Liaoning Zhongda Construction Group Co., Ltd.",,,,,,,,,
35,Hongxinyuan Prefab House,"Dalian Hongxinyuan Prefab House Co., Ltd.","No. 39, Changxing Street, Ganjingzi District, Dalian, Liaoning, China",http://www.hxyhouse.com,,15,45.0,120.0,steel,100000.0,2000.0
36,"Shenyang Baohui Building Materials Co., Ltd.","Shenyang Baohui Building Materials Co., Ltd.",,,,,,,,,
37,"Fushun Huachen Prefabricated Building Co., Ltd.","Fushun Huachen Prefabricated Building Co., Ltd.",,,,,,,,,
38,Dalian Yilong Prefab House,"Dalian Yilong Prefabricated House Manufacturing Co., Ltd.","No. 12, Jinzhou District, Dalian, Liaoning, China",http://www.dlylhouse.com,,8,35.0,120.0,steel,50000.0,3000.0
39,Liaoning Urban Construction,"Liaoning Urban Construction Co., Ltd.","123 Zhongshan Road, Shenyang, Liaoning, 110004, China",https://www.lnuch.com.cn,,12,60.0,250.0,concrete,350000.0,5000.0
40,"Shenyang Xinlong Prefabricated Housing Co., Ltd.","Shenyang Xinlong Prefabricated Housing Co., Ltd.",,,,,,,,,
41,"Jilin Baoxin Prefab House Co., Ltd.",,,,,,,,,,
42,"Changchun New Energy Prefab House Co., Ltd.","Changchun New Energy Prefab House Co., Ltd.",,,,,,,,,
43,"Jilin Province Changcheng Construction Prefabricated Co., Ltd.",,,,,,,,,,
44,"Jilin Hongyu Modular Construction Co., Ltd.",,,,,,,,,,
45,"Jilin Lida Prefabricated Building Co., Ltd.","Jilin Lida Prefabricated Building Co., Ltd.",,,,,,,,,
46,"Siping Prefab Building Co., Ltd.",,,,,,,,,,
47,"Tonghua Prefabricated Construction Co., Ltd.","Tonghua Prefabricated Construction Co., Ltd.",,,,,,,,,
48,Yanbian Prefab House Factory,,,,,,,,,,
49,"Jilin Xinyuan Panelized Construction Co., Ltd.","Jilin Xinyuan Panelized Construction Co., Ltd.",,,,,,,,,
50,Changchun Modular Housing,"Changchun Modular Housing Co., Ltd.","No. 123, Industrial Park, Changchun, Jilin, China",https://www.changchunmodularhousing.com,,8,60.0,200.0,steel,150000.0,5000.0
51,"Baicheng Factory-Built Homes Co., Ltd.",,,,,,,,,,
52,"Jilin Zhenhua Prefab Buildings Co., Ltd.","Jilin Zhenhua Prefab Buildings Co., Ltd.",,,,,,,,,
53,"Songyuan Prefabricated House Co., Ltd.","Songyuan Prefabricated House Co., Ltd.",,,,,,,,,
54,Changchun Prefab Kit Homes,"Changchun Prefab Kit Homes Co., Ltd.",,,,,,,,,
55,"Jilin Province Modern Prefab Construction Co., Ltd.",,,,,,,,,,
56,"Heilongjiang Hongxin Modular Housing Co., Ltd.","Heilongjiang Hongxin Modular Housing Co., Ltd.",,,,,,,,,
57,"Harbin Prefabricated Building Co., Ltd.",,,,,,,,,,
58,"Heilongjiang Zhongjian Modular Construction Co., Ltd.","Heilongjiang Zhongjian Modular Construction Co., Ltd.",,,,,,,,,
59,Qiqihar Prefab Housing Solutions Ltd.,,,,,,,,,,
60,"Daqing Modular Homes Co., Ltd.",,,,,,,,,,
61,Heilongjiang Shuangcheng Panelized Homes Inc.,,,,,,,,,,
62,"Harbin Modern Prefabricated Structures Co., Ltd.",,,,,,,,,,
63,Yatai Prefab Homes,"Heilongjiang Yatai Manufactured Homes Co., Ltd.","No. 123 Zhongshan Road, Harbin, Heilongjiang, China",https://www.yataihomes.com,,12,45.0,150.0,steel,120000.0,8000.0
64,"Mudanjiang Kit Home Builders Co., Ltd.","Mudanjiang Kit Home Builders Co., Ltd.",,,,,,,,,
65,Jiamusi Factory-Built Housing Solutions Ltd.,,,,,,,,,,
66,Shanghai Urban Construction Modular Housing,"Shanghai Urban Construction Modular Housing Co., Ltd.","123 Zhongshan Rd, Shanghai, Shanghai, 200000, China",https://www.sucmh.com,,8,45.0,200.0,steel,150000.0,12000.0
67,Shanghai Steel Construction,"Shanghai Steel Construction Co., Ltd.","1234 Pudong Avenue, Pudong, Shanghai, 200120, China",http://www.shsteelcon.com,,15,60.0,300.0,steel,200000.0,3500.0
68,"Shanghai Changjia Modular Building Co., Ltd.",,,,,,,,,,
69,Allstar Home,"Shanghai Allstar Industrial Co., Ltd.","No. 1234, Industrial Area, Pudong New District, Shanghai, China",https://www.allstarhome.com,,10,60.0,200.0,steel,300000.0,5000.0
70,"Shanghai Trisun Architecture Co., Ltd.","Shanghai Trisun Architecture Co., Ltd.",,,,,,,,,
71,"Shanghai Qianjin Modular Building Co., Ltd.","Shanghai Qianjin Modular Building Co., Ltd.",,,,,,,,,
72,"Shanghai Huili Prefabricated Building Technology Co., Ltd.","Shanghai Huili Prefabricated Building Technology Co., Ltd.",,,,,,,,,
73,"Shanghai Green Modular Housing Co., Ltd.",,,,,,,,,,
74,"Shanghai Huaxin Green Construction and Development Co., Ltd.","Shanghai Huaxin Green Construction and Development Co., Ltd.",,,,,,,,,
75,Shanghai Tianyi Modular Housing,"Shanghai Tianyi Modular Housing Co., Ltd.","No. 1234, Pudong Avenue, Pudong New District, Shanghai, 200120, China",https://www.tianyimodular.com,,15,45.0,245.0,steel,120000.0,8000.0
76,Shanghai Yixian,"Shanghai Yixian Prefab Housing Co., Ltd.","No. 123, Yixian Road, Shanghai, Shanghai, 200000, China",https://www.yixianprefab.com,,10,50.0,200.0,steel,150000.0,3000.0
77,"Shanghai Xinyi Modular Construction Co., Ltd.",,,,,,,,,,
78,Bozhong Construction,"Shanghai Bozhong Construction Group Co., Ltd.","No. 888, East Rongle Road, Songjiang District, Shanghai, China",http://www.bozhonggroup.com,,5,60.0,200.0,steel,300000.0,5000.0
79,"Shanghai Zhongjian Modular Building Co., Ltd.","Shanghai Zhongjian Modular Building Co., Ltd.",,,,,,,,,
80,"Shanghai Zhujian Prefabricated Building Co., Ltd.",,,,,,,,,,
81,Jiangsu Beite Building Materials,"Jiangsu Beite Building Materials Co., Ltd.","No. 123, Some Road, Nanjing, Jiangsu, 210000, China",https://www.beitebuildingmaterials.com,,5,60.0,200.0,steel,150000.0,5000.0
82,Zhongnan Steel Structure,"Suzhou Zhongnan Steel Structure Co., Ltd.","No. 8, Zhongnan Road, Suzhou, Jiangsu, 215000, China",http://www.znsteel.cn,,,,,steel,,
83,Yahgee Modular,"Changshu Yahgee Modular Building Co., Ltd.","No. 8, Changwu Middle Road, Changshu, Jiangsu, 215500, China",https://www.yahgee.com,,15,50.0,200.0,steel,120000.0,5000.0
84,Union Living,"Nanjing Union Architectural System Co., Ltd.","No. 9, Yulan Road, Jiangning District, Nanjing, Jiangsu, 210000, China",https://www.unionliving.com,,5,45.0,200.0,steel,150000.0,7000.0
85,"Wuxi Guangcai Steel Structure Co., Ltd.","Wuxi Guangcai Steel Structure Co., Ltd.",,,,,,,steel,,
86,"Kunshan Sunlight New Energy Co., Ltd.","Kunshan Sunlight New Energy Co., Ltd.",,,,,,,,,
87,"Jiangsu Qianjin Steel Structure Co., Ltd.","Jiangsu Qianjin Steel Structure Co., Ltd.","No. 8, South Longtan Road, Economic Development Zone, Jingjiang City, Jiangsu Province, China",http://www.jqss.com.cn,,,,,steel,,
88,"Suzhou Tiandi Color Steel Manufacturing Co., Ltd.","Suzhou Tiandi Color Steel Manufacturing Co., Ltd.","No. 8, Yuejin Road, Changshu City, Jiangsu Province, China",,,,,,steel,,
89,Yangzhou Yajie Housing,"Yangzhou Yajie Housing Technology Co., Ltd.","No. 88, Yongan Road, Jiangdu District, Yangzhou, Jiangsu, China",https://www.yajiehousing.com,,12,45.0,180.0,steel,150000.0,3300.0
90,Huasha Homes,"Nantong Huasha Movable House Co., Ltd.","No. 888, East Haibin Road, Rugao, Nantong, Jiangsu, China",http://www.huashahouse.com,,12,30.0,120.0,steel,50000.0,2500.0
91,Kitech Steel Structure,"Wuxi Kitech Steel Structure Co., Ltd.","No. 2, South Section of Xiangsheng Road, Luoshe Town, Huishan District, Wuxi, Jiangsu, China",http://www.kitechprefabhouse.com,,5,60.0,200.0,steel,100000.0,3000.0
92,"Jiangyin Hongyu Steel Structure Co., Ltd.","Jiangyin Hongyu Steel Structure Co., Ltd.","No. 1 Hongyu Road, Zhouzhuang Town, Jiangyin City, Jiangsu Province, China",http://www.hongyusteel.com,,,,,steel,,
93,"Suzhou Rongtai Construction Co., Ltd.",,,,,,,,,,
94,"Jiangsu Zhongnan Construction Group Co., Ltd.","Jiangsu Zhongnan Construction Group Co., Ltd.",,http://www.zhongnangroup.cn,,,,,,,
95,"Taizhou Jinhu Prefabricated Building Co., Ltd.",,,,,,,,,,
96,"Zhangjiagang City Xin Zhongnan Steel Structure Co., Ltd.","Zhangjiagang City Xin Zhongnan Steel Structure Co., Ltd.","No. 210, Jinfeng Town, Zhangjiagang City, Jiangsu Province, China",,,,,,steel,,
97,"Kunshan Hongjin Steel Structure Engineering Co., Ltd.","Kunshan Hongjin Steel Structure Engineering Co., Ltd.",,,,,,,,,
98,Xinhui Color Steel,"Changzhou Xinhui Color Steel Plate Co., Ltd.","No. 18, Heping Industrial Park, Henglin Town, Wujin District, Changzhou, Jiangsu, China",http://www.xhsteelgroup.com,,,,,steel,,
99,Shengkang Container House,"Yancheng Shengkang Container House Co., Ltd.","No.88, Xinyang Road, Yancheng, Jiangsu, China",http://www.sheng-kang.com,,15,20.0,120.0,steel,50000.0,4000.0
