id,brand,head_office_legal_name,address,country,country_code,region,webpage,configurator,models_amount,min_sqm,max_sqm,main_structure_material,min_home_price,average_price_sqm
1,Davinci Haus,Davinci Haus GmbH & Co. KG,"Am Rothen Berg 1, 56472 Hof, Germany",Germany,DEU,,https://www.davinci-haus.de,,8,120.0,400.0,wood,350000.0,3000.0
2,Living Haus,Living Fertighaus GmbH,"Am Distelrasen 2, 36381 Schlüchtern, Hesse, Germany",Germany,DEU,,https://www.livinghaus.de,,23,84.0,219.0,wood,145000.0,1500.0
3,Regnauer Hausbau,Regnauer Fertigbau GmbH & Co. KG,"Pulverturmstraße 19, 83278 Traunreut, Bavaria, Germany",Germany,DEU,,https://www.regnauer.de,,12,100.0,300.0,wood,250000.0,2500.0
4,Lehner Haus,Lehner Haus GmbH,"Hauptstraße 2, 89584 Ehingen, Baden-Württemberg, Germany",Germany,DEU,,https://www.lehner-haus.de,,20,90.0,250.0,wood,120000.0,1600.0
5,Fjorborg Häuser,Fjorborg Haus GmbH,"Am Gewerbepark 1, 24983 Handewitt, Schleswig-Holstein, Germany",Germany,DEU,,https://www.fjorborg-haus.de,,15,80.0,200.0,wood,120000.0,1500.0
6,OKAL Haus,OKAL Haus GmbH,"OKAL Platz 1, 55469 Simmern, Rheinland-Pfalz, Germany",Germany,DEU,,https://www.okal.de,,51,89.0,300.0,wood,180000.0,2200.0
7,Büdenbender Hausbau,Büdenbender Hausbau GmbH,"Zum Heller 6, 57299 Burbach, North Rhine-Westphalia, Germany",Germany,DEU,,https://www.buedenbender-hausbau.de,,15,120.0,300.0,wood,250000.0,2000.0
8,Rensch Haus,Rensch-Haus GmbH,"Bosser Str. 1, 36148 Kalbach-Uttrichshausen, Hessen, Germany",Germany,DEU,,https://www.rensch-haus.com,,19,65.0,300.0,wood,200000.0,2000.0
9,SCHWABENHAUS,SCHWABENHAUS GmbH & Co. KG,"Industriestraße 2, 36266 Heringen (Werra), Hessen, Germany",Germany,DEU,,https://www.schwabenhaus.de,,36,103.0,250.0,wood,200000.0,2000.0
10,KAMPA Haus,KAMPA GmbH,"Beethovenstraße 7, 89542 Herbrechtingen, Baden-Württemberg, Germany",Germany,DEU,,https://www.kampa.de,,12,104.0,235.0,wood,250000.0,2200.0
11,Roth-Massivhaus,Bau- GmbH Roth,"Grünauer Straße 11, 12557 Berlin, Germany",Germany,DEU,,https://www.roth-massivhaus.de,,30,70.0,250.0,concrete,150000.0,1800.0
12,Regnauer Fertigbau,Regnauer Fertigbau GmbH & Co. KG,"Pullacher Straße 11, 83358 Seebruck, Bayern, Germany",Germany,DEU,,https://www.regnauer.de,,10,100.0,300.0,wood,250000.0,3000.0
13,Allkauf Haus,allkauf haus GmbH,"Am Hämel 3, 57258 Freudenberg, North Rhine-Westphalia, Germany",Germany,DEU,,https://www.allkauf.de,,30,80.0,200.0,wood,120000.0,1500.0
14,Maisons Durables,,,France,FRA,,,,,,,,,
15,Euromac 2,Euromac 2 SAS,"7 Rue Gutenberg, 57200 Sarreguemines, France",France,FRA,,https://www.euromac2.com,,,,,concrete,,
16,Natilia,AST Groupe,"45 Boulevard Marcel Dassault, 69330 Meyzieu, France",France,FRA,,https://www.natilia.fr,,11,70.0,160.0,wood,100000.0,1500.0
17,Mikit,Mikit France SAS,"3 Rue de la Croix Martre, 91120 Palaiseau, France",France,FRA,,https://www.mikit.fr,,10,60.0,150.0,concrete,90000.0,1500.0
18,Baluchon,,,France,FRA,,,,,,,,,
19,Maison Bois Massif,,,France,FRA,,https://www.maisonboismassif.fr,,,,,wood,,
20,Brikawood,,,France,FRA,,,,,,,,,
21,Modulhome,,,France,FRA,,,,,,,,,
22,Domespace,Domespace SARL,"10 Rue de la Corderie, 29200 Brest, France",France,FRA,,https://www.domespace.com,,3,100.0,300.0,wood,150000.0,2000.0
23,Maison Alsecco,,,France,FRA,,,,,,,,,
24,Synergie Bois,Synergie Bois SARL,"123 Rue de l'Artisanat, 75000 Paris, France",France,FRA,,https://www.synergiebois.fr,,5,50.0,200.0,wood,120000.0,1500.0
25,Maison Kokoon,Maison Kokoon SAS,"12 Rue de l'Innovation, 75010 Paris, France",France,FRA,,https://www.maisonkokoon.com,,5,40.0,150.0,wood,95000.0,1500.0
26,Bati Tech,Bati Tech SARL,"12 Rue de la Prefabrication, 75000 Paris, France",France,FRA,,https://www.batitech.fr,,8,45.0,150.0,wood,120000.0,2500.0
27,Sustainable Living,,,France,FRA,,,,,,,,,
28,Amodom,,,France,FRA,,https://www.amodom.fr,,,,,,,
29,Woodeum,,,France,FRA,,,,,,,,,
30,Maisons France Confort,Maisons France Confort S.A.,"2 Rue de la Roche, Alençon, Normandy, 61000, France",France,FRA,,https://www.maisons-france-confort.fr/,,50,60.0,200.0,concrete,100000.0,1500.0
31,Kithouse,,,France,FRA,,,,,,,,,
32,EcoKit France,,,France,FRA,,,,,,,,,
33,Batik Habitat,Batik Habitat SARL,"12 Rue des Entrepreneurs, 75015 Paris, France",France,FRA,,https://www.batik-habitat.fr,,5,45.0,150.0,wood,75000.0,1500.0
34,Habitat Evolution,,,France,FRA,,,,,,,,,
35,Ecolocost,Ecolocost SARL,,France,FRA,,https://www.ecolocost.com,,,,,,,
36,Maisons Bebium,Bebium Groupe SAS,"11 Rue de l'Industrie, 87410 Le Palais-sur-Vienne, France",France,FRA,,https://www.maisons-bebium.com,,15,60.0,150.0,concrete,90000.0,1500.0
37,Huf Haus France,,,France,FRA,,,,,,,,,
38,Maisons Évolution,,,France,FRA,,,,,,,,,
39,Phenix Evolution,Phenix Evolution SAS,"37 Rue Jean Mermoz, Rillieux-la-Pape, Lyon, 69140, France",France,FRA,,https://www.phenix-evolution.com,,5,60.0,200.0,concrete,100000.0,1500.0
40,Logis de Bois,Logis de Bois SARL,"12 Rue de l'Artisanat, 44110 Châteaubriant, France",France,FRA,,https://www.logisdebois.fr,,8,70.0,200.0,wood,120000.0,1500.0
41,Maison Castor,,,France,FRA,,https://www.maison-castor.com,,,,,,,
42,Maisons Design et Traditions,,,France,FRA,,https://www.maisons-design-traditions.fr,,,,,,,
43,Kokoon Homes,Kokoon Homes SARL,"123 Avenue de l'Innovation, 75000 Paris, France",France,FRA,,https://www.kokoonhomes.fr,,5,45.0,120.0,wood,75000.0,2000.0
44,Euromodules,Euromodules S.A.R.L.,"12 Rue de l'Industrie, 68360 Soultz-Haut-Rhin, France",France,FRA,,https://www.euromodules.com,,8,30.0,150.0,steel,50000.0,1500.0
45,Cocoon Modules,,,France,FRA,,https://cocoon-modules.com,,,,,,,
46,Optima Concept,Optima Concept SAS,"123 Rue de l'Innovation, 75000 Paris, France",France,FRA,,https://www.optima-concept.fr,,5,45.0,150.0,wood,75000.0,1200.0
47,Cemex France,Cemex France SAS,"1 Avenue du Général de Gaulle, 92074 Paris La Défense Cedex, France",France,FRA,,https://www.cemex.fr,,,,,concrete,,
48,Maisons Logelis,Logelis SAS,"10 Rue de l'Avenir, 38350 La Mure, France",France,FRA,,https://www.logelis.com/,,5,70.0,140.0,wood,120000.0,1500.0
49,Maison Bois Kit,SARL Maison Bois Kit,"12 Rue de l'Industrie, 44150 Ancenis, Pays de la Loire, France",France,FRA,,https://www.maisonboiskit.com,,15,75.0,200.0,wood,50000.0,1000.0
50,Biospeedhome,,,France,FRA,,https://www.biospeedhome.com,,,,,,,
51,Ossabois,Ossabois SAS,"98 Rue Louis Pasteur, 42350 La Talaudière, France",France,FRA,,https://www.ossabois.com,,12,45.0,200.0,wood,70000.0,1500.0
52,Trecobat,Trecobat SAS,"14 Rue de Suède, 56400 Auray, Brittany, France",France,FRA,,https://www.trecobat.fr,,15,65.0,200.0,wood,100000.0,1500.0
53,Maisons MCA,Maisons de la Côte Atlantique,"65 Avenue Jean Jaurès, 33150 Cenon, France",France,FRA,,https://www.maisons-mca.com,,24,60.0,150.0,concrete,80000.0,1500.0
54,Phénix Evolution,,,France,FRA,,https://www.phenixevolution.fr,,,,,,,
55,Naturhome,,,France,FRA,,,,,,,,,
56,Trecobois,Trecobois SAS,"Zone Artisanale Le Poteau, 18340 Plaimpied-Givaudins, France",France,FRA,,https://www.trecobois.fr,,5,60.0,150.0,wood,120000.0,2000.0
57,KHEOPS Habitat,,,France,FRA,,,,,,,,,
58,Ma Petite Maison,Ma Petite Maison SARL,"73 Chemin de la Tuilière, 07300 Saint-Jean-de-Muzols, France",France,FRA,,https://www.mapetitemaison.com,,5,20.0,120.0,wood,50000.0,1500.0
59,Evoluflor,,,France,FRA,,,,,,,,,
60,EcoModul,EcoModul S.A.S.,"12 Rue de l'Innovation, 75015 Paris, France",France,FRA,,https://www.ecomodul.fr,,5,45.0,150.0,wood,75000.0,1500.0
61,Karmod France,,,France,FRA,,https://www.karmod.eu/fr/,,,,,,,
62,Maisons Berval,Maisons Berval SAS,"1 Rue de la Montjoie, 93210 Saint-Denis, Île-de-France, France",France,FRA,,https://www.maisonsberval.fr,,20,80.0,200.0,concrete,200000.0,2500.0
63,Maisons Batidur,Maisons Batidur SARL,"12 Rue de la Paix, Angoulême, Nouvelle-Aquitaine, 16000, France",France,FRA,,https://www.maisonsbatidur.fr,,10,80.0,200.0,wood,120000.0,1500.0
64,Maisons Socoren,Société Coopérative de Recherche et d'Exploitation des Nouvelles technologies (SOCOREN),"Zone du Bois Geslin, 53800 Renazé, France",France,FRA,,https://www.socoren.com,,12,80.0,200.0,concrete,120000.0,1500.0
65,Maisons Sésame,,,France,FRA,,https://www.maisons-sesame.fr,,,,,,,
66,Maisons Arlogis,Maisons Arlogis,,France,FRA,,https://www.maisons-arlogis.com,,20,80.0,200.0,concrete,100000.0,1500.0
67,Maisons d'en France,UCI-Union des Constructeurs Immobiliers,"30 Avenue d'Iéna, 75783 Paris, France",France,FRA,,https://www.maisonsdenfrance.com,,,,,concrete,,
68,TradiToit,TradiToit SAS,"12 Rue du Pré Gauchet, 44000 Nantes, France",France,FRA,,https://www.traditoit.fr,,8,60.0,200.0,wood,90000.0,1500.0
69,Bati-Nature,,,France,FRA,,https://www.bati-nature.fr,,,,,,,
70,Ma Maison ACV,,,France,FRA,,,,,,,,,
71,Ameco,,,France,FRA,,,,,,,,,
72,Koto France,,,France,FRA,,,,,,,,,
73,Eco Modulaire,,,France,FRA,,,,,,,,,
74,Maisons Elika,Maisons Elika SARL,"123 Rue de l'Innovation, Nantes, Pays de la Loire, 44000, France",France,FRA,,https://www.maisonselika.fr,,10,60.0,200.0,wood,120000.0,1500.0
75,Modulobloc,,,France,FRA,,,,,,,,,
76,Habitat Concept,,,France,FRA,,https://www.habitatconcept.fr,,,,,,,
77,NaturaDream,,,France,FRA,,,,,,,,,
78,Ecohabitat,,,France,FRA,,,,,,,,,
79,Maisons Blavier,S.A. Maisons Blavier,"Rue de Herve 99, 4651 Battice, Belgium",France,FRA,,https://www.blavier.be/,,15,80.0,200.0,wood,120000.0,1500.0
80,Bois & Logis,Bois & Logis SARL,"23 Rue des Chênes, 75012 Paris, France",France,FRA,,https://www.boisetlogis.fr,,5,45.0,150.0,wood,95000.0,1800.0
81,AST Groupe,AST Groupe,"78 Route Nationale 6, 69270 Fontaines-sur-Saône, France",France,FRA,,https://www.ast-groupe.fr,,14,60.0,200.0,wood,95000.0,1500.0
82,Le Drein Courgeon,Le Drein Courgeon SARL,"12 Rue des Champs, 61170 Le Mêle-sur-Sarthe, Orne, France",France,FRA,,https://www.ledrein-courgeon.fr,,10,60.0,150.0,wood,120000.0,1500.0
83,Harmonie Construction,,,France,FRA,,,,,,,,,
84,Noma Eco,,,France,FRA,,https://www.nomaeco.com,,,,,,,
85,Maisons Nature et Bois,,,France,FRA,,,,,,,,,
86,Demeures Caladoises,Demeures Caladoises SAS,"355 Avenue de L'Europe, Villefranche-sur-Saône, Rhône, 69400, France",France,FRA,,https://www.demeures-caladoises.com,,15,80.0,200.0,wood,120000.0,1500.0
87,EcoLogis,EcoLogis SAS,"123 Rue de la Construction, Paris, Île-de-France, 75008, France",France,FRA,,https://www.ecologis.fr,,5,50.0,150.0,wood,85000.0,2000.0
88,Kithome,,,France,FRA,,,,,,,,,
89,Maison Alysia,Maison Alysia SAS,"3 Rue de la Gare, 44210 Pornic, France",France,FRA,,https://www.maisonalysia.fr,,15,60.0,150.0,wood,95000.0,1500.0
90,Steel Concept,Steel Concept SARL,"55 Rue de la République, 13002 Marseille, France",France,FRA,,https://www.steelconcept.fr,,5,35.0,150.0,steel,50000.0,1200.0
91,Optima Modulaire,Optima Modulaire SAS,"12 Rue de l'Industrie, 75000 Paris, France",France,FRA,,https://www.optimamodulaire.fr,,5,50.0,150.0,wood,75000.0,1500.0
92,CMB System,CMB System S.A.S.,"15 Rue de la Construction, 75015 Paris, France",France,FRA,,https://www.cmbsystem.fr,,12,45.0,150.0,wood,75000.0,1500.0
93,Sateco,Sateco SAS,"2 Rue de l'Europe, 86170 Neuville-de-Poitou, France",France,FRA,,https://www.sateco.fr,,,,,concrete,,
94,CasaClima,Agenzia per l'Energia Alto Adige - CasaClima,"Via Macello 30, Bolzano, South Tyrol, 39100, Italy",Italy,ITA,,https://www.agenziacasaclima.it,,,,,,,
95,Casa Mobile,,,Italy,ITA,,,,,,,,,
96,Citterio Wood Houses,Citterio Wood Houses S.r.l.,"Via G. Di Vittorio, 21040 Cislago, VA, Italy",Italy,ITA,,https://www.citteriolegnami.it,,5,60.0,200.0,wood,45000.0,1000.0
97,Biohaus,Biohaus Srl,"Via del Progresso 6, 33070 Brugnera, PN, Italy",Italy,ITA,,https://www.biohaus.it,,8,80.0,300.0,wood,150000.0,2000.0
98,Ille Prefabbricati,Ille Prefabbricati S.p.A.,"Via dei Prefabbricati, 3, 39055 Laives, BZ, Italy",Italy,ITA,,https://www.illeprefabbricati.it,,5,45.0,150.0,wood,50000.0,1200.0
99,Casabio,,,Italy,ITA,,https://www.casabio.it,,,,,,,
100,La Foca,,,Italy,ITA,,,,,,,,,
101,Subissati,Subissati S.r.l.,"Via A. Merloni, 5, 60010 Ostra Vetere, AN, Italy",Italy,ITA,,https://www.subissati.it,,10,50.0,250.0,wood,80000.0,1500.0
102,Abitare Sostenibile,,,Italy,ITA,,,,,,,,,
103,Spazio Positivo,Spazio Positivo S.p.A.,"Via del Lavoro, 2, 38015 Lavis, Trentino-Alto Adige, Italy",Italy,ITA,,https://www.spaziopositivo.com,,5,60.0,200.0,wood,80000.0,1500.0
104,Naturhaus,Naturhaus S.r.l.,"Via dell'Artigianato, 11, 39058 Sarentino, BZ, Italy",Italy,ITA,,https://www.naturhaus.it,,8,50.0,250.0,wood,80000.0,1600.0
105,Prefabbricati Zanon,Prefabbricati Zanon Srl,"Via A. Manzoni, 52, 35020 Albignasego, Padua, Italy",Italy,ITA,,https://www.prefabbricatizanon.com,,5,50.0,200.0,wood,50000.0,1200.0
106,Eiland,,,Italy,ITA,,,,,,,,,
107,Wood Beton,Wood Beton S.p.A.,"Via G. Marconi, 32, 25010 Iseo, BS, Italy",Italy,ITA,,https://www.woodbeton.it,,10,50.0,250.0,wood,80000.0,1600.0
108,Casa Più,,,Italy,ITA,,,,,,,,,
109,Marlegno,Marlegno S.r.l.,"Via delle Industrie, 14, 24060 Bolgare, BG, Italy",Italy,ITA,,https://www.marlegno.it,,5,50.0,200.0,wood,50000.0,1500.0
110,X-Lam Dolomiti,X-Lam Dolomiti S.r.l.,"Via Roma, 34, 38050 Castelnuovo, TN, Italy",Italy,ITA,,https://www.xlamdolomiti.it,,5,60.0,250.0,CLT,80000.0,1500.0
111,Ab Legno,Ab Legno S.r.l.,"Via dell'Artigianato 12, 37010 Pastrengo, Verona, Italy",Italy,ITA,,https://www.ablegno.com,,5,50.0,200.0,wood,50000.0,1200.0
112,Vario Haus Italia,,,Italy,ITA,,,,,,,,,
113,Pagano Systems,Pagano Systems S.p.A.,"Via del Lavoro, 40, 36030 Sarcedo VI, Italy",Italy,ITA,,https://www.paganosystem.com,,5,100.0,300.0,wood,200000.0,2500.0
114,Artuso Legnami,Artuso Legnami S.r.l.,"Via Roma 24, 31040 Gorgo al Monticano, Treviso, Italy",Italy,ITA,,https://www.artusolegnami.it,,5,50.0,200.0,wood,70000.0,1200.0
115,Rasom Wood Technology,Rasom Wood Technology S.r.l.,"Via del Brennero, 12, 38123 Trento, Trentino-Alto Adige/Südtirol, Italy",Italy,ITA,,https://www.rasom.it,,5,70.0,300.0,wood,150000.0,2000.0
116,Novellocase,Novellocase S.r.l.,"Via Circonvallazione Est, 6, 28060 Sozzago, Novara, Italy",Italy,ITA,,https://www.novellocase.it,,5,50.0,250.0,wood,80000.0,1600.0
117,Casa Natura,,,Italy,ITA,,,,,,,,,
118,Bertani,,,Italy,ITA,,,,,,,,,
119,Biocasanatura,,,Italy,ITA,,https://www.biocasanatura.it,,,,,,,
120,Riko House,Riko Hiše d.o.o.,"Via degli Eroi 15, Cividale del Friuli, Udine, 33043, Italy",Italy,ITA,,https://www.riko-hise.si/en/,,5,50.0,250.0,wood,100000.0,2000.0
121,Tonin Casa,,,Italy,ITA,,https://www.tonincasa.it,,,,,,,
122,Pagano,Pagano Srl,"Via di Valle Lupara, 10, 00061, Anguillara Sabazia, RM, Italy",Italy,ITA,,https://www.paganohomes.com,,5,80.0,300.0,wood,150000.0,2500.0
123,Modula Group,,,Italy,ITA,,,,,,,,,
124,Baufritz Italia,,"Via Villoresi, 17, 20143 Milano, MI, Italy",Italy,ITA,,https://www.baufritz.com/it-it/,,,,,wood,,
125,Bioedil,,,Italy,ITA,,,,,,,,,
126,WoodBeton,Wood Beton S.p.A.,"Via delle Industrie, 6, 25031 Capriolo, Brescia, Italy",Italy,ITA,,https://www.woodbeton.it,,5,50.0,200.0,wood,50000.0,1000.0
127,BioHouse,,,Italy,ITA,,,,,,,,,
128,Progettolegno,Progettolegno Srl,"Via delle Industrie, 3, 31040 Nervesa della Battaglia, Treviso, Italy",Italy,ITA,,https://www.progettolegno.com,,5,60.0,200.0,wood,80000.0,1500.0
129,FBE WoodLiving,,"Via del Lavoro, 8, 31013 Codognè, Treviso, Italy",Italy,ITA,,https://www.fbewoodliving.com,,,,,wood,,
130,Pavone Prefabbricati,,,Italy,ITA,,,,,,,,,
