id,brand,head_office_legal_name,address,webpage,configurator,models_amount,min_sqm,max_sqm,main_structure_material,min_home_price,average_price_sqm
1,Champion Prefabs,Champion Infratech Pvt. Ltd.,"No. 21/1, 3rd Floor, 9th Cross, 6th Main, 2nd Block, Jayanagar, Bengaluru, Karnataka, 560011, India",https://www.championprefabs.com,,8,37.16,148.64,wood,1500000.0,40000.0
2,Nest-In by Tata Steel,Tata Steel Limited,"Jeevan Bharti Building, Tower 1, 10th floor, 124 Connaught Circus, New Delhi, Delhi, 110001, India",https://www.nestin.co.in,,5,27.87,92.9,steel,300000.0,10000.0
3,EPACK Prefab,EPACK Polymers Private Limited,"A-213, Sector 63, Noida, Uttar Pradesh, 201301, India",https://www.epackpolymers.com,,,,,steel,,
4,Modscape Prefab,,,,,,,,,,
5,KEF Infra,KEF Infra,,https://kefinfra.com,,,,,concrete,,
6,Modulex Modular Buildings,,,https://www.modulex.in/,,,,,,,
7,Ramakrishna Housing,Ramakrishna Housing Pvt Ltd,"Plot No. 1, Ramakrishna Venuzia, Kaza, Guntur, Andhra Pradesh, 522508, India",https://www.ramakrishnahousing.com,,,,,concrete,,
8,Prefab India,,,,,,,,,,
9,B.G. Shirke Construction Technology,B.G. Shirke Construction Technology Pvt. Ltd.,"72-73, Industrial Estate, Mundhwa, Pune, Maharashtra, 411036, India",https://www.bgshirke.com,,,,,concrete,,
10,Rapid Homes,,,,,,,,,,
11,E-Pack Polymers,E-Pack Polymers Private Limited,"Plot No. 5, Sector 8, IMT Manesar, Gurugram, Haryana, 122050, India",https://www.epack.in,,,,,steel,,
12,Modular Infra Solutions,,,,,,,,,,
13,Champion Prefabs,Champion Infratech Pvt. Ltd.,,https://championprefabs.com,,,,,wood,,
14,Nirmiti Precast,Nirmiti Precast Private Limited,"Plot No. 123, GIDC Estate, Waghodia, Vadodara, Gujarat, 391760, India",https://www.nirmitiprecast.com,,5,50.0,200.0,concrete,500000.0,15000.0
15,E-Pack Prefab,E-Pack Polymers Private Limited,"A-2, Sector 8, Noida, Uttar Pradesh, 201301, India",https://www.epackpolymers.com,,,,,steel,,
16,Redbrick Prefab,,,,,,,,,,
17,Bigbloc Construction,Bigbloc Construction Limited,"601-B, A Wing, International Trade Center, Majura Gate, Ring Road, Surat, Gujarat, 395002, India",https://www.bigblocconstruction.com,,,,,AAC blocks,,
18,Prefab Structures,Prefab Structures Pvt. Ltd.,"123 Industrial Lane, Ahmedabad, Gujarat, 380015, India",https://www.prefabstructures.com,,5,46.45,185.8,steel,500000.0,15000.0
