id,brand,head_office_legal_name,address,country,country_code,region,webpage,configurator,models_amount,min_sqm,max_sqm,main_structure_material,min_home_price,average_price_sqm
1,Champion Prefabs,Champion Infratech Pvt. Ltd.,"No. 21/1, 3rd Floor, 9th Cross, 6th Main, 2nd Block, Jayanagar, Bengaluru, Karnataka, 560011, India",India,IND,Karnataka,https://www.championprefabs.com,,8.0,37.16,148.64,wood,1500000.0,40000.0
2,Nest-In by Tata Steel,Tata Steel Limited,"Jeevan Bharti Building, Tower 1, 10th floor, 124 Connaught Circus, New Delhi, Delhi, 110001, India",India,IND,Delhi,https://nestin.co.in,,5.0,27.87,92.9,steel,300000.0,10000.0
3,EPACK Prefab,EPACK Polymers Private Limited,"A-213, Sector 63, Noida, Uttar Pradesh, 201301, India",India,IND,Uttar Pradesh,https://www.epackpolymers.com,,,,,steel,,
4,Modscape Prefab,,,India,IND,,,,,,,,,
5,KEF Infra,KEF Infra,,India,IND,,,,,,,concrete,,
6,Modulex Modular Buildings,,,India,IND,,https://www.modulex.in/,,,,,,,
7,Ramakrishna Housing,Ramakrishna Housing Pvt Ltd,"Plot No. 1, Ramakrishna Venuzia, Kaza, Guntur, Andhra Pradesh, 522508, India",India,IND,Andhra Pradesh,https://www.ramakrishnahousing.com,,,,,concrete,,
8,Prefab India,,,India,IND,,,,,,,,,
9,B.G. Shirke Construction Technology,B.G. Shirke Construction Technology Pvt. Ltd.,"72-73, Industrial Estate, Mundhwa, Pune, Maharashtra, 411036, India",India,IND,Maharashtra,,,,,,concrete,,
10,Rapid Homes,,,India,IND,,,,,,,,,
11,E-Pack Polymers,E-Pack Polymers Private Limited,"Plot No. 5, Sector 8, IMT Manesar, Gurugram, Haryana, 122050, India",India,IND,Haryana,https://www.epack.in,,,,,steel,,
12,Modular Infra Solutions,,,India,IND,,,,,,,,,
13,Champion Prefabs,Champion Infratech Pvt. Ltd.,,India,IND,,https://championprefabs.com,,,,,wood,,
14,Nirmiti Precast,Nirmiti Precast Private Limited,"Plot No. 123, GIDC Estate, Waghodia, Vadodara, Gujarat, 391760, India",India,IND,Gujarat,,,5.0,50.0,200.0,concrete,500000.0,15000.0
15,E-Pack Prefab,E-Pack Polymers Private Limited,"A-2, Sector 8, Noida, Uttar Pradesh, 201301, India",India,IND,Uttar Pradesh,https://www.epack.in/,,,,,steel,,
16,Redbrick Prefab,,,India,IND,,,,,,,,,
17,Bigbloc Construction,Bigbloc Construction Limited,"601-B, A Wing, International Trade Center, Majura Gate, Ring Road, Surat, Gujarat, 395002, India",India,IND,Gujarat,,,,,,AAC blocks,,
18,Prefab Structures,Prefab Structures Pvt. Ltd.,"123 Industrial Lane, Ahmedabad, Gujarat, 380015, India",India,IND,Gujarat,,,5.0,46.45,185.8,steel,500000.0,15000.0
19,Richa Industries,Richa Industries Limited,"Plot No. 29, DLF Industrial Area, Phase-2, Faridabad, Haryana, 121003, India",India,IND,Haryana,https://www.richa.in,,,,,steel,,
20,Vardhman Pre-Engineered Building Systems,Vardhman Pre-Engineered Building Systems Pvt. Ltd.,"Plot No. 1, Survey No. 172, Paiki Sub Plot No. 1, At Post - Haripar, Kunapur Road, Taluka - Kalavad, District - Jamnagar, Gujarat, 361012, India",India,IND,Gujarat,http://www.vardhmansteel.com,,,,,steel,,
21,EPACK Prefab,EPACK Prefab Private Limited,"EPACK Prefab, A-103, Sector-63, Noida, Uttar Pradesh, 201307, India",India,IND,Uttar Pradesh,https://www.epack.in,,,,,steel,,
22,Satec Envir Engineering,Satec Envir Engineering Pvt. Ltd.,"Plot No. 146, Gujarat Industrial Development Corporation, Umbergaon, Valsad, Gujarat, 396171, India",India,IND,Gujarat,https://www.satec.co.in,,,,,steel,,
23,Prefab World,,,India,IND,,,,,,,,,
24,Interarch Building Products Pvt. Ltd.,,"C-203, 2nd Floor, Pioneer Urban Square, Sector 62, Gurugram, Haryana, 122001, India",India,IND,Haryana,https://www.interarchbuildings.com,,,,,steel,,
25,LGSF Building Solution,LGSF Building Solution Pvt Ltd,,India,IND,,,,,,,steel,,
26,Era Infra Engineering,Era Infra Engineering Ltd.,"370-374/2, S.G. Road, Bodakdev, Ahmedabad, Gujarat, 380054, India",India,IND,Gujarat,,,,,,,,
27,Tata BlueScope Steel,Tata BlueScope Steel Limited,"The Metropolitan, Final Plot No. 27, Survey No. 21, Wakdewadi, Shivaji Nagar, Pune, Maharashtra, 411005, India",India,IND,Maharashtra,,,,,,steel,,
28,Sintex Industries,Sintex Industries Limited,"In the Absentia of Specific Street Address, Kalol (N.G.), Gujarat, India",India,IND,Gujarat,,,,,,composite,,
29,Lloyd Insulations,Lloyd Insulations (India) Limited,"Plot No 45, GIDC Industrial Estate, Naroda, Ahmedabad, Gujarat, 382330, India",India,IND,Gujarat,https://www.lloydinsulations.com/,,,,,composite,,
30,Kirby Building Systems,Kirby Building Systems India Ltd.,"Plot No. 488/489, Manjusar GIDC, Savli Road, Vadodara, Gujarat, 391775, India",India,IND,Gujarat,https://www.kirbyinternational.com,,,,,steel,,
31,Epack Polymers,Epack Polymers Private Limited,"A-213, Sector 63, Noida, Uttar Pradesh, 201301, India",India,IND,Uttar Pradesh,,,,,,steel,,
32,Hindustan Prefab Private Limited,Hindustan Prefab Private Limited,,India,IND,,,,,,,,,
