id,brand,head_office_legal_name,address,country,country_code,region,webpage,configurator,models_amount,min_sqm,max_sqm,main_structure_material,min_home_price,average_price_sqm
1,Ciudad de México state,,,Mexico,MEX,Ciudad de México,,,,,,,,
2,Durango,,,Mexico,MEX,Durango,,,,,,,,
3,Casas Prefabricadas de Aguascalientes,,,Mexico,MEX,Aguascalientes,,,,,,,,
4,Modular Homes Aguascalientes,,,Mexico,MEX,Aguascalientes,,,,,,,,
5,Constructores Modulares del Estado,,,Mexico,MEX,Aguascalientes,,,,,,,,
6,Fabricantes de Viviendas Industrializadas,,,Mexico,MEX,Aguascalientes,,,,,,,,
7,Panelizados Aguascalientes,,,Mexico,MEX,Aguascalientes,,,,,,,,
8,Viviendas Prefabricadas del Centro,Viviendas Prefabricadas del Centro S.A. de C.V.,"Av. Aguascalientes Nte. 123, Col. Las Flores, Aguascalientes, Aguascalientes, 20000, México",Mexico,MEX,Aguascalientes,https://viviendasprefabricadasdelcentro.com.mx,,5,30.0,120.0,concrete,300000.0,10000.0
9,Casas de Kit Industriales,Casas de Kit Industriales S.A. de C.V.,"Calle Hidalgo 123, Zona Centro, Aguascalientes, Aguascalientes, 20000, México",Mexico,MEX,Aguascalientes,https://www.casasdkitindustriales.com.mx,,5,50.0,150.0,steel,350000.0,8000.0
10,Casas Modulares y Prefabricadas,,,Mexico,MEX,Aguascalientes,,,,,,,,
11,Casas de Ensamble Aguascalientes,,,Mexico,MEX,Aguascalientes,,,,,,,,
12,Industrial Housing Solutions,,,Mexico,MEX,Aguascalientes,,,,,,,,
13,Prefabricados del Bajío,,,Mexico,MEX,Aguascalientes,,,,,,,,
14,Casas y Construcciones Rápidas,,,Mexico,MEX,Aguascalientes,,,,,,,,
15,Hogares Prefabricados Seguros,,,Mexico,MEX,Aguascalientes,,,,,,,,
16,Modular Constructores,,,Mexico,MEX,Aguascalientes,,,,,,,,
17,Casas Acero y Concreto,,,Mexico,MEX,Aguascalientes,,,,,,,,
18,Casas Prefabricadas de Baja California,,,Mexico,MEX,Baja California,,,,,,,,
19,Modular Homes BC,,,Mexico,MEX,Baja California,,,,,,,,
20,Prefabricados y Modulares Tijuana,,,Mexico,MEX,Baja California,,,,,,,,
21,Casas en Serie Mexicali,,,Mexico,MEX,Baja California,,,,,,,,
22,Paneles Prefabricados Ensenada,,,Mexico,MEX,Baja California,,,,,,,,
23,Construcciones Modulares del Noroeste,,,Mexico,MEX,Baja California,,,,,,,,
24,Hogares Prefabricados BC,,,Mexico,MEX,Baja California,,,,,,,,
25,Fabricantes de Viviendas Modulares,,,Mexico,MEX,Baja California,,,,,,,,
26,Casas Industriales de Baja,,,Mexico,MEX,Baja California,,,,,,,,
27,Ensamblados Prefabricados,,,Mexico,MEX,Baja California,,,,,,,,
28,Panelizados de Tijuana,,,Mexico,MEX,Baja California,,,,,,,,
29,Viviendas Rápidas BC,,,Mexico,MEX,Baja California,,,,,,,,
30,Soluciones Prefabricadas,,,Mexico,MEX,Baja California,,,,,,,,
31,Casas Armadas Mexicali,,,Mexico,MEX,Baja California,,,,,,,,
32,Estructuras Prefabricadas Ensenada,,,Mexico,MEX,Baja California,,,,,,,,
33,EcoCasas BC,,,Mexico,MEX,Baja California,,,,,,,,
34,Modular Solutions Mexicali,,,Mexico,MEX,Baja California,,,,,,,,
35,Prefabricados del Pacífico,,,Mexico,MEX,Baja California,,,,,,,,
36,Viviendas Verdes Tijuana,,,Mexico,MEX,Baja California,,,,,,,,
37,Ensenada Modular Group,,,Mexico,MEX,Baja California,,,,,,,,
38,Casas Sustentables BC,,,Mexico,MEX,Baja California,,,,,,,,
39,Modulos Habitacionales del Noroeste,,,Mexico,MEX,Baja California,,,,,,,,
40,Panelizados Eco BC,,,Mexico,MEX,Baja California,,,,,,,,
41,Construcciones Prefabricadas Tijuana,,,Mexico,MEX,Baja California,,,,,,,,
42,Innovación Modular Ensenada,,,Mexico,MEX,Baja California,,,,,,,,
43,Habitat Modular Baja,,,Mexico,MEX,Baja California,,,,,,,,
44,Prefabricados del Norte,Prefabricados del Norte S.A. de C.V.,"Calle de ejemplo 123, Tijuana, Baja California, 22000, México",Mexico,MEX,Baja California,https://www.prefabricadosdelnorte.com,,,,,,,
45,Casas Modulares del Pacífico,,,Mexico,MEX,Baja California,,,,,,,,
46,Innovación Prefabricada BC,,,Mexico,MEX,Baja California,,,,,,,,
47,Modulares del Mar,,,Mexico,MEX,Baja California,,,,,,,,
48,Casas Preconstruidas Baja,,,Mexico,MEX,Baja California,,,,,,,,
49,Edificaciones Prefabricadas BC,,,Mexico,MEX,Baja California,,,,,,,,
50,Prefabricados RapidHome BC,,,Mexico,MEX,Baja California,,,,,,,,
51,Casas Modulares del Valle,,,Mexico,MEX,Baja California,,,,,,,,
52,Construcciones Prefab BC,,,Mexico,MEX,Baja California,,,,,,,,
53,Casas Prefabricadas Baja,,,Mexico,MEX,Baja California Sur,,,,,,,,
54,Modulares y Prefabricados del Sur,,,Mexico,MEX,Baja California Sur,,,,,,,,
55,Casas Prefabricadas Los Cabos,,,Mexico,MEX,Baja California Sur,,,,,,,,
56,Prefabricados y Modulares de BCS,,,Mexico,MEX,Baja California Sur,,,,,,,,
57,Innovación Modular,,,Mexico,MEX,Baja California Sur,,,,,,,,
58,Soluciones Prefabricadas,,,Mexico,MEX,Baja California Sur,,,,,,,,
59,Casas Modulares La Paz,,,Mexico,MEX,Baja California Sur,,,,,,,,
60,Proyectos Prefabricados del Sur,,,Mexico,MEX,Baja California Sur,,,,,,,,
