id,brand,head_office_legal_name,address,webpage,configurator,models_amount,min_sqm,max_sqm,main_structure_material,min_home_price,average_price_sqm
1,Renggli AG,Renggli AG,"Gewerbezone 3, 6281 Hochdorf, Switzerland",https://www.renggli.swiss,,8,80.0,250.0,wood,200000.0,3000.0
2,HUF Haus,HUF HAUS GmbH & Co. KG,"HUF HAUS Schweiz AG, Industriestrasse 4, 6203 Sempach Station, Switzerland",https://www.huf-haus.com,,5,120.0,300.0,wood,600000.0,5000.0
3,SchwörerHaus,SchwörerHaus KG,"Oberstetten 23, 72531 Hohenstein-Oberstetten, Baden-Württemberg, Germany",https://www.schwoererhaus.de,,25,80.0,300.0,wood,300000.0,4000.0
4,Bau-Fritz AG,Bau-Fritz AG,,https://www.baufritz.com/ch,,,,,wood,,
5,WeberHaus,WeberHaus GmbH & Co. KG,"Am Erlenpark 1, 77866 Rheinau-Linx, Baden-Württemberg, Germany",https://www.weberhaus.de,,15,80.0,300.0,wood,250000.0,3500.0
6,Kampa AG,Kampa AG,,https://www.kampa.ch,,,,,,,
7,Erne AG Holzbau,ERNE AG Holzbau,"Langackerstrasse 21, 4332 Stein, Aargau, Switzerland",https://www.erne.net,,5,50.0,250.0,wood,150000.0,3000.0
8,Fertighaus Weiss,,,,,,,,,,
9,Lignotrend,Lignotrend AG,,https://www.lignotrend.com/,,,,,CLT,,
10,Blumer-Lehmann AG,Blumer-Lehmann AG,"Erlenhof, Hofstatt 24, Gossau, St. Gallen, 9200, Switzerland",https://www.blumer-lehmann.ch,,5,50.0,250.0,wood,150000.0,3000.0
11,Implenia,Implenia AG,"Industriestrasse 24, 8305 Dietlikon, Zürich, Switzerland",https://implenia.com,,,,,concrete,,
12,Künzli Holz AG,Künzli Holz AG,"Schützenstrasse 1, 8355 Aadorf, Thurgau, Switzerland",https://www.kuenzli.ch,,,,,wood,,
13,Niggli AG,,,,,,,,,,
14,Tschopp Holzbau,Tschopp Holzbau AG,"Werkstrasse 4, 6102 Malters, Luzern, Switzerland",https://www.tschopp-holzbau.ch,,,,,wood,,
15,Stalder Holzbau AG,Stalder Holzbau AG,"Grossmatte 5, 6212 Kaltbach, Switzerland",https://www.stalderholzbau.ch,,,,,wood,,
16,Holzbau Schmid AG,,,,,,,,,,
17,Gugger AG,Gugger AG,,https://www.gugger.ch,,,,,,,
18,Lüscher Holzbau,Lüscher Holzbau AG,"Industriestrasse 3, 5036 Oberentfelden, Aargau, Switzerland",https://www.luescher-holzbau.ch,,5,50.0,200.0,wood,250000.0,3500.0
19,Modulart,,,,,,,,,,
20,Haeberli Holzbau AG,Haeberli Holzbau AG,"Rütistrasse 18, 8355 Aadorf, Thurgau, Switzerland",https://www.haeberli-holzbau.ch,,,,,wood,,
21,Nordbohus,Nordbohus AS,"Industriveien 1, 7072 Heimdal, Norway",https://www.nordbohus.no,,25,70.0,250.0,wood,2500000.0,30000.0
22,Mesterhus,Mestergruppen AS,"Rosenholmveien 25, 1414 Trollåsen, Norway",https://www.mesterhus.no,,50,80.0,300.0,wood,2000000.0,30000.0
23,Systemhus,Mestergruppen AS,"Nils Hansens vei 2, 0667 Oslo, Norway",https://www.systemhus.no,,14,60.0,220.0,wood,2500000.0,22000.0
24,Hedalm Anebyhus,Hedalm Anebyhus AS,"Industrivegen 6, 2335 Stange, Norway",https://www.hedalm-anebyhus.no,,20,50.0,250.0,wood,2000000.0,30000.0
25,Blink Hus,Blink Hus AS,"Elias Smiths vei 24, 1337 Sandvika, Norway",https://www.blinkhus.no,,30,50.0,200.0,wood,2500000.0,30000.0
26,BoligPartner,BoligPartner AS,"Hamarveien 10, 2613 Lillehammer, Norway",https://boligpartner.no,,80,50.0,250.0,wood,1500000.0,25000.0
27,Norgeshus,Norgeshus AS,"Stammavegen 2, 7224 Melhus, Norway",https://www.norgeshus.no,,30,50.0,250.0,wood,1000000.0,30000.0
28,Ferdighus,Ferdighus AS,"Null address available, Norway",https://www.ferdighus.no,,,,,,,
29,Funkishus,,,,,,,,,,
30,Bono Hus,,,,,,,,,,
31,Elementhus Norge,,,,,,,,,,
32,OBOS Block Watne,OBOS Block Watne AS,"Hammersborg Torg 1, 0179 Oslo, Norway",https://obosblockwatne.no,,20,60.0,200.0,wood,2500000.0,35000.0
33,Älvsbyhus Norge,Älvsbyhus Norge AS,"Rosenholmveien 25, 1414 Trollåsen, Norway",https://www.alvsbyhus.no,,15,107.0,192.0,wood,2095000.0,25000.0
34,Hus1 Norge,Hus1 Norge AS,"Industriveien 8, 1481 Hagan, Norway",https://www.hus1norge.no,,12,60.0,200.0,wood,2000000.0,25000.0
35,Basecamp Explorer,Basecamp Explorer Group AS,"Dronningens Gate 23, 0154 Oslo, Norway",https://www.basecampexplorer.com,,,,,,,
36,Leve Hytter,Leve Hytter AS,"Kopparleden 5120, 2440 Engerdal, Norway",https://www.levehytter.no,,10,50.0,150.0,wood,2000000.0,35000.0
37,Rindalshytter,,,,,,,,,,
38,Hedda Hytter,Hedda Hytter AS,"Industriveien 1, 2580 Folldal, Norway",https://www.hedda.no,,6,47.0,154.0,wood,1200000.0,30000.0
39,Saltdalshus,,"Industriveien 53, 8250 Rognan, Norway",https://www.saltdalshus.no,,,,,wood,,
40,Element Nor,Element Nor AS,"Rosenholmveien 25, 1414 Trollåsen, Norway",https://www.elementnor.no,,5,60.0,250.0,wood,1500000.0,25000.0
41,Byggingarfélagið Bakki,Byggingarfélagið Bakki ehf.,,,,,,,,,
42,Módulhús,Módulhús ehf.,"Krókháls 5a, 110 Reykjavík, Iceland",https://www.modulhus.is,,5,30.0,150.0,wood,12000000.0,250000.0
43,Íslenskir Smáhús,,,https://islenskirmahus.is,,,,,,,
44,Húsasmiðjan,Húsasmiðjan hf.,"Skútuvogur 8, 104 Reykjavík, Iceland",https://www.husa.is,,,,,,,
45,Húseiningar,,,https://huseiningar.is,,,,,,,
46,Álftanes Modular,,,,,,,,,,
47,Framhús,,,,,,,,,,
48,Steinsteypustöðin,,,,,,,,,,
49,Límtré Vírnet,Límtré Vírnet hf.,"Gylfaflöt 5, 112 Reykjavík, Iceland",https://www.limtrevirnet.is,,5,50.0,200.0,wood,15000000.0,300000.0
50,Modularwise,Modularwise Ltd.,"Unit 1, The Business Park, Pleasley Vale, Mansfield, Nottinghamshire, NG19 8RL, United Kingdom",https://www.modularwise.co.uk,,5,45.0,150.0,wood,80000.0,1600.0
51,Build It Green,,,,,,,,,,
52,We Build Eco,We Build Eco Ltd,"15 Kirkland Ave, Ballieston, Glasgow, G69 7JW, United Kingdom",https://www.webuildeco.com,,5,30.0,120.0,wood,55000.0,1600.0
53,Boutique Modern,Boutique Modern Ltd,"Unit 1, Bell Lane, Uckfield, East Sussex, TN22 1QL, United Kingdom",https://www.boutiquemodern.co.uk,,5,40.0,120.0,timber,95000.0,2000.0
54,Baufritz,Baufritz (UK) Limited,"The Workplace, Oakington Road, Girton, Cambridge, CB3 0QH, United Kingdom",https://www.baufritz.com/uk/,,5,120.0,400.0,wood,300000.0,2500.0
55,Huf Haus,Huf Haus GmbH & Co. KG,"Hartenfelsstraße 4-8, Hartenfels, Rhineland-Palatinate, 56244, Germany",https://www.huf-haus.com/en/,,6,134.0,400.0,timber,500000.0,
56,HebHomes,Hebridean Contemporary Homes Limited,"2 Newfield Drive, Dundonald, Kilmarnock, KA2 9EW, United Kingdom",https://www.hebhomes.com,,13,67.35,270.0,timber,99000.0,
