id,brand,head_office_legal_name,address,webpage,configurator,models_amount,min_sqm,max_sqm,main_structure_material,min_home_price,average_price_sqm
1,SchwörerHaus,SchwörerHaus KG,"Hans-Schwörer-Straße 8, 72531 Hohenstein, Germany",https://www.schwoererhaus.de,https://www.schwoererhaus.de/hauskonfigurator,57,50.0,300.0,Wood,150000.0,1600.0
2,WeberHaus,WeberHaus GmbH & Co. KG,"Am Erlenpark 1, 77866 Rheinau-Linx, Germany",https://www.weberhaus.de,https://www.weberhaus.de/hauskonfigurator,15,80.0,300.0,Wood,200000.0,2500.0
3,HUF HAUS,HUF HAUS GmbH & Co. KG,"Franz-Huf-Straße 1, 56244 Hartenfels, Germany",https://www.huf-haus.com,NaN,8,120.0,300.0,Timber,400000.0,3200.0
4,Bien-Zenker,Bien-Zenker GmbH,"Am Distelrasen 2, 36381 Schlüchtern, Germany",https://www.bien-zenker.de,https://www.bien-zenker.de/hauskonfigurator,50,80.0,300.0,Wood,180000.0,2500.0
5,Fertighaus Weiss,Fertighaus WEISS GmbH,"Stuttgarter Straße 11, 74575 Schrozberg, Germany",https://www.fertighaus-weiss.de,NaN,33,80.0,300.0,Wood,150000.0,2000.0
6,Luxhaus,Luxhaus GmbH & Co. KG,"Am Dreieck 14, 91741 Lichtenau, Germany",https://www.luxhaus.de,https://www.luxhaus.de/hauskonfigurator,20,80.0,300.0,Wood,220000.0,2500.0
7,Hanlo Haus,HANLO Haus GmbH,"Industriestraße 2, 95349 Thurnau, Deutschland",https://www.hanlo.de,NaN,10,80.0,200.0,Wood,150000.0,1800.0
8,Kampa,KAMPA GmbH,"Brennofenstraße 15, 89231 Neu-Ulm, Germany",https://www.kampa.de,NaN,25,120.0,280.0,Wood,250000.0,2000.0
9,FingerHaus,FingerHaus GmbH,"Auestraße 45, 35066 Frankenberg (Eder), Germany",https://www.fingerhaus.de,https://www.fingerhaus.de/konfigurator,25,120.0,350.0,Wood,220000.0,2600.0
10,Danwood,Danwood S.A.,"Rudolf-Diesel-Str. 2, 07546 Gera, Germany",https://www.danwood.de,NaN,130,78.0,217.0,Wood,110000.0,1500.0
11,Baufritz,Baufritz GmbH & Co. KG,"Alpenstraße 25, 87746 Erkheim, Germany",https://www.baufritz.com,NaN,20,120.0,400.0,Wood,350000.0,2800.0
12,RENSCH-HAUS,RENSCH-HAUS GMBH,"Argenta Straße 1, 36148 Kalbach-Uttrichshausen, Germany",https://www.rensch-haus.com,https://www.rensch-haus.com/hauskonfigurator,35,80.0,300.0,Wood,150000.0,2000.0
13,ELK Fertighaus,ELK Fertighaus GmbH,"Industriestraße 1, 97268 Kirchheim, Germany",https://www.elk-fertighaus.de,NaN,50,80.0,300.0,Wood,120000.0,1600.0
14,Talbau-Haus,Talbau-Haus GmbH,"Talstraße 6, 71546 Aspach, Germany",https://www.talbau-haus.de,NaN,12,80.0,250.0,Wood,200000.0,2300.0
15,Lehner-Haus,Lehner-Haus GmbH,"Bachstraße 3, 89584 Ehingen, Deutschland",https://www.lehner-haus.de,NaN,20,90.0,350.0,Wood,160000.0,2300.0
16,STREIF Haus,STREIF GmbH,"Gewerbepark 18, 54595 Weinsheim, Germany",https://www.streif.de,NaN,25,80.0,300.0,Wood,175000.0,2300.0
17,Wolf-Haus,Wolf System GmbH,"Wolf-Haus Straße 1, 97727 Fuchsstadt, Germany",https://www.wolf-haus.de,NaN,15,80.0,250.0,Wood,150000.0,2000.0
18,ÖkoHaus,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,Hanse Haus,Hanse Haus GmbH & Co. KG,"Hofäckerstraße 1, 97789 Oberleichtersbach, Germany",https://www.hanse-haus.de,NaN,25,80.0,300.0,Wood,150000.0,2000.0
20,Fullwood Wohnblockhaus,Fullwood Wohnblockhaus GmbH,"Hauptstraße 1, 59872 Meschede, Germany",https://www.fullwood.de,NaN,15,80.0,250.0,Wood,120000.0,1500.0
21,Kaufman & Broad,Kaufman & Broad S.A.,"127 Avenue Charles de Gaulle, Neuilly-sur-Seine, 92200, France",https://www.kaufmanbroad.fr,NaN,NaN,nan,nan,NaN,nan,nan
22,Maisons Phénix,GEOXIA Maisons Individuelles,"9 Avenue du Marais, 95816 Cergy-Pontoise, France",https://www.maisons-phenix.com,NaN,15,65.0,130.0,steel,80000.0,1200.0
23,Babeau Seguin,Maisons Babeau Seguin SAS,"5 Route de Villegusien, 52000 Chaumont, France",https://www.babeau-seguin.fr,NaN,60,60.0,200.0,concrete,80000.0,1400.0
24,Maisons Pierre,Maisons Pierre SAS,"16 Avenue de l'Europe, 77144 Montévrain, France",https://www.maisons-pierre.com,NaN,60,65.0,180.0,concrete,80000.0,1200.0
25,EcoXia,EcoXia SAS,"14 Avenue de l'Opéra, 75001 Paris, France",https://www.ecoxia.com,NaN,5,90.0,200.0,wood,150000.0,1800.0
26,PopUp House,Multipod Studio,"46 Rue Sainte-Victoire, 13006 Marseille, France",https://www.popup-house.com,NaN,5,80.0,250.0,wood,120000.0,1500.0
27,Bois & Nature,Bois & Nature S.A.,"12 Rue de la Forêt, 75001 Paris, France",https://www.boisetnature.com,NaN,5,45.0,150.0,wood,50000.0,1200.0
28,"Mi dispiace, ma non posso fornire un elenco completo di tutte le aziende di case prefabbricate in Italia. Tuttavia, posso aiutarti a trovare risorse e siti web dove potresti ottenere queste informazioni.",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,Casas inHAUS,Inhaus Global S.L.,"Calle de la Paz, 3, 46460 Silla, Valencia, Spain",https://casasinhaus.com,https://casasinhaus.com/configurador/,111,50.0,300.0,concrete,94000.0,1200.0
30,Modular Home,Modular Home S.L.,"Calle de la Innovación, 12, 28000 Madrid, Spain",https://www.modularhome.es,NaN,8,45.0,200.0,wood,60000.0,1500.0
31,TecnoHome,TecnoHome SL,"Calle de la Innovación, 3, 28906 Getafe, Madrid, Spain",https://www.technohome.es,NaN,8,50.0,200.0,steel,45000.0,1000.0
32,Hormipresa,Hormipresa Prefabricados S.L.,"Carrer del Ter, 39, 17844 Cornellà del Terri, Girona, Spain",https://www.hormipresa.com,NaN,5,80.0,250.0,concrete,90000.0,1200.0
33,Prefabri,Prefabri S.L.,"Calle de la Madera, 21, 28320 Pinto, Madrid, Spain",https://www.prefabri.com,NaN,5,30.0,120.0,steel,20000.0,800.0
34,Cube Module,Cube Module SL,"Carrer de la Industria, 1, 08005 Barcelona, Spain",https://cubemodule.com,NaN,5,30.0,120.0,steel,50000.0,1500.0
35,Noem,Noem S.L.,"Carrer de la Diputació, 211, 08011 Barcelona, Spain",https://noem.com.es,NaN,5,30.0,200.0,wood,80000.0,2000.0
36,Arquima,Arquima Modular S.L.,"Carrer de la Indústria, 92, 08420 Canovelles, Barcelona, Spain",https://www.arquima.net,NaN,10,50.0,300.0,wood,80000.0,1500.0
37,Ingeoblock,Ingeoblock S.L.,"Calle del Ejemplo 123, 28001 Madrid, Spain",https://www.ingeoblock.com,NaN,5,50.0,200.0,concrete,60000.0,1200.0
38,Cubicup,Cubicup S.L.,"Calle de Pradillos, 13, 28109 Alcobendas, Madrid, Spain",https://www.cubicup.es,NaN,4,30.0,120.0,wood,50000.0,1500.0
39,Alucasa,Alucasa S.L.,"Polígono Industrial Los Vientos, Calle 7, Nave 5, 03187 Los Montesinos, Alicante, Spain",https://www.alucasa.com,NaN,15,30.0,120.0,composite,25000.0,450.0
40,Ecovip,NaN,NaN,NaN,NaN,NaN,nan,nan,NaN,nan,nan
41,Eurocasa,Eurocasa Modular S.L.,"Polígono Industrial La Dehesa, Calle B, Parcela 8, 42111 Golmayo, Soria, Spain",https://www.eurocasamodular.com,NaN,15,35.0,200.0,steel,45000.0,1200.0
42,Mi Casa,Mi Casa Prefabricated Homes Ltd,"123 Example Street, Cityname, 12345, Country",https://www.micasa.com,https://www.micasa.com/configurator,10,50.0,200.0,wood,50000.0,1000.0
43,Viviendas Leve,Viviendas Leve S.L.,"Calle de la Castellana, 123, Madrid, 28046, Spain",https://www.viviendasleve.com,NaN,5,50.0,150.0,wood,60000.0,1200.0
44,Green Habitat,Green Habitat S.L.,"Calle de Velázquez, 15, 28001 Madrid, Spain",https://www.greenhabitat.es,NaN,7,45.0,150.0,wood,89000.0,1500.0
45,Smart Living,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,Ábaton,Ábaton Arquitectura S.L.,"Calle de Orense, 68, 28020 Madrid, Spain",https://www.abaton.es,NaN,3,27.0,150.0,wood,21000.0,2500.0
47,Pujol,Pujol Prefabricados S.A.,"Avinguda de l'Onze de Setembre, 43, 25230 Mollerussa, Lleida, Spain",https://www.pujol.com,NaN,5,50.0,200.0,concrete,80000.0,1500.0
48,Construtech,NaN,NaN,NaN,NaN,NaN,nan,nan,NaN,nan,nan
49,Jan Snel,Jan Snel BV,"Ir. S. Lipsstraat 30, 5151 AE Drunen, Netherlands",https://www.jansnel.com,NaN,5,30.0,120.0,steel,50000.0,1500.0
