id,brand,head_office_legal_name,address,country,country_code,region,webpage,configurator,models_amount,min_sqm,max_sqm,main_structure_material,min_home_price,average_price_sqm
1,SchwörerHaus,SchwörerHaus KG,"Hans-Schwörer-Straße 8, 72531 Hohenstein, Germany",Germany,DEU,Baden-Württemberg,https://www.schwoererhaus.de,https://www.schwoererhaus.de/hauskonfigurator,57.0,50.0,300.0,Wood,150000.0,1600.0
2,WeberHaus,WeberHaus GmbH & Co. KG,"Am Erlenpark 1, 77866 Rheinau-Linx, Germany",Germany,DEU,Baden-Württemberg,https://www.weberhaus.de,https://www.weberhaus.de/hauskonfigurator,15.0,80.0,300.0,Wood,200000.0,2500.0
3,HUF HAUS,HUF HAUS GmbH & Co. KG,"Franz-Huf-Straße 1, 56244 Hartenfels, Germany",Germany,DEU,Rhineland-Palatinate,https://www.huf-haus.com,,8.0,120.0,300.0,Timber,400000.0,3200.0
4,Bien-Zenker,Bien-Zenker GmbH,"Am Distelrasen 2, 36381 Schlüchtern, Germany",Germany,DEU,Hesse,https://www.bien-zenker.de,https://www.bien-zenker.de/hauskonfigurator,50.0,80.0,300.0,Wood,180000.0,2500.0
5,Fertighaus Weiss,Fertighaus WEISS GmbH,"Stuttgarter Straße 11, 74575 Schrozberg, Germany",Germany,DEU,Baden-Württemberg,https://www.fertighaus-weiss.de,,33.0,80.0,300.0,Wood,150000.0,2000.0
6,Luxhaus,Luxhaus GmbH & Co. KG,"Am Dreieck 14, 91741 Lichtenau, Germany",Germany,DEU,Baden-Württemberg,https://www.luxhaus.de,https://www.luxhaus.de/hauskonfigurator,20.0,80.0,300.0,Wood,220000.0,2500.0
7,Hanlo Haus,HANLO Haus GmbH,"Industriestraße 2, 95349 Thurnau, Deutschland",Germany,DEU,Bavaria,https://www.hanlo.at/,,10.0,80.0,200.0,Wood,150000.0,1800.0
8,Kampa,KAMPA GmbH,"Brennofenstraße 15, 89231 Neu-Ulm, Germany",Germany,DEU,Baden-Württemberg,https://www.kampa.de,,25.0,120.0,280.0,Wood,250000.0,2000.0
9,FingerHaus,FingerHaus GmbH,"Auestraße 45, 35066 Frankenberg (Eder), Germany",Germany,DEU,Hesse,https://www.fingerhaus.de,https://www.fingerhaus.de/konfigurator,25.0,120.0,350.0,Wood,220000.0,2600.0
10,Danwood,Danwood S.A.,"Rudolf-Diesel-Str. 2, 07546 Gera, Germany",Germany,DEU,Thuringia,https://www.danwood.de,,130.0,78.0,217.0,Wood,110000.0,1500.0
11,Baufritz,Baufritz GmbH & Co. KG,"Alpenstraße 25, 87746 Erkheim, Germany",Germany,DEU,Bavaria,https://www.baufritz.com,,20.0,120.0,400.0,Wood,350000.0,2800.0
12,RENSCH-HAUS,RENSCH-HAUS GMBH,"Argenta Straße 1, 36148 Kalbach-Uttrichshausen, Germany",Germany,DEU,Hesse,https://www.rensch-haus.com,https://www.rensch-haus.com/hauskonfigurator,35.0,80.0,300.0,Wood,150000.0,2000.0
13,ELK Fertighaus,ELK Fertighaus GmbH,"Industriestraße 1, 97268 Kirchheim, Germany",Germany,DEU,Baden-Württemberg,https://www.elk-fertighaus.de,,50.0,80.0,300.0,Wood,120000.0,1600.0
14,Talbau-Haus,Talbau-Haus GmbH,"Talstraße 6, 71546 Aspach, Germany",Germany,DEU,Baden-Württemberg,https://www.talbau-haus.de,,12.0,80.0,250.0,Wood,200000.0,2300.0
15,Lehner-Haus,Lehner-Haus GmbH,"Bachstraße 3, 89584 Ehingen, Deutschland",Germany,DEU,Baden-Württemberg,https://www.lehner-haus.de,,20.0,90.0,350.0,Wood,160000.0,2300.0
16,STREIF Haus,STREIF GmbH,"Gewerbepark 18, 54595 Weinsheim, Germany",Germany,DEU,Rhineland-Palatinate,https://www.streif.de,,25.0,80.0,300.0,Wood,175000.0,2300.0
