id,brand,head_office_legal_name,address,webpage,configurator,models_amount,min_sqm,max_sqm,main_structure_material,min_home_price,average_price_sqm
1,Домокомплект,,,,,,,,,,
2,Фабрика Домов,,,,,,,,,,
3,Завод Модульных Домов,,"ул. Промышленная, 12, Москва, Россия, 123456",https://zavodmodulnyhdomov.ru,,5,30.0,150.0,wood,1500000.0,50000.0
4,ЭкоДом,,,,,,,,,,
5,Модульные Технологии,ООО Модульные Технологии,"улица Примерная, дом 123, Москва, Московская область, 123456, Russia",https://modulnye-technology.ru,,5,30.0,150.0,wood,1500000.0,50000.0
6,ПанельДом,ООО ПанельДом,"ул. Ленина, д. 10, Москва, Московская область, 123456, Россия",https://paneldom.ru,,5,45.0,150.0,wood,1500000.0,30000.0
7,СтройДом,,,,,,,,,,
8,Домстрой,,,,,,,,,,
9,МосДом,,,,,,,,,,
10,СборДом,"ООО ""СборДом""","ул. Новая Басманная, д. 5, Москва, Московская область, 107078, Россия",https://www.sbordom.ru,,8,50.0,200.0,wood,2500000.0,40000.0
11,Технология Дома,,,,,,,,,,
12,МодДом,,,,,,,,,,
13,ДомКомплект,"ООО ""ДомКомплект""","ул. Ленина, 10, Москва, Московская область, 101000, Россия",https://domkomplekt.ru,,8,45.0,150.0,wood,2500000.0,50000.0
14,КитДом,,,,,,,,,,
15,ФабДом,"ООО ""Фабрика Домов""","ул. Ленина, д. 12, Москва, Московская область, 101000, Россия",https://fabdom.ru,,15,40.0,150.0,wood,1500000.0,40000.0
16,SK Stroy,"ООО ""СК Строй""","ул. Московский проспект, д. 137, Санкт-Петербург, Ленинградская область, 196084, Россия",https://skstroy.ru,,5,45.0,150.0,wood,2500000.0,50000.0
17,Teplodom,"ООО ""Теплодом""","ул. Профессора Попова, д. 23, Санкт-Петербург, Ленинградская область, 197376, Россия",https://teplodom.ru,,8,50.0,200.0,wood,2000000.0,40000.0
18,Dixion,,,,,,,,,,
19,Nordhaus,ООО Нордхаус,"ул. Ленсовета, д. 50, Санкт-Петербург, Ленинградская область, 196143, Россия",https://nordhaus.ru,,5,60.0,200.0,wood,3500000.0,50000.0
20,Arkhiline,"ООО ""Архилин""","ул. Мебельная, 1, Санкт-Петербург, Ленинградская область, 197374, Россия",https://www.arkhiline.ru,,12,50.0,250.0,wood,1500000.0,50000.0
21,ArtStroy,ArtStroy LLC,"ul. Kamennoostrovskiy Prospekt, 22, Saint Petersburg, Leningrad Oblast, 197101, Russia",https://www.artstroy.spb.ru,,5,45.0,200.0,wood,1500000.0,30000.0
22,SIP House,SIP House LLC,"123 Nevsky Prospekt, Saint Petersburg, Leningrad Oblast, 190000, Russia",https://www.siphouse.ru,,12,50.0,200.0,composite,1500000.0,30000.0
23,House from Factory,ООО Дом с Завода,"ул. Профессора Попова, 23, Санкт-Петербург, Ленинградская область, 197376, Россия",https://housefromfactory.ru,,8,50.0,150.0,wood,2500000.0,50000.0
24,Stroy Invest,"ООО ""Строй Инвест""","ул. Большая Посадская, д. 12, Санкт-Петербург, Ленинградская область, 197046, Россия",https://stroyinvest-spb.ru,,5,50.0,200.0,wood,2000000.0,40000.0
25,Ecopan,Ecopan LLC,"123 Nevsky Prospekt, Saint Petersburg, 190000, Russia",https://ecopan.su,,15,60.0,240.0,wood,3000000.0,50000.0
26,Karkasdom,ООО Каркасдом,"ул. Большая Морская, 10, Санкт-Петербург, Ленинградская область, 190000, Россия",https://www.karkasdom.com,,12,50.0,200.0,wood,2500000.0,35000.0
27,Domokomplekt,,"null, Saint Petersburg, null, Russia",http://www.domokomplekt.ru,,,,,,,
28,Zodchiy,ООО Зодчий,"ул. Новоселов, д. 3, Санкт-Петербург, Ленинградская область, 192241, Россия",https://zodchiy.ru,,15,30.0,200.0,wood,1500000.0,35000.0
29,Karkasny Dom,,,,,,,,,,
30,DomStroy,,,,,,,,,,
31,ЭкоДом,,,,,,,,,,
32,РУСТРОЙ,,,,,,,,,,
33,Модульные Дома,,,,,,,,,,
34,СтройДом,,,,,,,,,,
35,Завод Домов,,,,,,,,,,
36,ДомСтрой,,,,,,,,,,
37,СК Лидер,,,,,,,,,,
38,Канадские дома,,,,,,,,,,
39,Свой Дом,,,,,,,,,,
40,Загородный Дом,,,,,,,,,,
41,МодульСтрой,,,,,,,,,,
42,Домкомплект,ООО Домкомплект,"ул. Ленина, д. 10, г. Химки, Московская область, 141400, Россия",https://domkomplekt.ru,,5,50.0,150.0,wood,3000000.0,60000.0
43,Ваша Дача,,,,,,,,,,
44,ПанельДом,,,,,,,,,,
45,КоттеджСтрой,,,,,,,,,,
