id,brand,head_office_legal_name,address,webpage,configurator,models_amount,min_sqm,max_sqm,main_structure_material,min_home_price,average_price_sqm
1,Зодчий,ООО Зодчий,"ул. 2-я Магистральная, дом 8А, Москва, Московская область, 123290, Россия",https://www.zodchiy.ru,,20,36.0,200.0,wood,1000000.0,35000.0
2,Теремъ,ООО Теремъ,"ул. Пятницкая, д. 54/1, стр. 1, Москва, Московская область, 115184, Россия",https://terem-pro.ru,,50,50.0,300.0,wood,500000.0,15000.0
3,ДубльДом,ООО ДубльДом,"ул. Большая Новодмитровская, 36, стр. 12, Москва, Московская область, 127015, Россия",https://dubldom.com,,10,26.0,140.0,wood,1800000.0,50000.0
4,Промстрой,ООО Промстрой,"ул. Промышленная, д. 12, Москва, Россия, 115432",https://promstroy.ru,,5,50.0,200.0,concrete,3000000.0,60000.0
5,Контейнеровоз,,,,,,,,,,
6,ЭкоДом,ООО ЭкоДом,"ул. Примерная, д. 1, Москва, Московская область, 123456, Russia",https://ekodom.ru,,5,50.0,250.0,wood,3000000.0,40000.0
7,КомпактСтрой,,,,,,,,,,
8,Строим Дом,ООО Строим Дом,"ул. Примерная, д. 1, Москва, Московская область, 101000, Russia",https://www.stroimdom.ru,,8,45.0,210.0,wood,1500000.0,35000.0
9,Архбокс,ООО Архбокс,"ул. Большая Ордынка, д. 40, стр. 5, Москва, Россия, 115184",https://archbox.ru,,5,45.0,120.0,wood,2500000.0,55000.0
10,Модульхаус,,,,,,,,,,
11,РусьДом,ООО РусьДом,"проспект Мира, 123, Москва, Москва, 129223, Россия",https://rusdom.ru,,8,45.0,200.0,wood,1500000.0,40000.0
12,Технология Жилья,"ООО ""Технология Жилья""","ул. Примерная, д. 1, Москва, Московская область, 101000, Россия",https://www.techhome.ru,,5,50.0,200.0,wood,2000000.0,40000.0
13,Домстрой,,,,,,,,,,
14,Городской Дом,,,,,,,,,,
15,Стройпанель,,,,,,,,,,
16,Домокомплект СПБ,"ООО ""Домокомплект СПБ""","пр. Энергетиков, д. 22, литер А, Санкт-Петербург, Россия, 195248",https://домокомплектспб.рф,,5,35.0,150.0,wood,1200000.0,35000.0
17,Модульный Дом СПб,,,,,,,,,,
18,Панельный Дом,,,,,,,,,,
19,Каркасник Плюс,,,,,,,,,,
20,Сборный Дом Сервис,,,,,,,,,,
21,Контейнерный Дом СПБ,ООО Контейнерный Дом СПБ,"ул. Большая Морская, д. 30, Санкт-Петербург, Ленинградская область, 190000, Россия",https://containerhome-spb.ru,,5,20.0,80.0,steel,500000.0,25000.0
22,Префаб Констракшн,,,,,,,,,,
23,Блок-Контейнер СПБ,,,,,,,,,,
24,Эко Дом,,,,,,,,,,
25,Люкс Префаб,,,,,,,,,,
26,Tiny House СПБ,,,,,,,,,,
