id,brand,head_office_legal_name,address,country,country_code,region,webpage,configurator,models_amount,min_sqm,max_sqm,main_structure_material,min_home_price,average_price_sqm
1,Домокомплект,,,Russia,RUS,,,,,,,,,
2,Фабрика Домов,,,Russia,RUS,,,,,,,,,
3,Завод Модульных Домов,,"ул. Промышленная, 12, Москва, Россия, 123456",Russia,RUS,,,,5.0,30.0,150.0,wood,1500000.0,50000.0
4,ЭкоДом,,,Russia,RUS,,,,,,,,,
5,Модульные Технологии,ООО Модульные Технологии,"улица Примерная, дом 123, Москва, Московская область, 123456, Russia",Russia,RUS,,,,5.0,30.0,150.0,wood,1500000.0,50000.0
6,ПанельДом,ООО ПанельДом,"ул. Ленина, д. 10, Москва, Московская область, 123456, Россия",Russia,RUS,,https://paneldom.ru,,5.0,45.0,150.0,wood,1500000.0,30000.0
7,СтройДом,,,Russia,RUS,,,,,,,,,
8,Домстрой,,,Russia,RUS,,,,,,,,,
9,МосДом,,,Russia,RUS,,,,,,,,,
10,СборДом,"ООО ""СборДом""","ул. Новая Басманная, д. 5, Москва, Московская область, 107078, Россия",Russia,RUS,,,,8.0,50.0,200.0,wood,2500000.0,40000.0
11,Технология Дома,,,Russia,RUS,,,,,,,,,
12,МодДом,,,Russia,RUS,,,,,,,,,
13,ДомКомплект,"ООО ""ДомКомплект""","ул. Ленина, 10, Москва, Московская область, 101000, Россия",Russia,RUS,,,,8.0,45.0,150.0,wood,2500000.0,50000.0
14,КитДом,,,Russia,RUS,,,,,,,,,
15,ФабДом,"ООО ""Фабрика Домов""","ул. Ленина, д. 12, Москва, Московская область, 101000, Россия",Russia,RUS,,,,15.0,40.0,150.0,wood,1500000.0,40000.0
16,SK Stroy,"ООО ""СК Строй""","ул. Московский проспект, д. 137, Санкт-Петербург, Ленинградская область, 196084, Россия",Russia,RUS,,,,5.0,45.0,150.0,wood,2500000.0,50000.0
17,Teplodom,"ООО ""Теплодом""","ул. Профессора Попова, д. 23, Санкт-Петербург, Ленинградская область, 197376, Россия",Russia,RUS,,https://teplodom.ru,,8.0,50.0,200.0,wood,2000000.0,40000.0
18,Dixion,,,Russia,RUS,,,,,,,,,
19,Nordhaus,ООО Нордхаус,"ул. Ленсовета, д. 50, Санкт-Петербург, Ленинградская область, 196143, Россия",Russia,RUS,,https://nordhaus.ru,,5.0,60.0,200.0,wood,3500000.0,50000.0
20,Arkhiline,"ООО ""Архилин""","ул. Мебельная, 1, Санкт-Петербург, Ленинградская область, 197374, Россия",Russia,RUS,,,,12.0,50.0,250.0,wood,1500000.0,50000.0
21,ArtStroy,ArtStroy LLC,"ul. Kamennoostrovskiy Prospekt, 22, Saint Petersburg, Leningrad Oblast, 197101, Russia",Russia,RUS,Saint Petersburg,,,5.0,45.0,200.0,wood,1500000.0,30000.0
22,SIP House,SIP House LLC,"123 Nevsky Prospekt, Saint Petersburg, Leningrad Oblast, 190000, Russia",Russia,RUS,Saint Petersburg,,,12.0,50.0,200.0,composite,1500000.0,30000.0
23,House from Factory,ООО Дом с Завода,"ул. Профессора Попова, 23, Санкт-Петербург, Ленинградская область, 197376, Россия",Russia,RUS,,,,8.0,50.0,150.0,wood,2500000.0,50000.0
24,Stroy Invest,"ООО ""Строй Инвест""","ул. Большая Посадская, д. 12, Санкт-Петербург, Ленинградская область, 197046, Россия",Russia,RUS,,https://stroyinvest-spb.ru,,5.0,50.0,200.0,wood,2000000.0,40000.0
25,Ecopan,Ecopan LLC,"123 Nevsky Prospekt, Saint Petersburg, 190000, Russia",Russia,RUS,Saint Petersburg,https://ecopan.su,,15.0,60.0,240.0,wood,3000000.0,50000.0
26,Karkasdom,ООО Каркасдом,"ул. Большая Морская, 10, Санкт-Петербург, Ленинградская область, 190000, Россия",Russia,RUS,,https://www.karkasdom.com,,12.0,50.0,200.0,wood,2500000.0,35000.0
27,Domokomplekt,,"null, Saint Petersburg, null, Russia",Russia,RUS,Saint Petersburg,,,,,,,,
28,Zodchiy,ООО Зодчий,"ул. Новоселов, д. 3, Санкт-Петербург, Ленинградская область, 192241, Россия",Russia,RUS,,,,15.0,30.0,200.0,wood,1500000.0,35000.0
29,Karkasny Dom,,,Russia,RUS,,,,,,,,,
30,DomStroy,,,Russia,RUS,,,,,,,,,
31,ЭкоДом,,,Russia,RUS,,,,,,,,,
32,РУСТРОЙ,,,Russia,RUS,,,,,,,,,
33,Модульные Дома,,,Russia,RUS,,,,,,,,,
34,СтройДом,,,Russia,RUS,,,,,,,,,
35,Завод Домов,,,Russia,RUS,,,,,,,,,
36,ДомСтрой,,,Russia,RUS,,,,,,,,,
37,СК Лидер,,,Russia,RUS,,,,,,,,,
38,Канадские дома,,,Russia,RUS,,,,,,,,,
39,Свой Дом,,,Russia,RUS,,,,,,,,,
40,Загородный Дом,,,Russia,RUS,,,,,,,,,
41,МодульСтрой,,,Russia,RUS,,,,,,,,,
42,Домкомплект,ООО Домкомплект,"ул. Ленина, д. 10, г. Химки, Московская область, 141400, Россия",Russia,RUS,,,,5.0,50.0,150.0,wood,3000000.0,60000.0
43,Ваша Дача,,,Russia,RUS,,,,,,,,,
44,ПанельДом,,,Russia,RUS,,,,,,,,,
45,КоттеджСтрой,,,Russia,RUS,,,,,,,,,
