id,brand,head_office_legal_name,address,webpage,configurator,models_amount,min_sqm,max_sqm,main_structure_material,min_home_price,average_price_sqm
1,Adana Prefab,,,,,,,,,,
2,Çukurova Modular,,,,,,,,,,
3,Adana Yapı,,,,,,,,,,
4,Prefabrik Ev Adana,,,,,,,,,,
5,Modular Homes Adana,,,,,,,,,,
6,Adana Prefabrik,,,,,,,,,,
7,Çukurova Prefab,,,,,,,,,,
8,Adana Modular,,,,,,,,,,
9,Prefabrik Adana,,,,,,,,,,
10,Adana Panelized Homes,,,,,,,,,,
11,Factory-Built Homes Adana,,,,,,,,,,
12,Adana Kit Homes,,,,,,,,,,
13,Adana Manufactured Homes,,,,,,,,,,
14,Adana Construction,,,,,,,,,,
15,Adana Factory Homes,,,,,,,,,,
16,Dora Prefabrik,Dora Prefabrik Yapı İnşaat Sanayi ve Ticaret Limited Şirketi,"İvedik OSB Mah. 1443. Cad. No:21 Yenimahalle, Ankara, Turkey",https://www.doraprefabrik.com.tr,,15,30.0,150.0,steel,50000.0,1500.0
17,Karmod Prefabrik,Karmod Prefabrik Yapı Teknolojileri A.Ş.,"Fatih Sultan Mehmet Bulvarı, No: 64, Sincan, Ankara, 06930, Turkey",https://www.karmod.com,,25,21.0,149.0,steel,45000.0,2000.0
18,Hekim Holding,Hekim Holding A.Ş.,"Hacı Sabancı Organize Sanayi Bölgesi, Öztaş Caddesi No:1, Saray, Kazan, Ankara, 06980, Turkey",https://www.hekimholding.com,,15,45.0,200.0,steel,150000.0,3000.0
19,Vefa Prefabrik,Vefa Prefabrik Yapı Sanayi Ticaret A.Ş.,"Başkent Organize Sanayi Bölgesi, 19. Cadde, No: 33, Malıköy Sincan, Ankara, 06909, Turkey",https://www.vefa.com.tr,,,,,steel,,
20,Prefabrik Yapı İnşaat,,,,,,,,,,
21,Özge Yapı,,,,,,,,,,
