id,brand,head_office_legal_name,address,country,country_code,region,webpage,configurator,models_amount,min_sqm,max_sqm,main_structure_material,min_home_price,average_price_sqm
1,Adana Prefab,,,Turkey,TUR,,,,,,,,,
2,Çukurova Modular,,,Turkey,TUR,,,,,,,,,
3,Adana Yapı,,,Turkey,TUR,,,,,,,,,
4,Prefabrik Ev Adana,,,Turkey,TUR,,,,,,,,,
5,Modular Homes Adana,,,Turkey,TUR,,,,,,,,,
6,Adana Prefabrik,,,Turkey,TUR,,,,,,,,,
7,Çukurova Prefab,,,Turkey,TUR,,,,,,,,,
8,Adana Modular,,,Turkey,TUR,,,,,,,,,
9,Prefabrik Adana,,,Turkey,TUR,,,,,,,,,
10,Adana Panelized Homes,,,Turkey,TUR,,,,,,,,,
11,Factory-Built Homes Adana,,,Turkey,TUR,,,,,,,,,
12,Adana Kit Homes,,,Turkey,TUR,,,,,,,,,
13,Adana Manufactured Homes,,,Turkey,TUR,,,,,,,,,
14,Adana Construction,,,Turkey,TUR,,,,,,,,,
15,Adana Factory Homes,,,Turkey,TUR,,,,,,,,,
16,Dora Prefabrik,Dora Prefabrik Yapı İnşaat Sanayi ve Ticaret Limited Şirketi,"İvedik OSB Mah. 1443. Cad. No:21 Yenimahalle, Ankara, Turkey",Turkey,TUR,Ankara,,,15.0,30.0,150.0,steel,50000.0,1500.0
17,Karmod Prefabrik,Karmod Prefabrik Yapı Teknolojileri A.Ş.,"Fatih Sultan Mehmet Bulvarı, No: 64, Sincan, Ankara, 06930, Turkey",Turkey,TUR,Ankara,https://www.karmod.com,,25.0,21.0,149.0,steel,45000.0,2000.0
18,Hekim Holding,Hekim Holding A.Ş.,"Hacı Sabancı Organize Sanayi Bölgesi, Öztaş Caddesi No:1, Saray, Kazan, Ankara, 06980, Turkey",Turkey,TUR,Ankara,https://www.hekimholding.com,,15.0,45.0,200.0,steel,150000.0,3000.0
19,Vefa Prefabrik,Vefa Prefabrik Yapı Sanayi Ticaret A.Ş.,"Başkent Organize Sanayi Bölgesi, 19. Cadde, No: 33, Malıköy Sincan, Ankara, 06909, Turkey",Turkey,TUR,Ankara,https://www.vefa.com.tr,,,,,steel,,
20,Prefabrik Yapı İnşaat,,,Turkey,TUR,,,,,,,,,
21,Özge Yapı,,,Turkey,TUR,,https://www.ozgeyapi.com.tr,,,,,,,
22,Daf Prefabrik,Daf Prefabrik Yapı Sanayi ve Ticaret Limited Şirketi,"Bağlıca Mahallesi, Fatih Sultan Mehmet Bulvarı No:170, Etimesgut, Ankara, 06790, Turkey",Turkey,TUR,Ankara,,,12.0,50.0,200.0,steel,150000.0,3000.0
23,Bungalov Evim,,,Turkey,TUR,,,,,,,,,
24,Hekim Yapı,Hekim Yapı A.Ş.,"Hacettepe Mahallesi, 06230 Altındağ, Ankara, Turkey",Turkey,TUR,Ankara,https://www.hekimyapi.com,,,,,composite,,
25,Ekoyapı Prefabrik,,,Turkey,TUR,,,,,,,,,
26,Ak Prefabrik,,,Turkey,TUR,,,,,,,,,
27,Aysan Prefabrik,Aysan Prefabrik Yapı Sistemleri Sanayi ve Ticaret Ltd. Şti.,"Ostim Mahallesi, 100. Yıl Bulvarı, No:55, Yenimahalle, Ankara, Turkey",Turkey,TUR,Ankara,,,15.0,40.0,200.0,steel,75000.0,2500.0
28,Üçay Mühendislik,Üçay Mühendislik ve Taahhüt A.Ş.,"Kızılırmak Mah. 1443. Cad. No: 17, Çukurambar, Çankaya, Ankara, Turkey",Turkey,TUR,Ankara,https://www.ucay.com.tr,,,,,,,
29,Güven Prefabrik,,,Turkey,TUR,,,,,,,,,
30,Eko Prefabrik,Eko Prefabrik Yapı İnşaat Sanayi ve Ticaret A.Ş.,"İvedik Organize Sanayi Bölgesi, 1474. Sokak No:139, Yenimahalle, Ankara, Turkey",Turkey,TUR,Ankara,,,12.0,30.0,150.0,steel,75000.0,1500.0
31,Akdemir Prefabrik,,,Turkey,TUR,,,,,,,,,
32,Ekol Prefabrik,Ekol Prefabrik Yapı Sistemleri Sanayi ve Ticaret Limited Şirketi,"Organize Sanayi Bölgesi, 1. Kısım, 3. Cadde, No: 22, Döşemealtı, Antalya, Turkey",Turkey,TUR,Antalya,,,10.0,50.0,200.0,steel,150000.0,3000.0
33,Prefabrikyapı,Prefabrikyapı İnşaat Taahhüt Sanayi ve Ticaret A.Ş.,"Akdeniz Sanayi Sitesi, 5006. Sokak No:34, Kepez, Antalya, 07070, Turkey",Turkey,TUR,Antalya,,,15.0,45.0,200.0,steel,120000.0,2500.0
34,Ant Prefabrik,,,Turkey,TUR,,,,,,,,,
35,Kent Prefabrik,,,Turkey,TUR,,https://www.kentprefabrik.com,,,,,,,
36,Seçkin Prefabrik,,,Turkey,TUR,,,,,,,,,
37,Güven Prefabrik,,,Turkey,TUR,,https://guvenprefabrik.com,,,,,,,
38,Ak Prefabrik,Ak Prefabrik İnşaat Sanayi ve Ticaret Ltd. Şti.,"Organize Sanayi Bölgesi 2. Kısım, Antalya, Turkey",Turkey,TUR,Antalya,,,15.0,45.0,150.0,steel,75000.0,1000.0
39,Mega Prefabrik,,,Turkey,TUR,,,,,,,,,
40,Beylik Prefabrik,,,Turkey,TUR,,,,,,,,,
41,Karmod Prefabricated Technologies,Karmod Prefabrik Yapı Teknolojileri Sanayi ve Ticaret A.Ş.,"Osmangazi, Kızılay Cd. No:41, 34887 Sancaktepe, Istanbul, Turkey",Turkey,TUR,Istanbul,https://www.karmod.com,,25.0,21.0,149.0,steel,50000.0,3000.0
42,Vefa,Vefa Prefabrik Yapı Elemanları Sanayi Ticaret A.Ş.,"Güzelyurt Mahallesi, Beylikdüzü OSB, 4. Cadde No:1, Esenyurt, İstanbul, Turkey",Turkey,TUR,,https://www.vefa.com.tr,,,,,steel,,
43,Dorce Prefabricated Building & Construction,Dorce Prefabricated Building & Construction Industry Trade Co. Inc.,"Ticaret Merkezi, No: 2-4-6, K:16 Beylikduzu, Istanbul, Turkey",Turkey,TUR,Istanbul,https://www.dorce.com.tr,,,,,steel,,
44,Özge Yapı,Özge Yapı Sanayi ve Ticaret Anonim Şirketi,"Turgut Özal Bulvarı, No: 59, Esenyurt, Istanbul, 34522, Turkey",Turkey,TUR,Istanbul,https://www.ozgeyapi.com,,20.0,40.0,200.0,steel,150000.0,3000.0
45,Ak Prefabrik,Ak Prefabrik İnşaat Sanayi ve Ticaret Limited Şirketi,"Davutpaşa Mahallesi, Cebealibey Caddesi, No:20/1, 34010, Esenler, Istanbul, Turkey",Turkey,TUR,Istanbul,,,12.0,45.0,250.0,steel,120000.0,2000.0
46,Ekokabin,Ekokabin Prefabrik Yapı Sanayi ve Ticaret A.Ş.,"No: 10, İMES Sanayi Sitesi, B Blok, Dudullu Organize Sanayi Bölgesi, Umraniye, Istanbul, Turkey",Turkey,TUR,Istanbul,,,8.0,20.0,150.0,steel,100000.0,2500.0
47,Konteynerci Prefabricated Structures,,,Turkey,TUR,,,,,,,,,
48,BAF Prefabrik,BAF Prefabrik Yapı Elemanları Sanayi ve Ticaret A.Ş.,"Atatürk Mahallesi, İkitelli Caddesi, No: 44, Başakşehir, Istanbul, 34490, Turkey",Turkey,TUR,Istanbul,,,15.0,50.0,200.0,steel,150000.0,2000.0
49,Hepsikonteyner,,,Turkey,TUR,,,,,,,,,
50,Prefabrik Yapı,Prefabrik Yapı İnşaat Sanayi ve Ticaret A.Ş.,"Hadımköy Mahallesi, Mustafa İnan Cd. No:3, Arnavutköy, Istanbul, 34555, Turkey",Turkey,TUR,Istanbul,https://www.prefabrikyapi.com,,15.0,30.0,200.0,steel,100000.0,2500.0
51,Fibrobeton,Fibrobeton Yapı Elemanları Sanayi ve Ticaret A.Ş.,"Hadımköy Mahallesi, Mustafa İnan Caddesi No: 43, 34555 Arnavutköy, Istanbul, Turkey",Turkey,TUR,Istanbul,https://www.fibrobeton.com,,,,,concrete,,
52,Prefabrike Evim,Prefabrike Evim İnşaat Sanayi ve Ticaret Ltd. Şti.,,Turkey,TUR,,,,,,,steel,,
53,Porta Prefabrik,Porta Prefabrik Yapı Sanayi ve Ticaret Ltd. Şti.,"Halkalı Merkez Mahallesi, Basın Ekspres Yolu, No: 4, Küçükçekmece, Istanbul, Turkey",Turkey,TUR,Istanbul,,,15.0,30.0,150.0,steel,100000.0,2500.0
54,Prefabrik Evim,,,Turkey,TUR,,,,,,,,,
55,Ege Prefabrik,,,Turkey,TUR,,,,,,,,,
56,Ekopanel,,,Turkey,TUR,,,,,,,,,
57,Lider Prefabrik,Lider Prefabrik Yapı Sistemleri Sanayi ve Ticaret Limited Şirketi,"Dudullu Organize Sanayi Bölgesi, 3. Cadde, No:19, Ümraniye, Istanbul, 34776, Turkey",Turkey,TUR,Istanbul,https://www.liderprefabrik.com,,15.0,30.0,150.0,steel,75000.0,5000.0
58,Eryap Prefabrik,Eryap Prefabrik A.Ş.,,Turkey,TUR,,,,,,,,,
59,Yapı Prefabrik,Yapı Prefabrik Yapı Sanayi ve Ticaret A.Ş.,"Eski Edirne Asfaltı No: 10, Sultangazi, Istanbul, 34265, Turkey",Turkey,TUR,Istanbul,,,15.0,45.0,180.0,steel,150000.0,3500.0
60,Delta Prefabrik,Delta Prefabrik Yapı Sanayi ve Ticaret A.Ş.,"Esenşehir Mahallesi, Baraj Yolu, No:10, Ümraniye, Istanbul, Turkey",Turkey,TUR,Istanbul,https://www.deltaprefabrik.com,,8.0,50.0,200.0,steel,150000.0,3000.0
61,Karmod Prefabricated Technologies,Karmod Prefabrik Yapı Teknolojileri A.Ş.,"Anadolu Cad. No: 47, İzmir, Turkey",Turkey,TUR,İzmir,https://www.karmod.com,,15.0,42.0,149.0,steel,150000.0,2000.0
62,Vefa Prefabricated Construction,Vefa Prefabrik Yapı A.Ş.,"İstanbul Deri Organize Sanayi Bölgesi 9. Yol D-1 Parsel 34957 Tuzla, İstanbul, Türkiye",Turkey,TUR,,https://www.vefa.com.tr,,,,,steel,,
63,Alkon Steel and Prefabricated Homes,Alkon Çelik ve Prefabrik Evler Sanayi ve Ticaret Ltd. Şti.,,Turkey,TUR,,,,,,,steel,,
64,BVS Prefabricated,BVS Prefabrik Yapı Sistemleri Sanayi ve Ticaret Ltd. Şti.,"1204 Sokak No:33, Işıkkent, Bornova, İzmir, 35070, Turkey",Turkey,TUR,İzmir,,,10.0,45.0,150.0,steel,120000.0,2500.0
65,Ekşioğlu Prefabricated,,,Turkey,TUR,,,,,,,,,
66,Özge Yapı Prefabricated,Özge Yapı Sanayi ve Ticaret A.Ş.,"Kemalpaşa Atatürk Organize Sanayi Bölgesi, 21. Sokak No:10, İzmir, Turkey",Turkey,TUR,İzmir,https://www.ozgeyapi.com,,15.0,40.0,200.0,steel,85000.0,2000.0
67,Birikim Prefabricated,,,Turkey,TUR,,,,,,,,,
68,DORCE Prefabricated Building & Construction,DORCE Prefabrik Yapı ve İnşaat,"Ankara Asfaltı 1. Km, Sarayköy, Kazan, Ankara, Türkiye",Turkey,TUR,Ankara,https://www.dorce.com.tr,,,,,steel,,
69,Prefabrik Yapı,Prefabrik Yapı A.Ş.,"Atatürk Organize Sanayi Bölgesi 10044 Sokak No:23 Çiğli, İzmir, 35620, Turkey",Turkey,TUR,İzmir,https://www.prefabrikyapi.com,,15.0,45.0,250.0,steel,150000.0,3000.0
70,Hekim Holding,Hekim Holding A.Ş.,"Kemalpaşa Organize Sanayi Bölgesi, Mahallesi Aydın Caddesi No:27, Kemalpaşa, İzmir, 35735, Turkey",Turkey,TUR,İzmir,https://www.hekimholding.com,,12.0,45.0,200.0,steel,200000.0,4500.0
71,Karmod Prefabrik,Karmod Prefabrik Yapı Teknolojileri A.Ş.,"Ovaakça Çeşmebaşı Mahallesi, Sanayi Caddesi No:17, Osmangazi, Bursa, 16335, Turkey",Turkey,TUR,Bursa,https://www.karmod.com.tr,,25.0,42.0,149.0,steel,100000.0,2500.0
