id,brand,head_office_legal_name,address,country,country_code,region,webpage,configurator,models_amount,min_sqm,max_sqm,main_structure_material,min_home_price,average_price_sqm
1,Al Geemi & Partners,Al Geemi & Partners Contracting Company L.L.C.,"Al Geemi Building, Muroor Road, Al Nahyan Camp, Abu Dhabi, United Arab Emirates",United Arab Emirates,ARE,Abu Dhabi,https://www.algeemi.com,,,,,concrete,,
2,Metac General Contracting Company,,,United Arab Emirates,ARE,Abu Dhabi,,,,,,,,
3,Target Engineering Construction Company,Target Engineering Construction Company LLC,"Target Engineering Building, Zayed the First Street, Al Khalidiyah, Abu Dhabi, United Arab Emirates",United Arab Emirates,ARE,Abu Dhabi,https://www.targetengineering.com,,,,,,,
4,Trojan General Contracting,Trojan General Contracting LLC,"Trojan Building, Al Muroor Road, Al Nahyan, Abu Dhabi, United Arab Emirates",United Arab Emirates,ARE,Abu Dhabi,https://www.trojanconstructiongroup.com,,,,,,,
5,Square General Contracting,Square General Contracting Company L.L.C.,"Square General Tower, Al Mina, Abu Dhabi, United Arab Emirates",United Arab Emirates,ARE,Abu Dhabi,https://www.squaregc.com,,,,,,,
6,Al Mansouri 3B Construction,Al Mansouri 3B Construction LLC,"Building 123, Al Reem Island, Abu Dhabi, United Arab Emirates",United Arab Emirates,ARE,Abu Dhabi,https://www.almansouri3b.ae,,,,,concrete,,
7,Al Sahel Contracting Company,Al Sahel Contracting Company LLC,"Al Sahel Building, Al Muroor Street, 2nd Street, Al Dhafrah, Abu Dhabi, United Arab Emirates",United Arab Emirates,ARE,Abu Dhabi,https://www.alsahelcon.com,,,,,concrete,,
8,Arabian Construction Company,Arabian Construction Company LLC,"Arabian Construction Company Building, Al Reem Island, Abu Dhabi, United Arab Emirates",United Arab Emirates,ARE,Abu Dhabi,https://www.accgroup.com,,,,,concrete,,
9,CSCEC Middle East,China State Construction Engineering Corporation Middle East (L.L.C.),"Al Reem Island, Abu Dhabi, United Arab Emirates",United Arab Emirates,ARE,Abu Dhabi,https://www.chinaconstruction.ae,,,,,concrete,,
10,Eversendai Construction,Eversendai Engineering LLC,"Al Reem Island, Abu Dhabi, United Arab Emirates",United Arab Emirates,ARE,Abu Dhabi,https://www.eversendai.com,,,,,,,
11,Arabtec Holding,Arabtec Holding PJSC,"Arabtec Construction LLC, Al Maqam Tower, 27th Floor, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates",United Arab Emirates,ARE,Abu Dhabi,https://www.arabtecholding.com,,,,,,,
12,Al Jaber Group,Al Jaber Group of Companies,"Al Jaber Building, Al Muroor Road, Al Nahyan, Abu Dhabi, United Arab Emirates",United Arab Emirates,ARE,Abu Dhabi,https://www.aljaber.com,,,,,,,
13,Al Fara'a Construction Group,Al Fara'a General Contracting Company LLC,"Al Fara'a Tower, Al Fara'a Street, Al Nahyan, Abu Dhabi, United Arab Emirates",United Arab Emirates,ARE,Abu Dhabi,https://www.alfaraagroup.com,,,,,concrete,,
14,Amana Contracting & Steel Buildings,Amana Contracting & Steel Buildings LLC,"Building 7, Mussafah Industrial Area, Abu Dhabi, United Arab Emirates",United Arab Emirates,ARE,Abu Dhabi,https://www.amanabuildings.com,,,,,steel,,
15,Pivot Engineering & General Contracting,Pivot Engineering & General Contracting Co. LLC,"Pivot Tower, Al Bateen, Abu Dhabi, United Arab Emirates",United Arab Emirates,ARE,Abu Dhabi,https://www.pivot.ae,,,,,,,
16,Modular Concepts LLC,,,United Arab Emirates,ARE,Abu Dhabi,,,,,,,,
17,Prefab Emirates,,,United Arab Emirates,ARE,Abu Dhabi,,,,,,,,
18,Unibuild Group,Unibuild Group LLC,"Building 123, Airport Road, Al Mushrif, Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,ARE,Abu Dhabi,https://www.unibuildgroup.com,,5,45.0,250.0,steel,150000.0,3000.0
19,Modular Building Solutions,,,United Arab Emirates,ARE,Abu Dhabi,,,,,,,,
20,Gulf Precast Concrete Co.,,,United Arab Emirates,ARE,Abu Dhabi,,,,,,,,
21,Advanced Construction Technology Services,Advanced Construction Technology Services LLC,"Electra Street, Al Markaziyah, Abu Dhabi, United Arab Emirates",United Arab Emirates,ARE,Abu Dhabi,https://www.acts-int.com,,,,,,,
22,Steel Modular Systems,,,United Arab Emirates,ARE,Abu Dhabi,,,,,,,,
23,DuBox,DuBox Precast Products Industrial LLC,"Jebel Ali Industrial Area 1, Dubai, United Arab Emirates",United Arab Emirates,ARE,Dubai,https://www.dubox.me,,,,,concrete,,
24,Karmod Prefabricated Technologies,Karmod Prefabricated Technologies FZE,"Building 7, Dubai Airport Free Zone, Dubai, United Arab Emirates",United Arab Emirates,ARE,Dubai,https://karmod.ae/,,5,45.0,150.0,steel,150000.0,2000.0
25,Prefab UAE,,"Al Quoz Industrial Area 3, Dubai, United Arab Emirates",United Arab Emirates,ARE,Dubai,https://www.prefabuae.com,,,,,steel,,
26,ConXtech Middle East,,,United Arab Emirates,ARE,Dubai,,,,,,,,
27,Speed House Group,Speed House Group of Companies,"Speed House Building, Al Khabaisi, Deira, Dubai, United Arab Emirates",United Arab Emirates,ARE,Dubai,https://www.speedhouse.com,,,,,steel,,
28,Byldis Middle East,Byldis Middle East FZE,"Dubai Silicon Oasis, Dubai, United Arab Emirates",United Arab Emirates,ARE,Dubai,https://www.byldis.com,,,,,concrete,,
29,Gulf Precast,Gulf Precast Concrete Co. LLC,"Jebel Ali Industrial Area 1, Dubai, United Arab Emirates",United Arab Emirates,ARE,Dubai,https://www.gulfprecast.ae,,,,,concrete,,
30,Algeco,Algeco Group,"Jebel Ali Free Zone, Dubai, United Arab Emirates",United Arab Emirates,ARE,Dubai,https://www.algeco.com,,,,,steel,,
31,Red Sea Housing Services,Red Sea Housing Services Company,"Office 105, Building 12, Dubai Design District, Dubai, United Arab Emirates",United Arab Emirates,ARE,Dubai,https://www.redseahousing.com,,,,,steel,,
32,Mabani Steel,,,United Arab Emirates,ARE,Dubai,,,,,,,,
33,Elematic,,,United Arab Emirates,ARE,Dubai,https://www.elematic.com,,,,,,,
34,TSSC Group,Technical Supplies & Services Co. LLC,"TSSC Building, Al Qusais Industrial Area No. 3, Dubai, United Arab Emirates",United Arab Emirates,ARE,Dubai,https://www.tsscuae.com,,,,,steel,,
35,ThermoDesign,,,United Arab Emirates,ARE,Dubai,,,,,,,,
36,Emirates Building Systems,Emirates Building Systems Co LLC,"Dubai Investments Park, Dubai, United Arab Emirates",United Arab Emirates,ARE,Dubai,https://www.ebsl.com,,,,,steel,,
37,Cladtech International,Cladtech International LLC,"Dubai Investment Park 2, Dubai, United Arab Emirates",United Arab Emirates,ARE,Dubai,https://www.cladtech-int.com,,,,,composite,,
38,BK Gulf LLC,BK Gulf LLC,"Al Quoz Industrial Area 3, Dubai, United Arab Emirates",United Arab Emirates,ARE,Dubai,https://www.bkgulf.com,,,,,,,
39,Al Shirawi Contracting Company,Al Shirawi Contracting Company LLC,"Al Shirawi Contracting Company LLC, Al Quoz Industrial Area 4, Dubai, United Arab Emirates",United Arab Emirates,ARE,Dubai,https://www.alshirawi.com/,,,,,,,
40,Danube Homes,Danube Building Materials FZCO,"Jebel Ali Free Zone, Dubai, United Arab Emirates",United Arab Emirates,ARE,Dubai,https://www.danubehome.com,,,,,composite,,
41,Cemex Topmix,Cemex Topmix LLC,"Ras Al Khor Industrial Area 2, Dubai, United Arab Emirates",United Arab Emirates,ARE,Dubai,https://www.cemex.ae,,,,,concrete,,
42,Amana Contracting & Steel Buildings,Amana Contracting & Steel Buildings L.L.C.,"Amana Buildings, 56th Street, Al Quoz Industrial Area 3, Dubai, United Arab Emirates",United Arab Emirates,ARE,Dubai,https://www.amanabuildings.com,,,,,steel,,
43,Al Naboodah Construction Group,Al Naboodah Construction Group LLC,"Al Awir Road, Al Khawaneej, Dubai, United Arab Emirates",United Arab Emirates,ARE,Dubai,https://www.alnaboodah.com,,,,,,,
44,Arabian Construction Company,Arabian Construction Company (ACC) L.L.C.,"ACC Building, Sheikh Zayed Road, Al Quoz, Dubai, United Arab Emirates",United Arab Emirates,ARE,Dubai,https://www.accgroup.com,,,,,concrete,,
45,Modular Building Solutions LLC,,,United Arab Emirates,ARE,Dubai,,,,,,,,
46,Rex Prefab Houses,,,United Arab Emirates,ARE,Dubai,,,,,,,,
47,Atlas Continent Contracting,Atlas Continent Contracting LLC,"Office 204, Al Shafar Building, Al Barsha 1, Dubai, United Arab Emirates",United Arab Emirates,ARE,Dubai,https://atlascontinent.ae,,,,,steel,,
48,CityScape Prefab LLC,,,United Arab Emirates,ARE,Dubai,,,,,,,,
49,Dubai Modular Homes,Dubai Modular Homes LLC,"Building 15, Sheikh Zayed Road, Al Qouz Industrial Area, Dubai, United Arab Emirates",United Arab Emirates,ARE,Dubai,https://www.dubaimodularhomes.com,,8,45.0,250.0,steel,150000.0,4000.0
50,Eco Prefab Homes,,,United Arab Emirates,ARE,Dubai,https://ecoprefabhomes.ae,,,,,,,
51,Rapid Modular Solutions,,,United Arab Emirates,ARE,Dubai,,,,,,,,
52,Infinity Modular Constructions,,,United Arab Emirates,ARE,Dubai,,,,,,,,
53,Hitech Modular Buildings,Hitech Modular Buildings LLC,"Building 7, Dubai Investment Park, Dubai, United Arab Emirates",United Arab Emirates,ARE,Dubai,https://www.hitechmodular.com,,5,50.0,200.0,steel,150000.0,3000.0
54,Future Prefab Buildings LLC,,,United Arab Emirates,ARE,Dubai,,,,,,,,
55,Emaar Industries & Investments,Emaar Industries & Investments (P.S.C.),"Emaar Square, Building 2, Downtown Dubai, Dubai, United Arab Emirates",United Arab Emirates,ARE,Dubai,https://www.eiicorporation.com,,,,,,,
56,Al Futtaim Construction,Al Futtaim Engineering and Technologies,"Al Futtaim Group Building, Dubai Festival City, Dubai, United Arab Emirates",United Arab Emirates,ARE,Dubai,https://www.alfuttaim.com,,,,,,,
57,Trident International Holdings,,,United Arab Emirates,ARE,Dubai,,,,,,,,
58,Dubai Precast,Dubai Precast LLC,"Dubai Industrial City, Saih Shuaib, Dubai, United Arab Emirates",United Arab Emirates,ARE,Dubai,https://www.dubaiprecast.com,,,,,concrete,,
59,Future Vision Modular Systems,,,United Arab Emirates,ARE,Dubai,,,,,,,,
